model,nominal,empirical
armtoken,0,6.98227e-05
armtoken,0.01,0.0101592
armtoken,0.02,0.0202835
armtoken,0.03,0.0298841
armtoken,0.04,0.0411605
armtoken,0.05,0.0517037
armtoken,0.06,0.0621771
armtoken,0.07,0.0725806
armtoken,0.08,0.083054
armtoken,0.09,0.0936671
armtoken,0.1,0.104071
armtoken,0.11,0.114649
armtoken,0.12,0.125436
armtoken,0.13,0.136538
armtoken,0.14,0.146767
armtoken,0.15,0.158218
armtoken,0.16,0.168482
armtoken,0.17,0.178921
armtoken,0.18,0.188277
armtoken,0.19,0.19875
armtoken,0.2,0.209643
armtoken,0.21,0.220081
armtoken,0.22,0.230031
armtoken,0.23,0.239911
armtoken,0.24,0.250349
armtoken,0.25,0.260229
armtoken,0.26,0.270458
armtoken,0.27,0.281001
armtoken,0.28,0.290742
armtoken,0.29,0.300482
armtoken,0.3,0.311653
armtoken,0.31,0.321533
armtoken,0.32,0.331658
armtoken,0.33,0.341293
armtoken,0.34,0.351801
armtoken,0.35,0.362065
armtoken,0.36,0.372294
armtoken,0.37,0.383117
armtoken,0.38,0.392333
armtoken,0.39,0.402144
armtoken,0.4,0.412407
armtoken,0.41,0.422881
armtoken,0.42,0.433215
armtoken,0.43,0.443095
armtoken,0.44,0.452625
armtoken,0.45,0.46268
armtoken,0.46,0.473677
armtoken,0.47,0.483417
armtoken,0.48,0.493751
armtoken,0.49,0.503282
armtoken,0.5,0.514383
armtoken,0.51,0.524194
armtoken,0.52,0.533655
armtoken,0.53,0.543744
armtoken,0.54,0.554147
armtoken,0.55,0.563888
armtoken,0.56,0.574082
armtoken,0.57,0.584485
armtoken,0.58,0.594959
armtoken,0.59,0.605013
armtoken,0.6,0.614649
armtoken,0.61,0.624703
armtoken,0.62,0.635351
armtoken,0.63,0.644812
armtoken,0.64,0.655251
armtoken,0.65,0.664642
armtoken,0.66,0.675464
armtoken,0.67,0.686217
armtoken,0.68,0.696586
armtoken,0.69,0.70671
armtoken,0.7,0.715822
armtoken,0.71,0.725108
armtoken,0.72,0.735512
armtoken,0.73,0.745636
armtoken,0.74,0.75597
armtoken,0.75,0.766269
armtoken,0.76,0.776183
armtoken,0.77,0.786378
armtoken,0.78,0.796467
armtoken,0.79,0.806871
armtoken,0.8,0.816262
armtoken,0.81,0.825827
armtoken,0.82,0.836056
armtoken,0.83,0.846006
armtoken,0.84,0.856061
armtoken,0.85,0.865836
armtoken,0.86,0.874703
armtoken,0.87,0.884164
armtoken,0.88,0.894323
armtoken,0.89,0.902667
armtoken,0.9,0.91157
armtoken,0.91,0.920786
armtoken,0.92,0.930317
armtoken,0.93,0.940337
armtoken,0.94,0.950251
armtoken,0.95,0.960061
armtoken,0.96,0.96851
armtoken,0.97,0.977168
armtoken,0.98,0.985302
armtoken,0.99,0.992983
armtoken,1,1
