model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
armtoken,1p,0.831237,0.912064,0.831861,0.0819155,0.0628604,-0.0574565,0.951916,0.735752,0.807816,0.525346,0.895545,0.953917,0.0389291,0.272039
armtoken,1q,0.839356,0.916601,0.840157,0.0825454,0.0661608,0.0395752,0.931103,0.743722,0.788709,0.473118,0.913978,0.961598,0.047047,0.108932
armtoken,2p,0.870294,0.933721,0.871835,0.0730124,0.0563624,0.0865442,1.00695,0.78823,0.865044,0.471582,0.886329,0.947773,0.065163,0.00752572
armtoken,2q,0.789428,0.888734,0.789848,0.0917218,0.0708746,-0.0160001,0.945999,0.729104,0.752706,0.513057,0.907834,0.958525,0.0204512,0.946207
armtoken,3p,0.893837,0.946478,0.89582,0.0681379,0.0532315,0.119148,0.936917,0.737741,0.862333,0.471582,0.915515,0.956989,0.0678838,0.00467585
armtoken,3q,0.855785,0.925303,0.856186,0.0741111,0.0572359,0.0102527,0.865858,0.674997,0.816222,0.50384,0.929339,0.970814,0.03706,0.327263
armtoken,4p,0.922406,0.960527,0.922612,0.0572569,0.0429421,-0.00181878,0.905138,0.693541,0.898394,0.514593,0.913978,0.958525,0.0283896,0.664461
armtoken,4q,0.811171,0.90208,0.813747,0.0902407,0.0690627,0.100614,0.920878,0.710333,0.753966,0.522273,0.907834,0.947773,0.0584125,0.0225347
armtoken,5p,0.929564,0.964197,0.929675,0.0542428,0.041204,0.0159999,0.941239,0.721072,0.914241,0.505376,0.904762,0.952381,0.02325,0.869396
armtoken,5q,0.834651,0.914739,0.836748,0.0825591,0.0638761,0.0874666,0.919397,0.717303,0.792766,0.508449,0.913978,0.956989,0.0571427,0.0273293
armtoken,6p,0.899678,0.948729,0.900087,0.0618698,0.047256,-0.0992104,0.965702,0.743499,0.893544,0.529954,0.906298,0.952381,0.0636572,0.00971197
armtoken,6q,0.859928,0.933577,0.871566,0.0749365,0.0588137,0.240619,0.848902,0.691229,0.80938,0.514593,0.90937,0.970814,0.113839,7.97144e-08
armtoken,7p,0.911111,0.955218,0.912442,0.0598746,0.0460072,0.106218,0.949797,0.742201,0.898487,0.505376,0.906298,0.952381,0.0614133,0.0140458
armtoken,7q,0.872444,0.93578,0.875685,0.0691451,0.0530754,0.0976467,0.865946,0.669364,0.83648,0.551459,0.920123,0.958525,0.0812265,0.000341887
armtoken,8p,0.92032,0.959528,0.920694,0.0561142,0.0417375,-0.0756219,0.994011,0.734033,0.913263,0.533026,0.886329,0.961598,0.0487611,0.0877846
armtoken,8q,0.862653,0.932159,0.86892,0.0715313,0.0559952,0.155317,0.857923,0.68859,0.829417,0.506912,0.929339,0.967742,0.0894744,5.37028e-05
armtoken,9p,0.922949,0.960898,0.923324,0.055826,0.0432076,0.0242082,0.91562,0.721576,0.904595,0.502304,0.912442,0.967742,0.0361508,0.356713
armtoken,9q,0.875689,0.936587,0.877196,0.0689435,0.0537928,0.0652937,0.894295,0.702727,0.845283,0.493088,0.918587,0.956989,0.0364387,0.347207
armtoken,10p,0.926909,0.962844,0.927068,0.0547348,0.0403896,0.0511005,0.910454,0.696594,0.91182,0.539171,0.897081,0.96467,0.0473,0.105568
armtoken,10q,0.87328,0.935271,0.874732,0.072871,0.0569042,0.0718138,0.90209,0.705091,0.828442,0.505376,0.921659,0.966206,0.0562075,0.0314164
