model,alpha,ecp,ecp_lo,ecp_hi
armtoken,0,0,0,0
armtoken,0.0204082,0.0353303,0.021467,0.0506912
armtoken,0.0408163,0.06298,0.0445469,0.0814516
armtoken,0.0612245,0.093702,0.0721582,0.11828
armtoken,0.0816327,0.12596,0.101382,0.15361
armtoken,0.102041,0.144393,0.11828,0.170545
armtoken,0.122449,0.164363,0.133641,0.195084
armtoken,0.142857,0.187404,0.156644,0.219662
armtoken,0.163265,0.207373,0.175077,0.241206
armtoken,0.183673,0.227343,0.196621,0.259639
armtoken,0.204082,0.24424,0.211982,0.27957
armtoken,0.22449,0.258065,0.225806,0.291859
armtoken,0.244898,0.274962,0.241167,0.31033
armtoken,0.265306,0.291859,0.261098,0.328763
armtoken,0.285714,0.308756,0.274923,0.344124
armtoken,0.306122,0.330261,0.293318,0.367166
armtoken,0.326531,0.347158,0.310253,0.385599
armtoken,0.346939,0.385561,0.348694,0.424002
armtoken,0.367347,0.40553,0.370123,0.442435
armtoken,0.387755,0.422427,0.385522,0.460906
armtoken,0.408163,0.436252,0.397811,0.480799
armtoken,0.428571,0.453149,0.414708,0.494624
armtoken,0.44898,0.473118,0.436214,0.511636
armtoken,0.469388,0.485407,0.450038,0.520776
armtoken,0.489796,0.511521,0.476114,0.548387
armtoken,0.510204,0.534562,0.493088,0.573003
armtoken,0.530612,0.560676,0.522235,0.597581
armtoken,0.55102,0.582181,0.545315,0.619048
armtoken,0.571429,0.611367,0.57596,0.645276
armtoken,0.591837,0.623656,0.589862,0.662058
armtoken,0.612245,0.648233,0.615899,0.686674
armtoken,0.632653,0.658986,0.625154,0.697389
armtoken,0.653061,0.680492,0.649731,0.714363
armtoken,0.673469,0.691244,0.66202,0.725115
armtoken,0.693878,0.709677,0.681989,0.74351
armtoken,0.714286,0.726575,0.695853,0.760407
armtoken,0.734694,0.735791,0.706567,0.769662
armtoken,0.755102,0.757296,0.725038,0.792627
armtoken,0.77551,0.788018,0.760369,0.817358
armtoken,0.795918,0.801843,0.775653,0.831106
armtoken,0.816327,0.817204,0.792588,0.848003
armtoken,0.836735,0.831029,0.803379,0.860215
armtoken,0.857143,0.843318,0.817166,0.87404
armtoken,0.877551,0.867896,0.843318,0.897081
armtoken,0.897959,0.894009,0.870968,0.918587
armtoken,0.918367,0.912442,0.890899,0.932412
armtoken,0.938776,0.933948,0.915515,0.950845
armtoken,0.959184,0.958525,0.94159,0.972389
armtoken,0.979592,0.976959,0.964555,0.987711
armtoken,1,1,1,1
