model,alpha,ecp,ecp_lo,ecp_hi
armtoken,0,0,0,0
armtoken,0.0204082,0.0414747,0.0276114,0.056874
armtoken,0.0408163,0.0737327,0.0552611,0.0906682
armtoken,0.0612245,0.0952381,0.0721966,0.121352
armtoken,0.0816327,0.116743,0.093702,0.142857
armtoken,0.102041,0.141321,0.113633,0.172043
armtoken,0.122449,0.158218,0.128994,0.185945
armtoken,0.142857,0.176651,0.148963,0.207373
armtoken,0.163265,0.18894,0.156682,0.218164
armtoken,0.183673,0.204301,0.172043,0.238095
armtoken,0.204082,0.219662,0.185829,0.255031
armtoken,0.22449,0.24424,0.213518,0.27957
armtoken,0.244898,0.258065,0.22427,0.293395
armtoken,0.265306,0.274962,0.242665,0.311866
armtoken,0.285714,0.281106,0.245776,0.316475
armtoken,0.306122,0.299539,0.264209,0.334985
armtoken,0.326531,0.324117,0.29182,0.361022
armtoken,0.346939,0.336406,0.301037,0.374808
armtoken,0.367347,0.348694,0.316398,0.382527
armtoken,0.387755,0.362519,0.328725,0.396313
armtoken,0.408163,0.382488,0.347081,0.417934
armtoken,0.428571,0.399386,0.364017,0.433218
armtoken,0.44898,0.420891,0.385522,0.457757
armtoken,0.469388,0.439324,0.403917,0.476229
armtoken,0.489796,0.460829,0.425499,0.500806
armtoken,0.510204,0.474654,0.44086,0.514631
armtoken,0.530612,0.49616,0.463863,0.534639
armtoken,0.55102,0.509985,0.47308,0.553034
armtoken,0.571429,0.525346,0.491513,0.568395
armtoken,0.591837,0.540707,0.505338,0.579109
armtoken,0.612245,0.554531,0.519201,0.5899
armtoken,0.632653,0.577573,0.542204,0.615975
armtoken,0.653061,0.592934,0.560599,0.626767
armtoken,0.673469,0.615975,0.583641,0.652842
armtoken,0.693878,0.643625,0.612826,0.678994
armtoken,0.714286,0.666667,0.635945,0.702074
armtoken,0.734694,0.682028,0.651306,0.712788
armtoken,0.755102,0.703533,0.674309,0.740399
armtoken,0.77551,0.725038,0.694278,0.760369
armtoken,0.795918,0.738863,0.712673,0.772657
armtoken,0.816327,0.752688,0.723502,0.783449
armtoken,0.836735,0.774194,0.746505,0.808026
armtoken,0.857143,0.800307,0.772619,0.829531
armtoken,0.877551,0.826421,0.801843,0.855607
armtoken,0.897959,0.854071,0.832565,0.878687
armtoken,0.918367,0.872504,0.849424,0.897081
armtoken,0.938776,0.898618,0.878648,0.923195
armtoken,0.959184,0.910906,0.889401,0.93245
armtoken,0.979592,0.952381,0.935484,0.967742
armtoken,1,1,1,1
