model,nominal,empirical
armtoken,0,0.000174557
armtoken,0.01,0.00935624
armtoken,0.02,0.0180142
armtoken,0.03,0.0277894
armtoken,0.04,0.0360285
armtoken,0.05,0.0454545
armtoken,0.06,0.0545315
armtoken,0.07,0.0633641
armtoken,0.08,0.072441
armtoken,0.09,0.0814132
armtoken,0.1,0.0913978
armtoken,0.11,0.100614
armtoken,0.12,0.109761
armtoken,0.13,0.119501
armtoken,0.14,0.127461
armtoken,0.15,0.136713
armtoken,0.16,0.14572
armtoken,0.17,0.155076
armtoken,0.18,0.164153
armtoken,0.19,0.173125
armtoken,0.2,0.181818
armtoken,0.21,0.190965
armtoken,0.22,0.2006
armtoken,0.23,0.210236
armtoken,0.24,0.219697
armtoken,0.25,0.22832
armtoken,0.26,0.235896
armtoken,0.27,0.245252
armtoken,0.28,0.254608
armtoken,0.29,0.264244
armtoken,0.3,0.273775
armtoken,0.31,0.283236
armtoken,0.32,0.292138
armtoken,0.33,0.301529
armtoken,0.34,0.310397
armtoken,0.35,0.320172
armtoken,0.36,0.329807
armtoken,0.37,0.338605
armtoken,0.38,0.348764
armtoken,0.39,0.35826
armtoken,0.4,0.367093
armtoken,0.41,0.377147
armtoken,0.42,0.386817
armtoken,0.43,0.395615
armtoken,0.44,0.406089
armtoken,0.45,0.41527
armtoken,0.46,0.424801
armtoken,0.47,0.435274
armtoken,0.48,0.444037
armtoken,0.49,0.453254
armtoken,0.5,0.46247
armtoken,0.51,0.473153
armtoken,0.52,0.482405
armtoken,0.53,0.491656
armtoken,0.54,0.501152
armtoken,0.55,0.50981
armtoken,0.56,0.518817
armtoken,0.57,0.529884
armtoken,0.58,0.539066
armtoken,0.59,0.548911
armtoken,0.6,0.559279
armtoken,0.61,0.56881
armtoken,0.62,0.57855
armtoken,0.63,0.588326
armtoken,0.64,0.597822
armtoken,0.65,0.607178
armtoken,0.66,0.616988
armtoken,0.67,0.627042
armtoken,0.68,0.638144
armtoken,0.69,0.648722
armtoken,0.7,0.658428
armtoken,0.71,0.669285
armtoken,0.72,0.680073
armtoken,0.73,0.691314
armtoken,0.74,0.7006
armtoken,0.75,0.712016
armtoken,0.76,0.722804
armtoken,0.77,0.733382
armtoken,0.78,0.743367
armtoken,0.79,0.75412
armtoken,0.8,0.764453
armtoken,0.81,0.774787
armtoken,0.82,0.785575
armtoken,0.83,0.795594
armtoken,0.84,0.806382
armtoken,0.85,0.817728
armtoken,0.86,0.829319
armtoken,0.87,0.839932
armtoken,0.88,0.851767
armtoken,0.89,0.863741
armtoken,0.9,0.875401
armtoken,0.91,0.888458
armtoken,0.92,0.899909
armtoken,0.93,0.911954
armtoken,0.94,0.924766
armtoken,0.95,0.937229
armtoken,0.96,0.949169
armtoken,0.97,0.961877
armtoken,0.98,0.975003
armtoken,0.99,0.9882
armtoken,1,1
