model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
armtoken,1p,0.822872,0.907776,0.824058,0.0839209,0.0645068,0.0511276,1.04386,0.809108,0.827067,0.460829,0.883257,0.930876,0.0486442,0.0891084
armtoken,1q,0.83271,0.912872,0.833334,0.0842356,0.067049,0.00670127,1.09227,0.861644,0.836236,0.427035,0.864823,0.932412,0.0594955,0.0190521
armtoken,2p,0.864735,0.930983,0.866728,0.0745607,0.0576707,0.106517,1.06857,0.837866,0.872391,0.457757,0.87404,0.933948,0.0780862,0.000659986
armtoken,2q,0.78303,0.885169,0.783524,0.0931049,0.0723316,0.030347,1.00198,0.781147,0.775947,0.474654,0.87404,0.940092,0.0319913,0.511614
armtoken,3p,0.894369,0.946109,0.895122,0.0679669,0.0533939,0.0700434,0.98068,0.769237,0.869057,0.474654,0.898618,0.953917,0.0493206,0.0816761
armtoken,3q,0.842547,0.918355,0.843376,0.077438,0.0598099,0.0334701,1.02979,0.798253,0.852473,0.457757,0.877112,0.932412,0.038566,0.282205
armtoken,4p,0.917946,0.958289,0.918317,0.0588793,0.0445937,0.0635588,1.21799,0.939785,0.93725,0.393241,0.801843,0.883257,0.0984324,5.87344e-06
armtoken,4q,0.809512,0.900371,0.810669,0.0906363,0.0697889,0.0719825,1.00666,0.774792,0.783752,0.49616,0.883257,0.935484,0.0558556,0.033088
armtoken,5p,0.921054,0.960203,0.92199,0.0574263,0.0439946,0.0685104,0.944612,0.732615,0.902628,0.491551,0.898618,0.9447,0.0384905,0.284355
armtoken,5q,0.832445,0.91332,0.834154,0.0831081,0.0644669,0.0708072,1.07017,0.834971,0.842606,0.453149,0.875576,0.935484,0.0651413,0.00755368
armtoken,6p,0.895437,0.946563,0.895981,0.0631637,0.0468901,0.00521769,1.01512,0.754885,0.893212,0.513057,0.886329,0.943164,0.0239772,0.844167
armtoken,6q,0.856884,0.928684,0.862453,0.0757461,0.059568,0.168051,0.992887,0.788729,0.847553,0.46851,0.890937,0.9447,0.0913757,3.41713e-05
armtoken,7p,0.904973,0.951425,0.905209,0.0619075,0.0473364,0.0467732,0.998601,0.762608,0.893498,0.49616,0.889401,0.947773,0.0304266,0.576818
armtoken,7q,0.869574,0.932879,0.870264,0.0699185,0.0537928,0.0286886,0.971188,0.742902,0.858878,0.528418,0.898618,0.940092,0.0343963,0.418217
armtoken,8p,0.907236,0.952547,0.907346,0.060546,0.0456015,-0.0441038,1.06321,0.768111,0.899247,0.491551,0.884793,0.943164,0.0336426,0.446437
armtoken,8q,0.868883,0.932419,0.869406,0.0698901,0.0548596,0.0452221,1.09166,0.85524,0.890517,0.423963,0.857143,0.926267,0.071259,0.00252178
armtoken,9p,0.908365,0.954463,0.911,0.0608804,0.0465147,0.163978,1.0204,0.786787,0.902985,0.465438,0.87404,0.93702,0.0881755,7.27365e-05
armtoken,9q,0.868246,0.9325,0.869556,0.0709775,0.0556863,0.0522431,1.04713,0.824239,0.880131,0.420891,0.861751,0.929339,0.0581879,0.0233241
armtoken,10p,0.922478,0.960517,0.922593,0.0563696,0.0420582,0.056622,0.937041,0.715477,0.903735,0.528418,0.895545,0.941628,0.0317231,0.522582
armtoken,10q,0.86928,0.933774,0.871933,0.0740122,0.0580429,0.112375,0.999974,0.785162,0.856488,0.447005,0.892473,0.933948,0.0843965,0.000171439
armtoken,11p,0.906673,0.952506,0.907268,0.0570762,0.0449286,0.0590719,0.982304,0.770607,0.903191,0.465438,0.890937,0.947773,0.0562685,0.0311345
armtoken,11q,0.887823,0.942378,0.888076,0.0668198,0.0519043,0.0193279,1.15099,0.895079,0.911644,0.407066,0.841782,0.906298,0.0550328,0.0373052
armtoken,12p,0.932579,0.9658,0.93277,0.0531896,0.0398143,-0.0613762,0.942195,0.733385,0.919528,0.497696,0.904762,0.947773,0.0420566,0.195303
armtoken,12q,0.874257,0.936796,0.877586,0.0710243,0.0558382,0.136838,0.924003,0.737336,0.849013,0.483871,0.910906,0.952381,0.0878907,7.76921e-05
armtoken,13p,0.932829,0.967142,0.935363,0.0506615,0.0367621,-0.0630995,0.92647,0.69922,0.919018,0.506912,0.900154,0.946237,0.051404,0.0619854
