model,nominal,empirical
armtoken,0,0.000209468
armtoken,0.01,0.00974026
armtoken,0.02,0.0192711
armtoken,0.03,0.0281385
armtoken,0.04,0.0365871
armtoken,0.05,0.0458386
armtoken,0.06,0.0548457
armtoken,0.07,0.0630848
armtoken,0.08,0.072057
armtoken,0.09,0.0815878
armtoken,0.1,0.0912233
armtoken,0.11,0.100161
armtoken,0.12,0.110669
armtoken,0.13,0.119851
armtoken,0.14,0.129591
armtoken,0.15,0.138598
armtoken,0.16,0.148583
armtoken,0.17,0.156996
armtoken,0.18,0.166771
armtoken,0.19,0.176093
armtoken,0.2,0.184995
armtoken,0.21,0.195259
armtoken,0.22,0.203742
armtoken,0.23,0.21268
armtoken,0.24,0.221722
armtoken,0.25,0.231008
armtoken,0.26,0.239352
armtoken,0.27,0.24822
armtoken,0.28,0.256424
armtoken,0.29,0.266339
armtoken,0.3,0.275136
armtoken,0.31,0.284667
armtoken,0.32,0.294268
armtoken,0.33,0.303798
armtoken,0.34,0.312107
armtoken,0.35,0.321638
armtoken,0.36,0.331029
armtoken,0.37,0.340281
armtoken,0.38,0.349951
armtoken,0.39,0.359238
armtoken,0.4,0.369327
armtoken,0.41,0.379277
armtoken,0.42,0.388598
armtoken,0.43,0.3975
armtoken,0.44,0.406857
armtoken,0.45,0.416981
armtoken,0.46,0.427175
armtoken,0.47,0.436461
armtoken,0.48,0.445399
armtoken,0.49,0.454999
armtoken,0.5,0.464076
armtoken,0.51,0.474096
armtoken,0.52,0.483661
armtoken,0.53,0.493367
armtoken,0.54,0.503526
armtoken,0.55,0.513301
armtoken,0.56,0.522762
armtoken,0.57,0.53341
armtoken,0.58,0.542627
armtoken,0.59,0.553694
armtoken,0.6,0.56312
armtoken,0.61,0.572895
armtoken,0.62,0.582705
armtoken,0.63,0.59234
armtoken,0.64,0.602395
armtoken,0.65,0.612764
armtoken,0.66,0.622609
armtoken,0.67,0.632419
armtoken,0.68,0.642124
armtoken,0.69,0.652109
armtoken,0.7,0.661709
armtoken,0.71,0.672532
armtoken,0.72,0.683424
armtoken,0.73,0.693932
armtoken,0.74,0.704161
armtoken,0.75,0.714914
armtoken,0.76,0.725667
armtoken,0.77,0.73628
armtoken,0.78,0.747137
armtoken,0.79,0.756982
armtoken,0.8,0.768119
armtoken,0.81,0.777999
armtoken,0.82,0.788856
armtoken,0.83,0.79912
armtoken,0.84,0.809245
armtoken,0.85,0.820137
armtoken,0.86,0.830575
armtoken,0.87,0.841328
armtoken,0.88,0.852185
armtoken,0.89,0.862973
armtoken,0.9,0.874354
armtoken,0.91,0.886049
armtoken,0.92,0.897535
armtoken,0.93,0.909335
armtoken,0.94,0.920612
armtoken,0.95,0.934506
armtoken,0.96,0.947563
armtoken,0.97,0.959049
armtoken,0.98,0.971792
armtoken,0.99,0.985617
armtoken,1,1
