model,nominal,empirical
armtoken,0,0.000314202
armtoken,0.01,0.00960061
armtoken,0.02,0.0180492
armtoken,0.03,0.0272657
armtoken,0.04,0.0360983
armtoken,0.05,0.0442676
armtoken,0.06,0.0537285
armtoken,0.07,0.0638877
armtoken,0.08,0.0726156
armtoken,0.09,0.0816227
armtoken,0.1,0.0907694
armtoken,0.11,0.0994973
armtoken,0.12,0.109028
armtoken,0.13,0.118559
armtoken,0.14,0.127636
armtoken,0.15,0.136259
armtoken,0.16,0.14551
armtoken,0.17,0.154587
armtoken,0.18,0.162931
armtoken,0.19,0.172322
armtoken,0.2,0.18126
armtoken,0.21,0.189464
armtoken,0.22,0.199099
armtoken,0.23,0.208037
armtoken,0.24,0.21666
armtoken,0.25,0.226435
armtoken,0.26,0.235267
armtoken,0.27,0.244205
armtoken,0.28,0.253456
armtoken,0.29,0.262708
armtoken,0.3,0.272204
armtoken,0.31,0.281385
armtoken,0.32,0.291021
armtoken,0.33,0.300901
armtoken,0.34,0.310362
armtoken,0.35,0.319055
armtoken,0.36,0.329353
armtoken,0.37,0.339443
armtoken,0.38,0.348659
armtoken,0.39,0.357667
armtoken,0.4,0.367023
armtoken,0.41,0.377042
armtoken,0.42,0.38598
armtoken,0.43,0.395091
armtoken,0.44,0.404378
armtoken,0.45,0.414781
armtoken,0.46,0.423893
armtoken,0.47,0.434087
armtoken,0.48,0.443374
armtoken,0.49,0.453603
armtoken,0.5,0.463273
armtoken,0.51,0.472874
armtoken,0.52,0.481951
armtoken,0.53,0.49197
armtoken,0.54,0.502723
armtoken,0.55,0.512254
armtoken,0.56,0.521436
armtoken,0.57,0.531315
armtoken,0.58,0.540148
armtoken,0.59,0.550307
armtoken,0.6,0.562177
armtoken,0.61,0.572371
armtoken,0.62,0.583613
armtoken,0.63,0.592724
armtoken,0.64,0.602325
armtoken,0.65,0.611646
armtoken,0.66,0.621003
armtoken,0.67,0.631476
armtoken,0.68,0.64188
armtoken,0.69,0.652528
armtoken,0.7,0.663455
armtoken,0.71,0.674382
armtoken,0.72,0.685065
armtoken,0.73,0.695573
armtoken,0.74,0.705593
armtoken,0.75,0.714879
armtoken,0.76,0.726051
armtoken,0.77,0.737886
armtoken,0.78,0.748848
armtoken,0.79,0.759426
armtoken,0.8,0.769725
armtoken,0.81,0.781141
armtoken,0.82,0.791998
armtoken,0.83,0.803519
armtoken,0.84,0.8149
armtoken,0.85,0.825583
armtoken,0.86,0.836371
armtoken,0.87,0.847787
armtoken,0.88,0.859203
armtoken,0.89,0.871107
armtoken,0.9,0.883117
armtoken,0.91,0.894533
armtoken,0.92,0.905635
armtoken,0.93,0.917574
armtoken,0.94,0.92927
armtoken,0.95,0.939883
armtoken,0.96,0.951857
armtoken,0.97,0.964635
armtoken,0.98,0.977098
armtoken,0.99,0.989073
armtoken,1,1
