model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
armtoken,1p,0.814479,0.902564,0.814622,0.0858863,0.0661473,0.0223544,1.01757,0.786589,0.8123,0.477727,0.872504,0.943164,0.0271213,0.718939
armtoken,1q,0.8364,0.915193,0.837579,0.0833015,0.0661856,0.0520323,0.986095,0.784359,0.811456,0.434716,0.892473,0.949309,0.0508686,0.0666116
armtoken,2p,0.869237,0.933261,0.870976,0.0733094,0.056818,0.113519,1.02859,0.813498,0.868982,0.447005,0.867896,0.93702,0.0883892,6.9215e-05
armtoken,2q,0.784589,0.887195,0.787115,0.0927697,0.0719207,0.0991128,1.01238,0.786422,0.779275,0.490015,0.858679,0.929339,0.0567642,0.0289232
armtoken,3p,0.890586,0.944418,0.891926,0.0691732,0.0547337,0.0996296,1.04737,0.823816,0.882109,0.436252,0.869432,0.93702,0.0789883,0.000547807
armtoken,3q,0.848758,0.922657,0.851295,0.0758953,0.0593953,-0.153651,0.95219,0.755143,0.837055,0.465438,0.895545,0.940092,0.102576,1.9647e-06
armtoken,4p,0.917217,0.957984,0.917734,0.0591403,0.0464513,0.0631132,0.955167,0.756474,0.89832,0.493088,0.890937,0.947773,0.0458733,0.125714
armtoken,4q,0.802484,0.895924,0.80268,0.092293,0.0700507,-0.0303112,1.02241,0.776113,0.785904,0.488479,0.880184,0.93702,0.0406928,0.226422
armtoken,5p,0.92202,0.961045,0.923607,0.0570738,0.0435959,0.117457,1.04282,0.803906,0.920879,0.442396,0.87404,0.921659,0.0632284,0.0104321
armtoken,5q,0.825537,0.908907,0.826111,0.0848039,0.0657977,-0.0187722,0.994481,0.777573,0.813397,0.442396,0.883257,0.93702,0.0310016,0.552542
armtoken,6p,0.884446,0.944711,0.892479,0.0664008,0.0505015,0.282813,1.09707,0.869135,0.911714,0.417819,0.858679,0.917051,0.145428,1.68027e-12
armtoken,6q,0.862212,0.928615,0.862325,0.0743228,0.059509,-0.0395875,0.957157,0.75846,0.834618,0.471582,0.889401,0.950845,0.0645525,0.00835145
armtoken,7p,0.90174,0.949884,0.902279,0.0629518,0.0488713,0.0653639,1.0454,0.818869,0.904613,0.443932,0.866359,0.927803,0.0505139,0.0698367
armtoken,7q,0.866214,0.933024,0.870533,0.0708136,0.0549224,0.131004,0.952307,0.74486,0.856486,0.516129,0.890937,0.946237,0.0644161,0.00854682
armtoken,8p,0.915958,0.95727,0.916366,0.0576295,0.0423584,-0.0800852,1.02478,0.770235,0.918771,0.460829,0.900154,0.943164,0.0401897,0.238805
armtoken,8q,0.863295,0.930132,0.865145,0.0713639,0.0549428,0.0385,0.931668,0.722843,0.851078,0.480799,0.910906,0.958525,0.0388646,0.273825
armtoken,9p,0.9169,0.957918,0.917606,0.0579758,0.0451976,0.0854762,1.0192,0.818522,0.91901,0.427035,0.869432,0.932412,0.0766957,0.000875837
armtoken,9q,0.872303,0.934728,0.873717,0.0698759,0.0555127,-0.0608375,0.962549,0.765903,0.860345,0.473118,0.898618,0.958525,0.0671935,0.00528567
armtoken,10p,0.921458,0.960058,0.921711,0.0567394,0.0427596,0.0147622,0.980593,0.757232,0.915966,0.473118,0.880184,0.947773,0.0420999,0.194372
armtoken,10q,0.866536,0.931177,0.86709,0.0747849,0.0579132,0.0337883,0.999656,0.776421,0.853712,0.453149,0.869432,0.932412,0.0570434,0.0277398
armtoken,11p,0.906258,0.952144,0.906578,0.0572031,0.0450952,0.0304233,1.00212,0.794659,0.913953,0.427035,0.88172,0.946237,0.0648677,0.00791542
armtoken,11q,0.886955,0.941993,0.887351,0.0670778,0.0521479,-0.00437438,0.99635,0.765008,0.874154,0.488479,0.886329,0.943164,0.0301161,0.590048
