model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
armtoken,1p,0.814571,0.902578,0.814648,0.085865,0.0661258,0.014727,1.00194,0.774317,0.806398,0.479263,0.877112,0.946237,0.0221969,0.902359
armtoken,1q,0.837105,0.915298,0.83777,0.0831217,0.0660227,0.0225654,1.09802,0.871748,0.847934,0.403994,0.852535,0.927803,0.0690014,0.00382392
armtoken,2p,0.870647,0.933275,0.871002,0.072913,0.0561722,0.0412501,1.06057,0.829585,0.876765,0.453149,0.854071,0.929339,0.0571033,0.0274916
armtoken,2q,0.786175,0.887167,0.787066,0.0924274,0.0715166,0.0457305,1.01443,0.783665,0.780168,0.488479,0.863287,0.933948,0.0445952,0.146333
armtoken,3p,0.890454,0.944411,0.891911,0.069215,0.05477,0.0960784,0.961921,0.757047,0.860233,0.474654,0.897081,0.953917,0.073653,0.00159818
armtoken,3q,0.848174,0.921653,0.849444,0.0760417,0.0590111,0.0528544,1.00845,0.788257,0.85473,0.44086,0.887865,0.932412,0.0387264,0.277682
armtoken,4p,0.916617,0.957943,0.917655,0.0593541,0.046634,0.105054,1.06287,0.844692,0.917883,0.427035,0.847926,0.913978,0.0828751,0.000239558
armtoken,4q,0.80221,0.895814,0.802482,0.0923571,0.0701082,0.0218429,1.03297,0.784291,0.79026,0.494624,0.877112,0.929339,0.0388959,0.272956
armtoken,5p,0.922416,0.961071,0.923657,0.0569288,0.0435438,0.0881486,0.930889,0.716926,0.900708,0.497696,0.903226,0.946237,0.050277,0.0720627
armtoken,5q,0.823494,0.908521,0.82541,0.0852989,0.0661171,0.0739887,1.11135,0.871639,0.85058,0.40553,0.858679,0.913978,0.0860542,0.000118243
armtoken,6p,0.893432,0.945585,0.89413,0.0637665,0.0486385,-0.0887147,1.01208,0.775474,0.896263,0.490015,0.887865,0.941628,0.0532433,0.0481281
