model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
armtoken,1p,0.824639,0.90825,0.824918,0.0835013,0.0637517,0.00745981,1.09486,0.835103,0.84227,0.443932,0.864823,0.923195,0.0402523,0.237235
armtoken,1q,0.840583,0.918453,0.843555,0.0822295,0.0663206,0.117724,1.03642,0.838912,0.831786,0.422427,0.870968,0.946237,0.0822365,0.000275178
armtoken,2p,0.866371,0.931304,0.867327,0.0741086,0.0569569,-0.0654389,1.22036,0.930468,0.894992,0.431644,0.837174,0.907834,0.0737627,0.00156457
armtoken,2q,0.790879,0.889791,0.791728,0.0914053,0.0706313,0.0469324,1.0686,0.821278,0.804319,0.457757,0.852535,0.923195,0.0452403,0.13561
armtoken,3p,0.890091,0.945323,0.893635,0.0693295,0.0544762,0.189822,1.05526,0.846899,0.888186,0.427035,0.863287,0.932412,0.107351,5.25944e-07
armtoken,3q,0.853204,0.924209,0.854163,0.0747714,0.0576393,0.0568783,0.993914,0.769644,0.854266,0.448541,0.889401,0.93702,0.0480535,0.0960551
armtoken,4p,0.916824,0.957808,0.917396,0.0592805,0.0444211,-0.0407579,1.10515,0.85017,0.924165,0.422427,0.84639,0.904762,0.053951,0.0435598
armtoken,4q,0.815435,0.9034,0.816132,0.0892161,0.0682577,0.0256205,1.00734,0.77614,0.800258,0.485407,0.886329,0.940092,0.0268826,0.729058
armtoken,5p,0.924526,0.961547,0.924572,0.0561491,0.0424008,-0.042782,1.13946,0.858326,0.931673,0.450077,0.84639,0.918587,0.0530304,0.0495809
armtoken,5q,0.831726,0.912441,0.832549,0.0832861,0.0640155,-0.0186654,1.05262,0.809718,0.834648,0.486943,0.861751,0.93702,0.039751,0.250007
armtoken,6p,0.898812,0.948621,0.899882,0.0621362,0.0467779,0.0264938,1.2007,0.904949,0.925504,0.427035,0.854071,0.907834,0.0631676,0.0105381
armtoken,6q,0.855243,0.926074,0.857613,0.0761793,0.0598605,0.0758329,1.03853,0.808867,0.851639,0.474654,0.872504,0.935484,0.0565744,0.029753
armtoken,7p,0.909096,0.954256,0.910605,0.0605496,0.046935,0.144982,1.18551,0.930324,0.928026,0.416283,0.814132,0.894009,0.0908993,3.83039e-05
armtoken,7q,0.875524,0.936089,0.876262,0.0683053,0.0524683,0.0109583,0.961007,0.736906,0.865449,0.511521,0.886329,0.947773,0.0234769,0.861725
armtoken,8p,0.916535,0.957636,0.917066,0.0574315,0.0427863,-0.0857379,1.16062,0.868169,0.933155,0.431644,0.84639,0.918587,0.0641222,0.0089821
armtoken,8q,0.866467,0.931539,0.867765,0.0705313,0.0547988,0.079335,0.969253,0.762903,0.865185,0.46851,0.90169,0.947773,0.0530258,0.0496128
armtoken,9p,0.913335,0.956245,0.914405,0.0592064,0.0460058,0.108044,1.13194,0.903196,0.929304,0.41321,0.831029,0.906298,0.088744,6.37264e-05
armtoken,9q,0.87418,0.935073,0.874361,0.0693605,0.0548114,0.00743216,1.01405,0.809077,0.879953,0.442396,0.878648,0.926267,0.0429439,0.176908
armtoken,10p,0.926092,0.962709,0.92681,0.0550401,0.0406981,0.153027,1.0756,0.824721,0.933094,0.477727,0.837174,0.90937,0.0787663,0.000573628
