model,nominal,empirical
armtoken,0,0.000244379
armtoken,0.01,0.0089373
armtoken,0.02,0.0175604
armtoken,0.03,0.0267072
armtoken,0.04,0.035051
armtoken,0.05,0.0440581
armtoken,0.06,0.0539031
armtoken,0.07,0.0620374
armtoken,0.08,0.0723014
armtoken,0.09,0.0807499
armtoken,0.1,0.0902109
armtoken,0.11,0.0990783
armtoken,0.12,0.10812
armtoken,0.13,0.117965
armtoken,0.14,0.1261
armtoken,0.15,0.134269
armtoken,0.16,0.144323
armtoken,0.17,0.153156
armtoken,0.18,0.161884
armtoken,0.19,0.171205
armtoken,0.2,0.180631
armtoken,0.21,0.189848
armtoken,0.22,0.198331
armtoken,0.23,0.207862
armtoken,0.24,0.216415
armtoken,0.25,0.226225
armtoken,0.26,0.235686
armtoken,0.27,0.244449
armtoken,0.28,0.252898
armtoken,0.29,0.261905
armtoken,0.3,0.271715
armtoken,0.31,0.280268
armtoken,0.32,0.289555
armtoken,0.33,0.29905
armtoken,0.34,0.308546
armtoken,0.35,0.3171
armtoken,0.36,0.327049
armtoken,0.37,0.337139
armtoken,0.38,0.346704
armtoken,0.39,0.356026
armtoken,0.4,0.366394
armtoken,0.41,0.375227
armtoken,0.42,0.385526
armtoken,0.43,0.394952
armtoken,0.44,0.404622
armtoken,0.45,0.414816
armtoken,0.46,0.425115
armtoken,0.47,0.435135
armtoken,0.48,0.444351
armtoken,0.49,0.45266
armtoken,0.5,0.461493
armtoken,0.51,0.470256
armtoken,0.52,0.481602
armtoken,0.53,0.491098
armtoken,0.54,0.500663
armtoken,0.55,0.510054
armtoken,0.56,0.520423
armtoken,0.57,0.529605
armtoken,0.58,0.538856
armtoken,0.59,0.547863
armtoken,0.6,0.557569
armtoken,0.61,0.566681
armtoken,0.62,0.576072
armtoken,0.63,0.585219
armtoken,0.64,0.594924
armtoken,0.65,0.604839
armtoken,0.66,0.613846
armtoken,0.67,0.62383
armtoken,0.68,0.632942
armtoken,0.69,0.642438
armtoken,0.7,0.651341
armtoken,0.71,0.661081
armtoken,0.72,0.670891
armtoken,0.73,0.680841
armtoken,0.74,0.690895
armtoken,0.75,0.700147
armtoken,0.76,0.709887
armtoken,0.77,0.720395
armtoken,0.78,0.731043
armtoken,0.79,0.741063
armtoken,0.8,0.752828
armtoken,0.81,0.764174
armtoken,0.82,0.774228
armtoken,0.83,0.785121
armtoken,0.84,0.796921
armtoken,0.85,0.807883
armtoken,0.86,0.817588
armtoken,0.87,0.82855
armtoken,0.88,0.839862
armtoken,0.89,0.852185
armtoken,0.9,0.862414
armtoken,0.91,0.87383
armtoken,0.92,0.885421
armtoken,0.93,0.89771
armtoken,0.94,0.91157
armtoken,0.95,0.923928
armtoken,0.96,0.937509
armtoken,0.97,0.951718
armtoken,0.98,0.966101
armtoken,0.99,0.982893
armtoken,1,1
