model,nominal,empirical
dominantclone,0,0.000104734
dominantclone,0.01,0.0109622
dominantclone,0.02,0.0214006
dominantclone,0.03,0.031874
dominantclone,0.04,0.0420332
dominantclone,0.05,0.0518084
dominantclone,0.06,0.0620723
dominantclone,0.07,0.0714984
dominantclone,0.08,0.0814132
dominantclone,0.09,0.0915724
dominantclone,0.1,0.101941
dominantclone,0.11,0.112624
dominantclone,0.12,0.122574
dominantclone,0.13,0.133536
dominantclone,0.14,0.144149
dominantclone,0.15,0.15532
dominantclone,0.16,0.164712
dominantclone,0.17,0.175499
dominantclone,0.18,0.184995
dominantclone,0.19,0.195119
dominantclone,0.2,0.205034
dominantclone,0.21,0.214984
dominantclone,0.22,0.225702
dominantclone,0.23,0.236245
dominantclone,0.24,0.245846
dominantclone,0.25,0.256424
dominantclone,0.26,0.265954
dominantclone,0.27,0.27545
dominantclone,0.28,0.285994
dominantclone,0.29,0.295629
dominantclone,0.3,0.306207
dominantclone,0.31,0.316541
dominantclone,0.32,0.325688
dominantclone,0.33,0.335603
dominantclone,0.34,0.345727
dominantclone,0.35,0.355677
dominantclone,0.36,0.364998
dominantclone,0.37,0.37418
dominantclone,0.38,0.384304
dominantclone,0.39,0.394044
dominantclone,0.4,0.404378
dominantclone,0.41,0.414572
dominantclone,0.42,0.424033
dominantclone,0.43,0.435414
dominantclone,0.44,0.445887
dominantclone,0.45,0.456047
dominantclone,0.46,0.465961
dominantclone,0.47,0.477343
dominantclone,0.48,0.486315
dominantclone,0.49,0.495636
dominantclone,0.5,0.507087
dominantclone,0.51,0.516339
dominantclone,0.52,0.525555
dominantclone,0.53,0.534876
dominantclone,0.54,0.545001
dominantclone,0.55,0.553973
dominantclone,0.56,0.563608
dominantclone,0.57,0.573279
dominantclone,0.58,0.5826
dominantclone,0.59,0.591572
dominantclone,0.6,0.601697
dominantclone,0.61,0.611646
dominantclone,0.62,0.621945
dominantclone,0.63,0.632035
dominantclone,0.64,0.642089
dominantclone,0.65,0.65141
dominantclone,0.66,0.66129
dominantclone,0.67,0.670437
dominantclone,0.68,0.679968
dominantclone,0.69,0.690965
dominantclone,0.7,0.701299
dominantclone,0.71,0.711004
dominantclone,0.72,0.722001
dominantclone,0.73,0.732056
dominantclone,0.74,0.741866
dominantclone,0.75,0.751606
dominantclone,0.76,0.761765
dominantclone,0.77,0.772483
dominantclone,0.78,0.782537
dominantclone,0.79,0.792871
dominantclone,0.8,0.80317
dominantclone,0.81,0.813434
dominantclone,0.82,0.824012
dominantclone,0.83,0.834136
dominantclone,0.84,0.84447
dominantclone,0.85,0.854036
dominantclone,0.86,0.863462
dominantclone,0.87,0.873796
dominantclone,0.88,0.884758
dominantclone,0.89,0.894812
dominantclone,0.9,0.905006
dominantclone,0.91,0.914118
dominantclone,0.92,0.924138
dominantclone,0.93,0.934018
dominantclone,0.94,0.943129
dominantclone,0.95,0.953638
dominantclone,0.96,0.962331
dominantclone,0.97,0.971477
dominantclone,0.98,0.981811
dominantclone,0.99,0.991377
dominantclone,1,1
