model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
dominantclone,1p,0.13351,0.379147,0.143753,0.185613,0.143988,-0.0939054,0.98993,0.771078,0.125475,0.491551,0.892473,0.947773,0.0599875,0.0176349
dominantclone,1q,0.350391,0.601745,0.362097,0.165992,0.131239,-0.0632388,1.0092,0.800008,0.325387,0.477727,0.886329,0.93702,0.0460337,0.123304
dominantclone,2p,0.333925,0.589709,0.347756,0.165455,0.127644,-0.0663013,0.969407,0.749694,0.273257,0.520737,0.903226,0.9447,0.0363536,0.35
dominantclone,2q,0.234108,0.500073,0.250073,0.174927,0.137755,-0.0775742,0.921779,0.729773,0.107585,0.516129,0.917051,0.961598,0.0584487,0.0224098
dominantclone,3p,0.30869,0.560303,0.313939,0.173875,0.137148,0.0862296,1.00601,0.798053,0.264108,0.485407,0.897081,0.953917,0.0511119,0.0644742
dominantclone,3q,0.164687,0.407843,0.166336,0.178362,0.140588,0.0352889,0.962902,0.757209,0.127651,0.486943,0.920123,0.958525,0.0278023,0.689797
dominantclone,4p,0.251222,0.5123,0.262451,0.177864,0.139581,0.0501965,0.963508,0.75678,0.144667,0.514593,0.890937,0.947773,0.0372299,0.321947
dominantclone,4q,0.146782,0.386184,0.149138,0.191822,0.14971,0.0497551,0.997622,0.780419,0.0796649,0.505376,0.895545,0.940092,0.0358228,0.367751
dominantclone,5p,0.25262,0.52086,0.271295,0.176692,0.138378,0.128689,0.997105,0.788517,0.230878,0.494624,0.903226,0.960061,0.0584662,0.0223496
dominantclone,5q,0.356389,0.604088,0.364923,0.162883,0.126039,0.0256108,0.96455,0.746065,0.277776,0.502304,0.904762,0.9447,0.0585611,0.0220256
dominantclone,6p,0.173967,0.423498,0.179351,0.177533,0.140672,0.0369272,0.948669,0.749151,0.108221,0.534562,0.921659,0.956989,0.0553424,0.0356663
dominantclone,6q,0.307062,0.564763,0.318957,0.166673,0.130513,0.0998169,0.9373,0.739769,0.220037,0.528418,0.913978,0.970814,0.0857372,0.000127019
dominantclone,7p,0.147843,0.387224,0.149943,0.185387,0.146812,0.0325864,0.987157,0.78365,0.122483,0.517665,0.892473,0.940092,0.0234842,0.861473
dominantclone,7q,0.177866,0.422304,0.178341,0.175542,0.137201,-0.0260816,0.959819,0.752695,0.168316,0.52381,0.904762,0.947773,0.0311481,0.546409
dominantclone,8p,0.139874,0.376533,0.141777,0.184365,0.147804,-0.0278992,0.934784,0.751848,0.0314318,0.542243,0.917051,0.963134,0.0345797,0.41151
dominantclone,8q,0.242919,0.505537,0.255568,0.167942,0.127132,0.118356,0.921575,0.703574,0.184539,0.583717,0.917051,0.956989,0.0909408,3.79261e-05
dominantclone,9p,0.319853,0.567872,0.322478,0.165862,0.130772,-0.00409766,0.973178,0.766439,0.271408,0.499232,0.903226,0.949309,0.022678,0.887863
dominantclone,9q,0.202267,0.45625,0.208164,0.174649,0.138126,0.0572914,0.950238,0.752542,0.149634,0.493088,0.912442,0.966206,0.0435862,0.164465
dominantclone,10p,0.21697,0.470631,0.221494,0.179152,0.143046,-0.0335292,0.929469,0.743314,0.070491,0.557604,0.90937,0.956989,0.040186,0.238897
dominantclone,10q,0.0995152,0.315801,0.0997302,0.194254,0.156408,-0.0157186,1.00726,0.809904,0.0582556,0.479263,0.892473,0.946237,0.0406882,0.226533
dominantclone,11p,0.112185,0.346405,0.119996,0.176041,0.138684,0.0816327,0.923978,0.731708,0.095629,0.525346,0.929339,0.956989,0.0729232,0.00183952
dominantclone,11q,0.130333,0.368243,0.135603,0.18605,0.147729,0.0770038,1.01369,0.80841,0.15572,0.502304,0.895545,0.952381,0.0489842,0.085304
dominantclone,12p,0.109388,0.382378,0.146213,0.193318,0.15375,0.204489,1.00592,0.817419,0.110834,0.459293,0.88172,0.940092,0.0802204,0.000423285
dominantclone,12q,0.0643184,0.277995,0.0772814,0.193744,0.155917,0.107661,0.982786,0.79465,0.0330482,0.517665,0.900154,0.949309,0.0647709,0.00804703
dominantclone,13p,0.0953161,0.309297,0.0956646,0.185925,0.148897,-0.0174189,0.94215,0.756232,0.0299338,0.540707,0.912442,0.956989,0.0337983,0.440523
dominantclone,13q,0.103544,0.337723,0.114057,0.192094,0.155928,0.104317,0.992893,0.809476,0.0641997,0.486943,0.90937,0.961598,0.0564426,0.0303413
dominantclone,14p,0.206205,0.463872,0.215178,0.189024,0.150615,-0.0185813,1.01386,0.807964,0.126111,0.505376,0.886329,0.93702,0.0246702,0.818527
