model,alpha,ecp,ecp_lo,ecp_hi
dominantclone,0,0,0,0
dominantclone,0.0204082,0.0230415,0.0122504,0.0368664
dominantclone,0.0408163,0.047619,0.0322581,0.0660522
dominantclone,0.0612245,0.0599078,0.0414747,0.0799155
dominantclone,0.0816327,0.078341,0.0552995,0.096851
dominantclone,0.102041,0.093702,0.0706221,0.11371
dominantclone,0.122449,0.102919,0.0827957,0.124424
dominantclone,0.142857,0.11828,0.0952381,0.141321
dominantclone,0.163265,0.145929,0.124386,0.170545
dominantclone,0.183673,0.167435,0.141167,0.195084
dominantclone,0.204082,0.18894,0.161252,0.215092
dominantclone,0.22449,0.205837,0.178149,0.233525
dominantclone,0.244898,0.22427,0.195084,0.253456
dominantclone,0.265306,0.248848,0.21659,0.279608
dominantclone,0.285714,0.274962,0.242627,0.30576
dominantclone,0.306122,0.299539,0.265668,0.331836
dominantclone,0.326531,0.324117,0.288748,0.357911
dominantclone,0.346939,0.344086,0.307143,0.382527
dominantclone,0.367347,0.379416,0.343932,0.414785
dominantclone,0.387755,0.407066,0.370161,0.443971
dominantclone,0.408163,0.420891,0.382488,0.45626
dominantclone,0.428571,0.43318,0.396275,0.46851
dominantclone,0.44898,0.457757,0.419316,0.491551
dominantclone,0.469388,0.474654,0.436214,0.506989
dominantclone,0.489796,0.499232,0.463863,0.539171
dominantclone,0.510204,0.519201,0.483871,0.556068
dominantclone,0.530612,0.540707,0.506836,0.574501
dominantclone,0.55102,0.560676,0.526882,0.594508
dominantclone,0.571429,0.576037,0.543779,0.609869
dominantclone,0.591837,0.603687,0.569892,0.639017
dominantclone,0.612245,0.628264,0.594432,0.663594
dominantclone,0.632653,0.645161,0.612903,0.682066
dominantclone,0.653061,0.668203,0.640515,0.70361
dominantclone,0.673469,0.694316,0.665131,0.726613
dominantclone,0.693878,0.714286,0.686598,0.752727
dominantclone,0.714286,0.732719,0.706567,0.769624
dominantclone,0.734694,0.743472,0.715745,0.780376
dominantclone,0.755102,0.763441,0.738786,0.795737
dominantclone,0.77551,0.798771,0.772619,0.827957
dominantclone,0.795918,0.823349,0.797235,0.849462
dominantclone,0.816327,0.840246,0.814094,0.866398
dominantclone,0.836735,0.855607,0.829455,0.883257
dominantclone,0.857143,0.869432,0.844816,0.89255
dominantclone,0.877551,0.890937,0.867857,0.913978
dominantclone,0.897959,0.903226,0.88172,0.926267
dominantclone,0.918367,0.927803,0.909332,0.944777
dominantclone,0.938776,0.941628,0.921659,0.956989
dominantclone,0.959184,0.956989,0.941628,0.970853
dominantclone,0.979592,0.976959,0.966167,0.98775
dominantclone,1,1,1,1
