model,nominal,empirical
dominantclone,0,0.000209468
dominantclone,0.01,0.0095657
dominantclone,0.02,0.0194456
dominantclone,0.03,0.0289066
dominantclone,0.04,0.0387167
dominantclone,0.05,0.0489108
dominantclone,0.06,0.058651
dominantclone,0.07,0.0679025
dominantclone,0.08,0.0771191
dominantclone,0.09,0.0867197
dominantclone,0.1,0.0971931
dominantclone,0.11,0.107667
dominantclone,0.12,0.11793
dominantclone,0.13,0.127845
dominantclone,0.14,0.138144
dominantclone,0.15,0.148652
dominantclone,0.16,0.158148
dominantclone,0.17,0.168622
dominantclone,0.18,0.178571
dominantclone,0.19,0.187753
dominantclone,0.2,0.197598
dominantclone,0.21,0.206989
dominantclone,0.22,0.215857
dominantclone,0.23,0.225492
dominantclone,0.24,0.234988
dominantclone,0.25,0.245741
dominantclone,0.26,0.256179
dominantclone,0.27,0.266897
dominantclone,0.28,0.276812
dominantclone,0.29,0.286063
dominantclone,0.3,0.295455
dominantclone,0.31,0.305684
dominantclone,0.32,0.315843
dominantclone,0.33,0.325548
dominantclone,0.34,0.335603
dominantclone,0.35,0.345552
dominantclone,0.36,0.354978
dominantclone,0.37,0.364788
dominantclone,0.38,0.375646
dominantclone,0.39,0.384653
dominantclone,0.4,0.394917
dominantclone,0.41,0.405076
dominantclone,0.42,0.414642
dominantclone,0.43,0.424941
dominantclone,0.44,0.435833
dominantclone,0.45,0.445224
dominantclone,0.46,0.455628
dominantclone,0.47,0.465438
dominantclone,0.48,0.474969
dominantclone,0.49,0.486315
dominantclone,0.5,0.496998
dominantclone,0.51,0.506738
dominantclone,0.52,0.516548
dominantclone,0.53,0.526218
dominantclone,0.54,0.537041
dominantclone,0.55,0.546258
dominantclone,0.56,0.556347
dominantclone,0.57,0.566925
dominantclone,0.58,0.576351
dominantclone,0.59,0.586894
dominantclone,0.6,0.597542
dominantclone,0.61,0.607981
dominantclone,0.62,0.618
dominantclone,0.63,0.627391
dominantclone,0.64,0.636608
dominantclone,0.65,0.646628
dominantclone,0.66,0.656019
dominantclone,0.67,0.66527
dominantclone,0.68,0.674766
dominantclone,0.69,0.685135
dominantclone,0.7,0.694735
dominantclone,0.71,0.704685
dominantclone,0.72,0.715333
dominantclone,0.73,0.725876
dominantclone,0.74,0.736385
dominantclone,0.75,0.746893
dominantclone,0.76,0.757471
dominantclone,0.77,0.767037
dominantclone,0.78,0.776009
dominantclone,0.79,0.78554
dominantclone,0.8,0.796956
dominantclone,0.81,0.807289
dominantclone,0.82,0.817972
dominantclone,0.83,0.827852
dominantclone,0.84,0.839059
dominantclone,0.85,0.850056
dominantclone,0.86,0.861123
dominantclone,0.87,0.872015
dominantclone,0.88,0.88186
dominantclone,0.89,0.892299
dominantclone,0.9,0.902702
dominantclone,0.91,0.912896
dominantclone,0.92,0.922532
dominantclone,0.93,0.933145
dominantclone,0.94,0.942501
dominantclone,0.95,0.952171
dominantclone,0.96,0.960725
dominantclone,0.97,0.970535
dominantclone,0.98,0.980624
dominantclone,0.99,0.990609
dominantclone,1,1
