model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
hybrid,1p,0.829992,0.911107,0.830115,0.0822169,0.0628995,0.0197239,1.05208,0.807608,0.839696,0.465438,0.872504,0.9447,0.0382149,0.292293
hybrid,1q,0.836291,0.914496,0.836303,0.0833292,0.0665123,-0.00825648,1.02221,0.813537,0.819359,0.431644,0.889401,0.949309,0.0518224,0.0585645
hybrid,2p,0.865543,0.930821,0.866427,0.0743377,0.0572231,-0.0361742,1.16422,0.898169,0.889161,0.419355,0.850998,0.917051,0.0598208,0.0181044
hybrid,2q,0.778348,0.882693,0.779147,0.094104,0.0730742,0.037068,1.06397,0.8263,0.794879,0.451613,0.840246,0.921659,0.0508871,0.0664476
hybrid,3p,0.893093,0.945148,0.893306,0.0683763,0.0545288,-0.0297729,1.04232,0.838653,0.885033,0.43318,0.870968,0.946237,0.0644115,0.00855349
hybrid,3q,0.841212,0.918139,0.84298,0.0777655,0.0596175,0.0726293,1.00961,0.782762,0.84895,0.465438,0.883257,0.933948,0.0429937,0.175918
hybrid,4p,0.917153,0.95812,0.917994,0.0591631,0.0459151,-0.134674,1.0978,0.86992,0.921572,0.44086,0.834101,0.90937,0.0964236,9.82628e-06
hybrid,4q,0.809135,0.90122,0.812198,0.0907258,0.0688569,0.114411,1.00172,0.766376,0.785838,0.490015,0.87404,0.941628,0.0519127,0.0578477
hybrid,5p,0.922662,0.961384,0.924259,0.0568385,0.0434553,0.12254,1.08505,0.839315,0.926781,0.44086,0.84639,0.892473,0.0728329,0.00187163
hybrid,5q,0.820573,0.911011,0.829941,0.0860018,0.0655062,0.207326,0.98972,0.777466,0.816749,0.480799,0.87404,0.938556,0.0960808,1.07168e-05
hybrid,6p,0.896805,0.947111,0.89702,0.0627493,0.0475139,-0.042553,1.18051,0.896305,0.921947,0.434716,0.83871,0.912442,0.0634836,0.00999781
hybrid,6q,0.859476,0.927089,0.859493,0.0750572,0.0598058,-0.0194879,0.985504,0.777606,0.839714,0.434716,0.889401,0.9447,0.0543601,0.0410946
hybrid,7p,0.906502,0.952473,0.907204,0.0614073,0.0473228,0.0804341,1.1102,0.86648,0.917773,0.462366,0.829493,0.90169,0.0568204,0.0286815
hybrid,7q,0.858916,0.929098,0.863222,0.0727192,0.056298,0.0965329,0.997951,0.77235,0.859361,0.486943,0.858679,0.933948,0.0545149,0.040194
hybrid,8p,0.91239,0.956207,0.914333,0.0588403,0.0444704,0.146165,1.11683,0.864844,0.928938,0.442396,0.849462,0.900154,0.090492,4.22111e-05
hybrid,8q,0.862484,0.929132,0.863286,0.0715753,0.0566968,-0.00375334,0.994464,0.787624,0.861108,0.453149,0.884793,0.946237,0.0415894,0.205568
