model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
hybrid,1p,0.824838,0.908755,0.825835,0.0834541,0.0639865,0.0412554,1.03676,0.794081,0.823518,0.471582,0.88172,0.924731,0.0393723,0.259989
hybrid,1q,0.8195,0.910723,0.829417,0.0874983,0.0700994,0.221507,1.01242,0.833836,0.81392,0.428571,0.867896,0.938556,0.124796,2.56258e-09
hybrid,2p,0.856942,0.929664,0.864276,0.0766783,0.060768,0.26309,1.17275,0.952608,0.889135,0.393241,0.803379,0.883257,0.155526,3.09096e-14
hybrid,2q,0.780225,0.886538,0.78595,0.0937048,0.0732091,0.146624,1.00624,0.797406,0.779674,0.482335,0.87404,0.927803,0.0820412,0.000287037
hybrid,3p,0.878507,0.940062,0.883717,0.0728915,0.0566845,0.203437,1.0904,0.85274,0.877663,0.431644,0.854071,0.917051,0.110953,1.8705e-07
hybrid,3q,0.836808,0.920014,0.846425,0.0788366,0.0612282,0.175805,0.972337,0.772298,0.837048,0.445469,0.890937,0.938556,0.0930519,2.27592e-05
hybrid,4p,0.913968,0.956694,0.915264,0.0602897,0.0460484,-0.127858,0.999356,0.775949,0.901691,0.460829,0.878648,0.932412,0.0655486,0.00704313
hybrid,4q,0.803182,0.896899,0.804428,0.09213,0.0712813,0.0549682,1.04803,0.812229,0.797866,0.437788,0.869432,0.930876,0.0617218,0.0133616
hybrid,5p,0.914777,0.959612,0.920855,0.0596655,0.0467713,0.226721,1.04932,0.850556,0.916803,0.411674,0.841782,0.90937,0.123903,3.43139e-09
hybrid,5q,0.837793,0.9154,0.837957,0.0817709,0.0629421,-0.0135073,0.976529,0.758993,0.821649,0.502304,0.894009,0.943164,0.0210893,0.931839
hybrid,6p,0.895675,0.947229,0.897243,0.0630919,0.0478975,-0.200228,1.10602,0.860755,0.914172,0.447005,0.852535,0.912442,0.0924069,2.66355e-05
hybrid,6q,0.858387,0.92841,0.861944,0.0753476,0.059888,0.138395,0.986971,0.78136,0.839031,0.456221,0.877112,0.9447,0.0747837,0.00128174
hybrid,7p,0.904979,0.95153,0.90541,0.0619054,0.0483662,-0.0322671,1.10448,0.870133,0.916137,0.443932,0.847926,0.920123,0.0615762,0.0136807
hybrid,7q,0.861011,0.930286,0.865431,0.0721774,0.0566502,0.122988,0.968677,0.760974,0.851155,0.506912,0.875576,0.935484,0.0543269,0.0412898
hybrid,8p,0.911988,0.95586,0.913669,0.058975,0.0445402,-0.136025,1.09494,0.826073,0.919827,0.453149,0.863287,0.933948,0.0734521,0.00166149
hybrid,8q,0.85561,0.929084,0.863197,0.0733424,0.0577189,0.170849,0.974637,0.786718,0.858676,0.462366,0.866359,0.93702,0.078652,0.000587355
hybrid,9p,0.911649,0.955651,0.913269,0.0597795,0.0463392,0.0965847,1.13145,0.900562,0.925709,0.400922,0.814132,0.897081,0.0888813,6.17155e-05
hybrid,9q,0.868011,0.932545,0.869641,0.0710407,0.0565633,-0.0547742,1.01935,0.811426,0.870158,0.427035,0.878648,0.935484,0.0632689,0.010362
hybrid,10p,0.916749,0.957558,0.916917,0.0584154,0.0441768,-0.0374941,1.08402,0.849031,0.926898,0.425499,0.858679,0.912442,0.0532764,0.047905
hybrid,10q,0.871338,0.93554,0.875236,0.0734273,0.057579,0.14645,0.956329,0.766217,0.852524,0.459293,0.883257,0.949309,0.0936195,1.97996e-05
hybrid,11p,0.903431,0.951962,0.906232,0.058059,0.0455883,-0.192206,1.08777,0.853216,0.917766,0.417819,0.852535,0.927803,0.110469,2.15395e-07
hybrid,11q,0.8815,0.940128,0.883842,0.0686771,0.0530717,0.137766,1.02962,0.804105,0.882501,0.470046,0.855607,0.930876,0.0683895,0.00427077
hybrid,12p,0.939542,0.969772,0.940459,0.0503679,0.0383468,-0.11727,0.959316,0.757321,0.932946,0.470046,0.88172,0.9447,0.0580165,0.0239429
hybrid,12q,0.871677,0.933997,0.872351,0.0717492,0.0573133,0.0605433,0.981802,0.785622,0.859152,0.434716,0.894009,0.947773,0.0630772,0.0106972
hybrid,13p,0.945221,0.972342,0.945449,0.0457504,0.0338235,-0.0613943,1.04201,0.797892,0.949777,0.46851,0.850998,0.903226,0.0549167,0.0379366
hybrid,13q,0.876734,0.937329,0.878585,0.0712311,0.0570149,0.0995392,1.03307,0.838003,0.878693,0.427035,0.863287,0.933948,0.0792648,0.000517188
hybrid,14p,0.937338,0.968225,0.93746,0.0531085,0.038341,-0.0827812,1.15603,0.875189,0.945103,0.431644,0.823349,0.894009,0.0759106,0.00102526
hybrid,14q,0.878359,0.93789,0.879637,0.0729294,0.0558508,0.0820018,1.0742,0.829266,0.880332,0.451613,0.850998,0.933948,0.0720874,0.00215727
hybrid,15p,0.946694,0.973365,0.94744,0.0463501,0.0351797,0.0901363,0.997899,0.780667,0.940536,0.431644,0.864823,0.924731,0.0656638,0.00690457
hybrid,15q,0.88555,0.942154,0.887653,0.0648078,0.0510937,-0.0830909,0.96882,0.766469,0.880605,0.459293,0.897081,0.941628,0.0637665,0.00953566
hybrid,16p,0.921178,0.961838,0.925133,0.0573747,0.0434271,-0.261357,1.09115,0.861113,0.930626,0.417819,0.827957,0.910906,0.12879,6.76542e-10
hybrid,16q,0.9172,0.960295,0.922167,0.0571893,0.0446342,0.168065,0.960244,0.776181,0.909691,0.471582,0.867896,0.930876,0.0804876,0.000400048
hybrid,17p,0.939197,0.969323,0.939586,0.0497595,0.0377122,-0.0962183,0.98041,0.766683,0.935344,0.453149,0.867896,0.929339,0.0855391,0.000132813
hybrid,17q,0.904079,0.953267,0.908717,0.0617486,0.0482509,0.234148,1.05431,0.854376,0.913934,0.442396,0.826421,0.90169,0.111542,1.57454e-07
hybrid,18p,0.932502,0.965947,0.933053,0.0513962,0.0375309,0.0681771,1.1637,0.85993,0.94686,0.443932,0.847926,0.913978,0.0594835,0.0190879
hybrid,18q,0.888955,0.944045,0.891221,0.0620274,0.0458207,0.136573,1.10082,0.830335,0.916963,0.451613,0.852535,0.90937,0.0781074,0.00065712
hybrid,19p,0.941473,0.970794,0.942441,0.0491236,0.0380979,-0.11475,1.17704,0.916489,0.951526,0.40553,0.821813,0.910906,0.0955233,1.23327e-05
hybrid,19q,0.917709,0.958294,0.918328,0.058006,0.0441402,-0.051695,1.13615,0.885708,0.934184,0.431644,0.841782,0.907834,0.0683379,0.00431057
hybrid,20p,0.924637,0.961902,0.925255,0.0556576,0.0406086,0.10386,1.05937,0.801426,0.930689,0.465438,0.863287,0.935484,0.070708,0.00279495
