model,nominal,empirical
hybrid,0,0.000174557
hybrid,0.01,0.00911186
hybrid,0.02,0.018503
hybrid,0.03,0.0270214
hybrid,0.04,0.0373202
hybrid,0.05,0.046851
hybrid,0.06,0.0562072
hybrid,0.07,0.0647256
hybrid,0.08,0.0734534
hybrid,0.09,0.081902
hybrid,0.1,0.0914677
hybrid,0.11,0.101801
hybrid,0.12,0.110878
hybrid,0.13,0.119397
hybrid,0.14,0.12788
hybrid,0.15,0.135875
hybrid,0.16,0.145022
hybrid,0.17,0.154622
hybrid,0.18,0.164013
hybrid,0.19,0.1733
hybrid,0.2,0.182656
hybrid,0.21,0.192222
hybrid,0.22,0.201054
hybrid,0.23,0.211353
hybrid,0.24,0.221443
hybrid,0.25,0.230764
hybrid,0.26,0.239701
hybrid,0.27,0.247591
hybrid,0.28,0.256947
hybrid,0.29,0.26578
hybrid,0.3,0.275241
hybrid,0.31,0.284248
hybrid,0.32,0.294477
hybrid,0.33,0.304043
hybrid,0.34,0.313294
hybrid,0.35,0.321917
hybrid,0.36,0.330994
hybrid,0.37,0.34049
hybrid,0.38,0.349672
hybrid,0.39,0.358854
hybrid,0.4,0.368175
hybrid,0.41,0.377112
hybrid,0.42,0.386957
hybrid,0.43,0.396348
hybrid,0.44,0.406298
hybrid,0.45,0.416422
hybrid,0.46,0.425883
hybrid,0.47,0.435309
hybrid,0.48,0.444142
hybrid,0.49,0.453708
hybrid,0.5,0.46261
hybrid,0.51,0.472455
hybrid,0.52,0.481392
hybrid,0.53,0.491098
hybrid,0.54,0.500908
hybrid,0.55,0.511276
hybrid,0.56,0.520353
hybrid,0.57,0.529081
hybrid,0.58,0.538333
hybrid,0.59,0.547514
hybrid,0.6,0.557359
hybrid,0.61,0.567309
hybrid,0.62,0.577503
hybrid,0.63,0.586685
hybrid,0.64,0.597193
hybrid,0.65,0.608085
hybrid,0.66,0.618594
hybrid,0.67,0.628823
hybrid,0.68,0.639087
hybrid,0.69,0.650258
hybrid,0.7,0.659196
hybrid,0.71,0.669006
hybrid,0.72,0.679863
hybrid,0.73,0.690232
hybrid,0.74,0.700321
hybrid,0.75,0.710899
hybrid,0.76,0.722595
hybrid,0.77,0.73237
hybrid,0.78,0.743646
hybrid,0.79,0.75405
hybrid,0.8,0.764488
hybrid,0.81,0.774194
hybrid,0.82,0.785854
hybrid,0.83,0.796886
hybrid,0.84,0.808267
hybrid,0.85,0.819369
hybrid,0.86,0.829633
hybrid,0.87,0.839897
hybrid,0.88,0.851592
hybrid,0.89,0.863636
hybrid,0.9,0.87404
hybrid,0.91,0.885177
hybrid,0.92,0.898024
hybrid,0.93,0.910103
hybrid,0.94,0.922602
hybrid,0.95,0.935554
hybrid,0.96,0.947633
hybrid,0.97,0.959957
hybrid,0.98,0.973642
hybrid,0.99,0.986629
hybrid,1,1
