model,nominal,empirical
hybrid,0,0.000174557
hybrid,0.01,0.00865801
hybrid,0.02,0.0179793
hybrid,0.03,0.0272657
hybrid,0.04,0.0363078
hybrid,0.05,0.0458037
hybrid,0.06,0.0551599
hybrid,0.07,0.0625262
hybrid,0.08,0.0727552
hybrid,0.09,0.0815529
hybrid,0.1,0.0902109
hybrid,0.11,0.0994973
hybrid,0.12,0.108854
hybrid,0.13,0.117896
hybrid,0.14,0.126554
hybrid,0.15,0.136852
hybrid,0.16,0.145755
hybrid,0.17,0.154413
hybrid,0.18,0.163001
hybrid,0.19,0.171275
hybrid,0.2,0.180596
hybrid,0.21,0.189848
hybrid,0.22,0.200496
hybrid,0.23,0.209957
hybrid,0.24,0.219872
hybrid,0.25,0.229332
hybrid,0.26,0.239038
hybrid,0.27,0.249022
hybrid,0.28,0.256982
hybrid,0.29,0.265885
hybrid,0.3,0.27559
hybrid,0.31,0.283969
hybrid,0.32,0.292766
hybrid,0.33,0.301424
hybrid,0.34,0.310571
hybrid,0.35,0.319404
hybrid,0.36,0.329214
hybrid,0.37,0.338465
hybrid,0.38,0.347717
hybrid,0.39,0.357248
hybrid,0.4,0.366848
hybrid,0.41,0.375751
hybrid,0.42,0.385526
hybrid,0.43,0.395231
hybrid,0.44,0.404587
hybrid,0.45,0.414572
hybrid,0.46,0.424312
hybrid,0.47,0.433878
hybrid,0.48,0.443828
hybrid,0.49,0.452905
hybrid,0.5,0.461702
hybrid,0.51,0.472176
hybrid,0.52,0.482056
hybrid,0.53,0.491482
hybrid,0.54,0.501047
hybrid,0.55,0.510299
hybrid,0.56,0.520423
hybrid,0.57,0.529954
hybrid,0.58,0.540218
hybrid,0.59,0.550621
hybrid,0.6,0.560711
hybrid,0.61,0.570311
hybrid,0.62,0.579703
hybrid,0.63,0.589478
hybrid,0.64,0.600265
hybrid,0.65,0.610355
hybrid,0.66,0.620968
hybrid,0.67,0.631651
hybrid,0.68,0.642368
hybrid,0.69,0.652632
hybrid,0.7,0.662582
hybrid,0.71,0.67337
hybrid,0.72,0.682656
hybrid,0.73,0.692466
hybrid,0.74,0.703009
hybrid,0.75,0.713972
hybrid,0.76,0.724026
hybrid,0.77,0.735198
hybrid,0.78,0.74602
hybrid,0.79,0.757331
hybrid,0.8,0.767875
hybrid,0.81,0.778173
hybrid,0.82,0.788717
hybrid,0.83,0.800377
hybrid,0.84,0.810676
hybrid,0.85,0.821743
hybrid,0.86,0.832495
hybrid,0.87,0.844365
hybrid,0.88,0.855816
hybrid,0.89,0.867023
hybrid,0.9,0.878543
hybrid,0.91,0.890169
hybrid,0.92,0.902213
hybrid,0.93,0.913106
hybrid,0.94,0.926616
hybrid,0.95,0.938207
hybrid,0.96,0.950077
hybrid,0.97,0.963273
hybrid,0.98,0.97626
hybrid,0.99,0.988759
hybrid,1,1
