model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
hybrid,1p,0.815423,0.903724,0.816718,0.0856675,0.0660901,0.0470917,1.01271,0.786728,0.814871,0.445469,0.875576,0.935484,0.0502992,0.0718523
hybrid,1q,0.832906,0.912696,0.833015,0.0841863,0.0669962,-0.0626077,1.09208,0.859991,0.83742,0.388633,0.863287,0.932412,0.076939,0.000833841
hybrid,2p,0.857882,0.92835,0.861833,0.0764261,0.0600764,0.158579,1.06858,0.850074,0.867986,0.437788,0.861751,0.926267,0.105516,8.79101e-07
hybrid,2q,0.780326,0.883445,0.780475,0.0936832,0.0727161,-0.00507348,0.962733,0.745978,0.750457,0.482335,0.900154,0.9447,0.0294711,0.617733
hybrid,3p,0.883089,0.940769,0.885045,0.071504,0.0560975,0.113982,0.961759,0.759894,0.853196,0.505376,0.90169,0.955453,0.0606805,0.0157991
hybrid,3q,0.848849,0.922272,0.850586,0.0758725,0.0582427,0.0839922,1.03582,0.802025,0.864494,0.43318,0.87404,0.924731,0.0538284,0.0443228
hybrid,4p,0.917822,0.958069,0.917896,0.0589239,0.0443602,0.00378964,1.18582,0.904268,0.934853,0.420891,0.815668,0.892473,0.0675998,0.00491841
hybrid,4q,0.803489,0.896732,0.804128,0.092058,0.0703788,0.0322729,1.02945,0.779388,0.781396,0.474654,0.894009,0.933948,0.0371903,0.323181
hybrid,5p,0.920731,0.959557,0.920749,0.0575435,0.0443086,-0.0111439,0.942254,0.730315,0.90262,0.490015,0.90169,0.950845,0.026937,0.726758
hybrid,5q,0.831425,0.912592,0.832825,0.0833605,0.0639478,0.0713659,1.10808,0.852941,0.853878,0.44086,0.832565,0.912442,0.0621143,0.0125344
hybrid,6p,0.89617,0.946984,0.896779,0.062942,0.0477966,-0.00720158,1.08631,0.820528,0.907655,0.454685,0.870968,0.924731,0.0347115,0.40673
hybrid,6q,0.852031,0.925261,0.856108,0.0770199,0.0608646,0.147718,0.959866,0.765101,0.834487,0.451613,0.894009,0.950845,0.0695432,0.00346455
hybrid,7p,0.902036,0.949781,0.902084,0.0628566,0.0490186,0.0139117,1.01089,0.800227,0.902143,0.453149,0.88172,0.935484,0.0386554,0.279678
hybrid,7q,0.860138,0.928054,0.861284,0.0724036,0.0558185,-0.00312847,1.04908,0.813163,0.876426,0.471582,0.860215,0.912442,0.0388056,0.275466
hybrid,8p,0.910756,0.954648,0.911353,0.0593861,0.0446628,-0.103491,1.11573,0.825266,0.919713,0.474654,0.87404,0.930876,0.0572452,0.0269113
