model,nominal,empirical
hybrid,0,0.000104734
hybrid,0.01,0.00844854
hybrid,0.02,0.0168971
hybrid,0.03,0.0256598
hybrid,0.04,0.0341433
hybrid,0.05,0.04329
hybrid,0.06,0.0525765
hybrid,0.07,0.0611646
hybrid,0.08,0.0690546
hybrid,0.09,0.0780617
hybrid,0.1,0.0870339
hybrid,0.11,0.0962505
hybrid,0.12,0.10435
hybrid,0.13,0.113008
hybrid,0.14,0.120654
hybrid,0.15,0.13001
hybrid,0.16,0.138319
hybrid,0.17,0.147221
hybrid,0.18,0.156158
hybrid,0.19,0.164432
hybrid,0.2,0.174033
hybrid,0.21,0.182761
hybrid,0.22,0.191349
hybrid,0.23,0.200496
hybrid,0.24,0.209224
hybrid,0.25,0.21837
hybrid,0.26,0.227482
hybrid,0.27,0.235407
hybrid,0.28,0.243995
hybrid,0.29,0.253456
hybrid,0.3,0.262533
hybrid,0.31,0.271121
hybrid,0.32,0.280094
hybrid,0.33,0.289101
hybrid,0.34,0.297724
hybrid,0.35,0.305858
hybrid,0.36,0.313748
hybrid,0.37,0.323872
hybrid,0.38,0.334485
hybrid,0.39,0.342445
hybrid,0.4,0.350998
hybrid,0.41,0.36025
hybrid,0.42,0.368978
hybrid,0.43,0.377566
hybrid,0.44,0.386084
hybrid,0.45,0.396034
hybrid,0.46,0.405111
hybrid,0.47,0.414607
hybrid,0.48,0.424731
hybrid,0.49,0.43311
hybrid,0.5,0.442326
hybrid,0.51,0.451718
hybrid,0.52,0.461109
hybrid,0.53,0.470849
hybrid,0.54,0.480589
hybrid,0.55,0.489492
hybrid,0.56,0.498918
hybrid,0.57,0.508588
hybrid,0.58,0.51784
hybrid,0.59,0.527266
hybrid,0.6,0.536936
hybrid,0.61,0.5472
hybrid,0.62,0.557255
hybrid,0.63,0.56682
hybrid,0.64,0.577573
hybrid,0.65,0.588151
hybrid,0.66,0.598101
hybrid,0.67,0.60833
hybrid,0.68,0.619048
hybrid,0.69,0.629346
hybrid,0.7,0.63961
hybrid,0.71,0.649804
hybrid,0.72,0.660103
hybrid,0.73,0.672218
hybrid,0.74,0.682063
hybrid,0.75,0.692326
hybrid,0.76,0.703009
hybrid,0.77,0.712819
hybrid,0.78,0.724166
hybrid,0.79,0.735861
hybrid,0.8,0.746334
hybrid,0.81,0.756738
hybrid,0.82,0.767979
hybrid,0.83,0.779465
hybrid,0.84,0.791091
hybrid,0.85,0.802297
hybrid,0.86,0.814272
hybrid,0.87,0.825583
hybrid,0.88,0.837418
hybrid,0.89,0.849183
hybrid,0.9,0.860774
hybrid,0.91,0.873726
hybrid,0.92,0.887551
hybrid,0.93,0.900642
hybrid,0.94,0.914153
hybrid,0.95,0.928397
hybrid,0.96,0.941384
hybrid,0.97,0.956989
hybrid,0.98,0.97057
hybrid,0.99,0.985826
hybrid,1,1
