model,nominal,empirical
hybrid,0,0.000139645
hybrid,0.01,0.00883257
hybrid,0.02,0.019306
hybrid,0.03,0.0283131
hybrid,0.04,0.0377391
hybrid,0.05,0.0474794
hybrid,0.06,0.0565214
hybrid,0.07,0.0644812
hybrid,0.08,0.0731392
hybrid,0.09,0.082286
hybrid,0.1,0.0920612
hybrid,0.11,0.100719
hybrid,0.12,0.109342
hybrid,0.13,0.118559
hybrid,0.14,0.127217
hybrid,0.15,0.136189
hybrid,0.16,0.144987
hybrid,0.17,0.155006
hybrid,0.18,0.163455
hybrid,0.19,0.172602
hybrid,0.2,0.181748
hybrid,0.21,0.190581
hybrid,0.22,0.199309
hybrid,0.23,0.208944
hybrid,0.24,0.21851
hybrid,0.25,0.227343
hybrid,0.26,0.235826
hybrid,0.27,0.245636
hybrid,0.28,0.254643
hybrid,0.29,0.263231
hybrid,0.3,0.273041
hybrid,0.31,0.283131
hybrid,0.32,0.292662
hybrid,0.33,0.302192
hybrid,0.34,0.311269
hybrid,0.35,0.319823
hybrid,0.36,0.329319
hybrid,0.37,0.338256
hybrid,0.38,0.348136
hybrid,0.39,0.357806
hybrid,0.4,0.366569
hybrid,0.41,0.375855
hybrid,0.42,0.385456
hybrid,0.43,0.394603
hybrid,0.44,0.404657
hybrid,0.45,0.414118
hybrid,0.46,0.423055
hybrid,0.47,0.4329
hybrid,0.48,0.442187
hybrid,0.49,0.452032
hybrid,0.5,0.462785
hybrid,0.51,0.471268
hybrid,0.52,0.481497
hybrid,0.53,0.490958
hybrid,0.54,0.501047
hybrid,0.55,0.510438
hybrid,0.56,0.519934
hybrid,0.57,0.528837
hybrid,0.58,0.53725
hybrid,0.59,0.547026
hybrid,0.6,0.556277
hybrid,0.61,0.566541
hybrid,0.62,0.575967
hybrid,0.63,0.587104
hybrid,0.64,0.598869
hybrid,0.65,0.609447
hybrid,0.66,0.619606
hybrid,0.67,0.631371
hybrid,0.68,0.640448
hybrid,0.69,0.650957
hybrid,0.7,0.66136
hybrid,0.71,0.67145
hybrid,0.72,0.681609
hybrid,0.73,0.691698
hybrid,0.74,0.703114
hybrid,0.75,0.714286
hybrid,0.76,0.72455
hybrid,0.77,0.73422
hybrid,0.78,0.744275
hybrid,0.79,0.754434
hybrid,0.8,0.765361
hybrid,0.81,0.775904
hybrid,0.82,0.786762
hybrid,0.83,0.797235
hybrid,0.84,0.809279
hybrid,0.85,0.821079
hybrid,0.86,0.83082
hybrid,0.87,0.842026
hybrid,0.88,0.854245
hybrid,0.89,0.867232
hybrid,0.9,0.877915
hybrid,0.91,0.889715
hybrid,0.92,0.901166
hybrid,0.93,0.914048
hybrid,0.94,0.926756
hybrid,0.95,0.938032
hybrid,0.96,0.95074
hybrid,0.97,0.963692
hybrid,0.98,0.975806
hybrid,0.99,0.988584
hybrid,1,1
