model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
hybrid,1p,0.821867,0.907066,0.822769,0.0841587,0.0640836,0.0611428,0.978757,0.752046,0.809251,0.488479,0.892473,0.9447,0.037099,0.326036
hybrid,1q,0.830503,0.912321,0.832329,0.0847895,0.0670556,-0.0341114,1.08888,0.857741,0.836563,0.425499,0.866359,0.929339,0.0607385,0.0156533
hybrid,2p,0.872055,0.934434,0.873166,0.0725151,0.0558879,0.0798343,1.03075,0.795541,0.866167,0.480799,0.890937,0.949309,0.0774513,0.000751482
hybrid,2q,0.784005,0.885749,0.784551,0.0928954,0.0720786,0.038268,0.961438,0.750068,0.759908,0.49616,0.883257,0.9447,0.0315333,0.530404
hybrid,3p,0.894656,0.947178,0.897147,0.0678745,0.0531464,0.122324,0.917016,0.737197,0.862696,0.479263,0.917051,0.963134,0.0715004,0.00241006
hybrid,3q,0.841115,0.919178,0.844888,0.0777892,0.0599778,0.137569,1.03271,0.808209,0.859258,0.442396,0.889401,0.9447,0.0741018,0.00146476
hybrid,4p,0.914446,0.956547,0.914982,0.0601219,0.0448983,0.0484808,1.16732,0.892085,0.93208,0.420891,0.832565,0.895545,0.0738106,0.00155009
hybrid,4q,0.805,0.897635,0.805748,0.0917034,0.0706346,0.0298466,1.00176,0.775612,0.780183,0.491551,0.886329,0.938556,0.0353897,0.382653
hybrid,5p,0.92346,0.96151,0.924501,0.0565444,0.043019,0.0808992,0.942311,0.727157,0.909429,0.508449,0.903226,0.943164,0.035269,0.386873
hybrid,5q,0.831587,0.912507,0.83267,0.0833204,0.0641772,0.0506815,1.07143,0.832958,0.846795,0.445469,0.863287,0.935484,0.0589776,0.0206526
hybrid,6p,0.89603,0.946753,0.896342,0.0629844,0.0475755,0.0272021,1.09389,0.838147,0.913001,0.423963,0.875576,0.927803,0.0501379,0.0733985
hybrid,6q,0.864628,0.931945,0.868521,0.0736683,0.0579616,0.145349,0.972271,0.773659,0.851336,0.473118,0.883257,0.952381,0.0905943,4.11956e-05
hybrid,7p,0.902952,0.951306,0.904983,0.0625622,0.0478587,0.0620597,1.06358,0.823675,0.91092,0.463902,0.867896,0.927803,0.0588348,0.0211146
hybrid,7q,0.864741,0.930338,0.865529,0.0712022,0.0546671,0.0452849,0.947587,0.732749,0.854853,0.534562,0.895545,0.947773,0.0366853,0.339196
hybrid,8p,0.914125,0.956435,0.914769,0.0582544,0.043372,-0.0808058,1.01616,0.770831,0.916196,0.46851,0.894009,0.950845,0.0481125,0.0953418
hybrid,8q,0.861156,0.928431,0.861985,0.0719202,0.0568107,0.0571642,1.07932,0.856697,0.885786,0.431644,0.863287,0.921659,0.0658196,0.00672118
hybrid,9p,0.917972,0.958549,0.918816,0.0576005,0.0444866,0.0965298,0.969407,0.768381,0.909608,0.480799,0.892473,0.949309,0.0482682,0.0934795
