model,nominal,empirical
cloneatt,0,0.000209468
cloneatt,0.01,0.00897221
cloneatt,0.02,0.0178048
cloneatt,0.03,0.0275799
cloneatt,0.04,0.0369711
cloneatt,0.05,0.0472001
cloneatt,0.06,0.0562421
cloneatt,0.07,0.0659126
cloneatt,0.08,0.0764558
cloneatt,0.09,0.085812
cloneatt,0.1,0.095273
cloneatt,0.11,0.104525
cloneatt,0.12,0.114754
cloneatt,0.13,0.124633
cloneatt,0.14,0.133745
cloneatt,0.15,0.144742
cloneatt,0.16,0.154727
cloneatt,0.17,0.163978
cloneatt,0.18,0.17337
cloneatt,0.19,0.182412
cloneatt,0.2,0.191419
cloneatt,0.21,0.201159
cloneatt,0.22,0.210829
cloneatt,0.23,0.220709
cloneatt,0.24,0.229891
cloneatt,0.25,0.239596
cloneatt,0.26,0.249162
cloneatt,0.27,0.258414
cloneatt,0.28,0.267979
cloneatt,0.29,0.27737
cloneatt,0.3,0.287181
cloneatt,0.31,0.296711
cloneatt,0.32,0.305858
cloneatt,0.33,0.315319
cloneatt,0.34,0.324885
cloneatt,0.35,0.334066
cloneatt,0.36,0.344365
cloneatt,0.37,0.353477
cloneatt,0.38,0.362519
cloneatt,0.39,0.372155
cloneatt,0.4,0.381511
cloneatt,0.41,0.391391
cloneatt,0.42,0.401166
cloneatt,0.43,0.410522
cloneatt,0.44,0.420647
cloneatt,0.45,0.429549
cloneatt,0.46,0.439778
cloneatt,0.47,0.450077
cloneatt,0.48,0.46076
cloneatt,0.49,0.470919
cloneatt,0.5,0.479996
cloneatt,0.51,0.490295
cloneatt,0.52,0.499616
cloneatt,0.53,0.509217
cloneatt,0.54,0.51962
cloneatt,0.55,0.52943
cloneatt,0.56,0.539345
cloneatt,0.57,0.548597
cloneatt,0.58,0.558302
cloneatt,0.59,0.568531
cloneatt,0.6,0.577782
cloneatt,0.61,0.588291
cloneatt,0.62,0.598275
cloneatt,0.63,0.607562
cloneatt,0.64,0.616848
cloneatt,0.65,0.625786
cloneatt,0.66,0.635456
cloneatt,0.67,0.645301
cloneatt,0.68,0.655705
cloneatt,0.69,0.666038
cloneatt,0.7,0.675813
cloneatt,0.71,0.686496
cloneatt,0.72,0.696725
cloneatt,0.73,0.707653
cloneatt,0.74,0.717288
cloneatt,0.75,0.727447
cloneatt,0.76,0.737746
cloneatt,0.77,0.748324
cloneatt,0.78,0.758309
cloneatt,0.79,0.768747
cloneatt,0.8,0.778627
cloneatt,0.81,0.78924
cloneatt,0.82,0.801529
cloneatt,0.83,0.812317
cloneatt,0.84,0.823977
cloneatt,0.85,0.834939
cloneatt,0.86,0.844924
cloneatt,0.87,0.854874
cloneatt,0.88,0.866255
cloneatt,0.89,0.876798
cloneatt,0.9,0.888179
cloneatt,0.91,0.90148
cloneatt,0.92,0.913071
cloneatt,0.93,0.925185
cloneatt,0.94,0.937055
cloneatt,0.95,0.948052
cloneatt,0.96,0.959084
cloneatt,0.97,0.969034
cloneatt,0.98,0.980205
cloneatt,0.99,0.990748
cloneatt,1,1
