model,nominal,empirical
cloneatt,0,0.000174557
cloneatt,0.01,0.00921659
cloneatt,0.02,0.018503
cloneatt,0.03,0.0276847
cloneatt,0.04,0.0360285
cloneatt,0.05,0.0467812
cloneatt,0.06,0.0557185
cloneatt,0.07,0.0649002
cloneatt,0.08,0.0739073
cloneatt,0.09,0.083089
cloneatt,0.1,0.0926547
cloneatt,0.11,0.101417
cloneatt,0.12,0.110634
cloneatt,0.13,0.12027
cloneatt,0.14,0.130917
cloneatt,0.15,0.140797
cloneatt,0.16,0.150538
cloneatt,0.17,0.160348
cloneatt,0.18,0.169634
cloneatt,0.19,0.178641
cloneatt,0.2,0.187718
cloneatt,0.21,0.196621
cloneatt,0.22,0.205942
cloneatt,0.23,0.215438
cloneatt,0.24,0.224864
cloneatt,0.25,0.23415
cloneatt,0.26,0.242529
cloneatt,0.27,0.251641
cloneatt,0.28,0.260718
cloneatt,0.29,0.270982
cloneatt,0.3,0.281734
cloneatt,0.31,0.29123
cloneatt,0.32,0.300691
cloneatt,0.33,0.310466
cloneatt,0.34,0.319823
cloneatt,0.35,0.329423
cloneatt,0.36,0.337942
cloneatt,0.37,0.347088
cloneatt,0.38,0.355711
cloneatt,0.39,0.366464
cloneatt,0.4,0.376204
cloneatt,0.41,0.385596
cloneatt,0.42,0.394638
cloneatt,0.43,0.40546
cloneatt,0.44,0.414572
cloneatt,0.45,0.423719
cloneatt,0.46,0.433389
cloneatt,0.47,0.443095
cloneatt,0.48,0.452102
cloneatt,0.49,0.461353
cloneatt,0.5,0.47057
cloneatt,0.51,0.48038
cloneatt,0.52,0.489876
cloneatt,0.53,0.499162
cloneatt,0.54,0.509531
cloneatt,0.55,0.520039
cloneatt,0.56,0.529919
cloneatt,0.57,0.53931
cloneatt,0.58,0.548178
cloneatt,0.59,0.558581
cloneatt,0.6,0.567763
cloneatt,0.61,0.577468
cloneatt,0.62,0.586859
cloneatt,0.63,0.596565
cloneatt,0.64,0.606096
cloneatt,0.65,0.615103
cloneatt,0.66,0.625436
cloneatt,0.67,0.635246
cloneatt,0.68,0.644428
cloneatt,0.69,0.653959
cloneatt,0.7,0.664153
cloneatt,0.71,0.673754
cloneatt,0.72,0.683948
cloneatt,0.73,0.694247
cloneatt,0.74,0.70486
cloneatt,0.75,0.715752
cloneatt,0.76,0.726609
cloneatt,0.77,0.735861
cloneatt,0.78,0.745811
cloneatt,0.79,0.756808
cloneatt,0.8,0.767456
cloneatt,0.81,0.778627
cloneatt,0.82,0.788577
cloneatt,0.83,0.798806
cloneatt,0.84,0.809663
cloneatt,0.85,0.820416
cloneatt,0.86,0.830855
cloneatt,0.87,0.841712
cloneatt,0.88,0.853442
cloneatt,0.89,0.863706
cloneatt,0.9,0.87404
cloneatt,0.91,0.885316
cloneatt,0.92,0.896872
cloneatt,0.93,0.909894
cloneatt,0.94,0.921554
cloneatt,0.95,0.933459
cloneatt,0.96,0.945818
cloneatt,0.97,0.958246
cloneatt,0.98,0.973398
cloneatt,0.99,0.986943
cloneatt,1,1
