model,alpha,ecp,ecp_lo,ecp_hi
clonemlp,0,0,0,0
clonemlp,0.0204082,0.0445469,0.0291859,0.0599462
clonemlp,0.0408163,0.0829493,0.0629416,0.104455
clonemlp,0.0612245,0.115207,0.0936636,0.135177
clonemlp,0.0816327,0.147465,0.124424,0.175115
clonemlp,0.102041,0.173579,0.145891,0.205876
clonemlp,0.122449,0.207373,0.179724,0.236559
clonemlp,0.142857,0.231951,0.202765,0.265783
clonemlp,0.163265,0.258065,0.227266,0.293472
clonemlp,0.183673,0.27957,0.248848,0.3149
clonemlp,0.204082,0.305684,0.271851,0.344086
clonemlp,0.22449,0.330261,0.294931,0.367166
clonemlp,0.244898,0.348694,0.310292,0.387135
clonemlp,0.265306,0.371736,0.336367,0.411674
clonemlp,0.285714,0.400922,0.364017,0.440937
clonemlp,0.306122,0.420891,0.383948,0.459332
clonemlp,0.326531,0.44086,0.405453,0.480837
clonemlp,0.346939,0.453149,0.417819,0.493088
clonemlp,0.367347,0.471582,0.431644,0.509985
clonemlp,0.387755,0.491551,0.451575,0.528456
clonemlp,0.408163,0.509985,0.46851,0.548425
clonemlp,0.428571,0.53149,0.488402,0.566859
clonemlp,0.44898,0.562212,0.523618,0.603687
clonemlp,0.469388,0.591398,0.552957,0.62523
clonemlp,0.489796,0.606759,0.565246,0.643664
clonemlp,0.510204,0.626728,0.588249,0.662058
clonemlp,0.530612,0.646697,0.611367,0.683602
clonemlp,0.55102,0.669739,0.639017,0.706605
clonemlp,0.571429,0.688172,0.658986,0.726575
clonemlp,0.591837,0.698925,0.672773,0.734255
clonemlp,0.612245,0.72043,0.691206,0.758909
clonemlp,0.632653,0.734255,0.705031,0.774194
clonemlp,0.653061,0.740399,0.708141,0.777304
clonemlp,0.673469,0.75576,0.724962,0.788172
clonemlp,0.693878,0.77573,0.747926,0.808065
clonemlp,0.714286,0.794163,0.764939,0.826459
clonemlp,0.734694,0.815668,0.784908,0.847965
clonemlp,0.755102,0.827957,0.798733,0.860215
clonemlp,0.77551,0.850998,0.821813,0.881759
clonemlp,0.795918,0.864823,0.83871,0.889401
clonemlp,0.816327,0.877112,0.85096,0.900154
clonemlp,0.836735,0.886329,0.863287,0.907873
clonemlp,0.857143,0.906298,0.883218,0.926306
clonemlp,0.877551,0.921659,0.903187,0.940092
clonemlp,0.897959,0.933948,0.915438,0.952381
clonemlp,0.918367,0.9447,0.927803,0.961598
clonemlp,0.938776,0.961598,0.946237,0.975461
clonemlp,0.959184,0.981567,0.97235,0.990783
clonemlp,0.979592,0.990783,0.983065,0.996928
clonemlp,1,1,1,1
