model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
cloneatt,1p,0.42555,0.657821,0.432728,0.151131,0.11905,0.101784,1.01408,0.80399,0.448315,0.439324,0.880184,0.946237,0.07911,0.000534131
cloneatt,1q,0.409718,0.643109,0.413589,0.158231,0.126836,0.0364468,1.00806,0.807984,0.377043,0.453149,0.880184,0.956989,0.0476333,0.101267
cloneatt,2p,0.35859,0.608189,0.369894,0.162362,0.129935,-0.0776996,0.966309,0.773427,0.28156,0.482335,0.895545,0.949309,0.0606731,0.0158176
cloneatt,2q,0.268232,0.531261,0.282238,0.170985,0.138083,-0.127681,0.97038,0.78956,0.229201,0.453149,0.897081,0.949309,0.0962651,1.02288e-05
cloneatt,3p,0.242682,0.499805,0.249806,0.181987,0.147,-0.0750926,1.00621,0.815067,0.179488,0.453149,0.890937,0.946237,0.0732982,0.00171156
cloneatt,3q,0.227499,0.48413,0.234381,0.171525,0.137737,0.0566212,0.993264,0.796985,0.242721,0.462366,0.895545,0.950845,0.052354,0.0544515
cloneatt,4p,0.636063,0.799997,0.639995,0.124001,0.0974382,0.0750629,0.942639,0.741287,0.558279,0.49616,0.898618,0.943164,0.0489464,0.0857198
cloneatt,4q,0.288884,0.539452,0.291008,0.175121,0.137063,0.055373,0.992282,0.774677,0.206376,0.516129,0.90169,0.952381,0.0481761,0.0945778
cloneatt,5p,0.523397,0.728838,0.531205,0.141099,0.115509,-0.106561,0.960969,0.783906,0.440113,0.456221,0.912442,0.961598,0.0725417,0.00197874
cloneatt,5q,0.216301,0.465393,0.216591,0.179738,0.143696,-0.0188849,1.03039,0.820781,0.224442,0.457757,0.886329,0.940092,0.0355795,0.376076
cloneatt,6p,0.44841,0.674401,0.454817,0.145073,0.116447,-0.0890476,0.98853,0.776602,0.415875,0.494624,0.898618,0.952381,0.0599083,0.0178566
cloneatt,6q,0.445854,0.67146,0.450858,0.149049,0.119467,0.0850943,0.998597,0.797638,0.425783,0.466974,0.889401,0.9447,0.0655634,0.00702526
