model,nominal,empirical
cloneatt,0,0.000314202
cloneatt,0.01,0.0105432
cloneatt,0.02,0.0203184
cloneatt,0.03,0.0300936
cloneatt,0.04,0.0392054
cloneatt,0.05,0.0487711
cloneatt,0.06,0.0581972
cloneatt,0.07,0.0672043
cloneatt,0.08,0.0763162
cloneatt,0.09,0.086231
cloneatt,0.1,0.0956919
cloneatt,0.11,0.105781
cloneatt,0.12,0.115207
cloneatt,0.13,0.124284
cloneatt,0.14,0.134269
cloneatt,0.15,0.144323
cloneatt,0.16,0.154029
cloneatt,0.17,0.163245
cloneatt,0.18,0.173614
cloneatt,0.19,0.183668
cloneatt,0.2,0.192711
cloneatt,0.21,0.201822
cloneatt,0.22,0.21275
cloneatt,0.23,0.22235
cloneatt,0.24,0.232579
cloneatt,0.25,0.24218
cloneatt,0.26,0.252165
cloneatt,0.27,0.261765
cloneatt,0.28,0.271924
cloneatt,0.29,0.28149
cloneatt,0.3,0.2913
cloneatt,0.31,0.301075
cloneatt,0.32,0.310397
cloneatt,0.33,0.319858
cloneatt,0.34,0.330401
cloneatt,0.35,0.339652
cloneatt,0.36,0.350545
cloneatt,0.37,0.36039
cloneatt,0.38,0.369711
cloneatt,0.39,0.378683
cloneatt,0.4,0.388668
cloneatt,0.41,0.397849
cloneatt,0.42,0.406507
cloneatt,0.43,0.415445
cloneatt,0.44,0.424836
cloneatt,0.45,0.435449
cloneatt,0.46,0.444666
cloneatt,0.47,0.453917
cloneatt,0.48,0.463448
cloneatt,0.49,0.472525
cloneatt,0.5,0.481951
cloneatt,0.51,0.491901
cloneatt,0.52,0.501571
cloneatt,0.53,0.511346
cloneatt,0.54,0.520772
cloneatt,0.55,0.529744
cloneatt,0.56,0.539904
cloneatt,0.57,0.549714
cloneatt,0.58,0.559314
cloneatt,0.59,0.568287
cloneatt,0.6,0.578166
cloneatt,0.61,0.588919
cloneatt,0.62,0.598939
cloneatt,0.63,0.608609
cloneatt,0.64,0.617407
cloneatt,0.65,0.627985
cloneatt,0.66,0.637202
cloneatt,0.67,0.647361
cloneatt,0.68,0.658113
cloneatt,0.69,0.668447
cloneatt,0.7,0.678641
cloneatt,0.71,0.688626
cloneatt,0.72,0.699134
cloneatt,0.73,0.708944
cloneatt,0.74,0.718405
cloneatt,0.75,0.728844
cloneatt,0.76,0.739003
cloneatt,0.77,0.750035
cloneatt,0.78,0.760124
cloneatt,0.79,0.770807
cloneatt,0.8,0.780722
cloneatt,0.81,0.791859
cloneatt,0.82,0.802856
cloneatt,0.83,0.813748
cloneatt,0.84,0.82286
cloneatt,0.85,0.834416
cloneatt,0.86,0.846076
cloneatt,0.87,0.856759
cloneatt,0.88,0.867512
cloneatt,0.89,0.878055
cloneatt,0.9,0.888807
cloneatt,0.91,0.899246
cloneatt,0.92,0.909824
cloneatt,0.93,0.921938
cloneatt,0.94,0.933145
cloneatt,0.95,0.943583
cloneatt,0.96,0.956151
cloneatt,0.97,0.967672
cloneatt,0.98,0.979298
cloneatt,0.99,0.99012
cloneatt,1,1
