model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
cloneatt,1p,0.516802,0.729727,0.532501,0.138608,0.109591,-0.164904,0.960613,0.770771,0.486725,0.471582,0.889401,0.955453,0.0836132,0.00020382
cloneatt,1q,0.374822,0.614439,0.377535,0.162841,0.130137,0.0658213,1.02656,0.821943,0.369273,0.459293,0.886329,0.941628,0.044832,0.142319
cloneatt,2p,0.666126,0.819845,0.672146,0.117141,0.0911081,-0.121069,1.0939,0.849679,0.704052,0.448541,0.858679,0.930876,0.0773546,0.000766427
cloneatt,2q,0.405902,0.637675,0.406629,0.154064,0.123299,0.00816834,0.915909,0.731086,0.281661,0.506912,0.929339,0.953917,0.022701,0.887144
cloneatt,3p,0.657392,0.81167,0.658808,0.122405,0.097287,-0.0682011,0.98864,0.786228,0.611798,0.491551,0.900154,0.958525,0.0425883,0.184111
cloneatt,3q,0.355072,0.607607,0.369186,0.156723,0.124855,0.140191,1.04164,0.835695,0.437302,0.431644,0.878648,0.940092,0.0865555,0.000105529
cloneatt,4p,0.742052,0.863953,0.746415,0.104395,0.0831562,0.124292,0.974854,0.788827,0.714469,0.483871,0.900154,0.953917,0.0740833,0.00147003
cloneatt,4q,0.416416,0.646528,0.417998,0.158643,0.123186,0.0463801,1.02823,0.796773,0.39384,0.490015,0.878648,0.940092,0.049386,0.0809857
cloneatt,5p,0.627345,0.793603,0.629806,0.124767,0.0985913,-0.0722097,1.00342,0.787509,0.596138,0.491551,0.894009,0.946237,0.0396902,0.251591
cloneatt,5q,0.162967,0.413138,0.170683,0.185753,0.14784,0.0293655,1.07516,0.852992,0.232565,0.46851,0.867896,0.923195,0.0518039,0.0587117
cloneatt,6p,0.461676,0.67971,0.462006,0.143318,0.113831,0.0178029,1.08836,0.85345,0.541409,0.462366,0.880184,0.918587,0.0359269,0.364224
cloneatt,6q,0.628391,0.798468,0.637551,0.122056,0.0973931,0.153416,0.976484,0.787055,0.612209,0.473118,0.900154,0.952381,0.0767529,0.0008658
cloneatt,7p,0.521736,0.726657,0.528031,0.138884,0.112,0.0545237,0.996886,0.798709,0.483967,0.49616,0.898618,0.941628,0.0304497,0.575839
cloneatt,7q,0.38694,0.628236,0.39468,0.151587,0.118749,0.0992519,0.962725,0.75727,0.37917,0.525346,0.913978,0.950845,0.061297,0.0143119
cloneatt,8p,0.673546,0.827227,0.684305,0.113582,0.086396,-0.193855,1.06632,0.823122,0.717071,0.500768,0.877112,0.933948,0.0816459,0.000312524
cloneatt,8q,0.536339,0.736022,0.541729,0.131428,0.105108,0.053625,1.06912,0.856866,0.620234,0.465438,0.886329,0.943164,0.0579308,0.0242577
cloneatt,9p,0.598203,0.779659,0.607868,0.127482,0.0994797,-0.132221,0.906782,0.71003,0.4882,0.572965,0.929339,0.960061,0.0877672,7.99394e-05
cloneatt,9q,0.181439,0.457987,0.209752,0.176915,0.141533,0.153144,0.945241,0.76652,0.140216,0.520737,0.90937,0.949309,0.0839846,0.000187806
cloneatt,10p,0.759878,0.872639,0.761499,0.0992084,0.079663,0.0855023,0.971185,0.770785,0.713558,0.49616,0.912442,0.963134,0.0701929,0.00307479
cloneatt,10q,0.594615,0.773594,0.598447,0.130337,0.103958,0.042437,0.949401,0.755039,0.519328,0.52381,0.913978,0.960061,0.0383578,0.288159
cloneatt,11p,0.622675,0.789854,0.623869,0.114765,0.0913312,-0.048201,0.955469,0.759915,0.627647,0.505376,0.897081,0.955453,0.0484184,0.0917121
cloneatt,11q,0.41005,0.641279,0.411239,0.153236,0.123727,0.0458038,1.00868,0.813374,0.415854,0.462366,0.904762,0.952381,0.0449177,0.140889
cloneatt,12p,0.796272,0.892565,0.796672,0.0924599,0.0729773,-0.0356121,0.971182,0.763385,0.762499,0.50384,0.906298,0.952381,0.0282713,0.669571
cloneatt,12q,0.339995,0.58957,0.347593,0.162719,0.133359,0.0989472,0.968867,0.798036,0.297396,0.460829,0.906298,0.952381,0.0807051,0.000382029
cloneatt,13p,0.805099,0.898021,0.806442,0.0862971,0.067964,-0.0500708,0.99321,0.78356,0.800592,0.508449,0.889401,0.9447,0.0341623,0.426869
cloneatt,13q,0.461013,0.689404,0.475278,0.148949,0.119906,-0.106761,0.915976,0.740872,0.337674,0.497696,0.90937,0.960061,0.0595591,0.0188635
cloneatt,14p,0.796277,0.892822,0.797131,0.0957596,0.0747219,-0.0785727,1.13417,0.890989,0.817723,0.43318,0.831029,0.904762,0.0616757,0.0134619
cloneatt,14q,0.496203,0.709915,0.50398,0.148419,0.118328,-0.00406504,1.05851,0.843058,0.502268,0.443932,0.880184,0.935484,0.0415451,0.206561
cloneatt,15p,0.805352,0.898905,0.808031,0.0885706,0.0718311,0.00857803,0.931606,0.764343,0.770552,0.490015,0.900154,0.963134,0.029026,0.636942
cloneatt,15q,0.25249,0.508737,0.258813,0.165626,0.133659,-0.0766896,0.998245,0.805751,0.304384,0.477727,0.898618,0.956989,0.0534985,0.0464347
cloneatt,16p,0.79546,0.892454,0.796474,0.0924246,0.0726501,0.00128135,1.04382,0.814141,0.788171,0.486943,0.869432,0.924731,0.0378694,0.302468
cloneatt,16q,0.596513,0.7761,0.602331,0.126245,0.102237,-0.116229,1.00037,0.818599,0.607258,0.457757,0.890937,0.955453,0.0642816,0.0087436
cloneatt,17p,0.788096,0.888667,0.789729,0.092893,0.0732838,0.0303077,1.06896,0.841107,0.800531,0.459293,0.863287,0.940092,0.0500319,0.0744298
cloneatt,17q,0.358071,0.609602,0.371614,0.15974,0.126515,0.111641,1.09641,0.872354,0.465751,0.462366,0.866359,0.907834,0.0579502,0.0241863
cloneatt,18p,0.759366,0.873601,0.763178,0.0970429,0.0775715,0.00110334,1.15401,0.924715,0.814565,0.422427,0.834101,0.913978,0.0584662,0.0223496
cloneatt,18q,0.566256,0.757061,0.573141,0.122589,0.0961754,-0.056845,1.10309,0.860217,0.678993,0.456221,0.872504,0.933948,0.0483677,0.0923053
cloneatt,19p,0.795394,0.892392,0.796363,0.0918481,0.072986,0.00916727,1.04119,0.827122,0.795071,0.462366,0.883257,0.9447,0.0373893,0.317013
cloneatt,19q,0.575218,0.758726,0.575666,0.13179,0.104752,0.0166326,0.91616,0.731599,0.48589,0.551459,0.920123,0.96467,0.0472564,0.10614
cloneatt,20p,0.782692,0.885323,0.783797,0.0945113,0.0731269,0.0534543,0.972181,0.748107,0.748406,0.505376,0.903226,0.952381,0.0523172,0.0547284
cloneatt,20q,0.56523,0.757171,0.573308,0.126149,0.101608,0.130132,1.0145,0.830169,0.623957,0.450077,0.869432,0.940092,0.0764294,0.000924073
cloneatt,21p,0.80943,0.899853,0.809735,0.0840021,0.0657202,0.0396526,1.06523,0.826189,0.834574,0.456221,0.872504,0.932412,0.0624055,0.0119509
cloneatt,21q,0.645965,0.803842,0.646161,0.121041,0.0950257,-0.0131728,0.917066,0.725603,0.56504,0.545315,0.913978,0.966206,0.0294646,0.618011
cloneatt,22p,0.82945,0.913642,0.834742,0.0840246,0.0672574,-0.14401,1.09846,0.893233,0.852111,0.40553,0.824885,0.894009,0.114512,6.51363e-08
cloneatt,22q,0.754458,0.871365,0.759277,0.100422,0.07897,0.133934,0.96792,0.764281,0.7242,0.520737,0.895545,0.952381,0.069698,0.00336774
