model,alpha,ecp,ecp_lo,ecp_hi
clonemlp,0,0,0,0
clonemlp,0.0204082,0.0399386,0.0245392,0.0552995
clonemlp,0.0408163,0.0675883,0.0522273,0.0860599
clonemlp,0.0612245,0.093702,0.0752304,0.11371
clonemlp,0.0816327,0.121352,0.0998464,0.142857
clonemlp,0.102041,0.147465,0.122849,0.168971
clonemlp,0.122449,0.18126,0.156644,0.208948
clonemlp,0.142857,0.202765,0.176651,0.23053
clonemlp,0.163265,0.230415,0.202688,0.258141
clonemlp,0.183673,0.25192,0.218126,0.284178
clonemlp,0.204082,0.271889,0.238095,0.304224
clonemlp,0.22449,0.299539,0.265745,0.334946
clonemlp,0.244898,0.327189,0.29182,0.362519
clonemlp,0.265306,0.351767,0.3149,0.38871
clonemlp,0.285714,0.371736,0.333295,0.408679
clonemlp,0.306122,0.394777,0.357911,0.430184
clonemlp,0.326531,0.410138,0.374808,0.445507
clonemlp,0.346939,0.43318,0.397849,0.467051
clonemlp,0.367347,0.453149,0.416244,0.49159
clonemlp,0.387755,0.466974,0.428571,0.502343
clonemlp,0.408163,0.485407,0.448464,0.523848
clonemlp,0.428571,0.502304,0.465438,0.540707
clonemlp,0.44898,0.514593,0.47619,0.553034
clonemlp,0.469388,0.539171,0.506912,0.577611
clonemlp,0.489796,0.554531,0.520699,0.592972
clonemlp,0.510204,0.571429,0.537596,0.609831
clonemlp,0.530612,0.585253,0.549885,0.623694
clonemlp,0.55102,0.600614,0.5697,0.640553
clonemlp,0.571429,0.615975,0.582104,0.654378
clonemlp,0.591837,0.635945,0.602112,0.67139
clonemlp,0.612245,0.671275,0.63894,0.70818
clonemlp,0.632653,0.698925,0.663556,0.737327
clonemlp,0.653061,0.711214,0.675883,0.748157
clonemlp,0.673469,0.72043,0.6851,0.755799
clonemlp,0.693878,0.749616,0.717358,0.784946
clonemlp,0.714286,0.780338,0.75265,0.812596
clonemlp,0.734694,0.791091,0.763326,0.821889
clonemlp,0.755102,0.803379,0.772657,0.834101
clonemlp,0.77551,0.824885,0.794163,0.849539
clonemlp,0.795918,0.844854,0.818664,0.86947
clonemlp,0.816327,0.857143,0.831029,0.881797
clonemlp,0.836735,0.880184,0.854071,0.9048
clonemlp,0.857143,0.897081,0.875576,0.920161
clonemlp,0.877551,0.912442,0.892473,0.930914
clonemlp,0.897959,0.924731,0.90626,0.944739
clonemlp,0.918367,0.946237,0.927803,0.961598
clonemlp,0.938776,0.950845,0.933948,0.967742
clonemlp,0.959184,0.963134,0.94927,0.978533
clonemlp,0.979592,0.987711,0.979992,0.996928
clonemlp,1,1,1,1
