model,nominal,empirical
cloneatt,0,3.49113e-05
cloneatt,0.01,0.0119397
cloneatt,0.02,0.0235302
cloneatt,0.03,0.0341782
cloneatt,0.04,0.0444421
cloneatt,0.05,0.0557534
cloneatt,0.06,0.0679025
cloneatt,0.07,0.0800517
cloneatt,0.08,0.0917121
cloneatt,0.09,0.103477
cloneatt,0.1,0.115871
cloneatt,0.11,0.127706
cloneatt,0.12,0.139715
cloneatt,0.13,0.152039
cloneatt,0.14,0.163245
cloneatt,0.15,0.175464
cloneatt,0.16,0.186915
cloneatt,0.17,0.197842
cloneatt,0.18,0.208874
cloneatt,0.19,0.219697
cloneatt,0.2,0.232021
cloneatt,0.21,0.243716
cloneatt,0.22,0.254783
cloneatt,0.23,0.267316
cloneatt,0.24,0.278767
cloneatt,0.25,0.290532
cloneatt,0.26,0.301739
cloneatt,0.27,0.312945
cloneatt,0.28,0.324012
cloneatt,0.29,0.334311
cloneatt,0.3,0.345482
cloneatt,0.31,0.356759
cloneatt,0.32,0.368349
cloneatt,0.33,0.380184
cloneatt,0.34,0.391007
cloneatt,0.35,0.402877
cloneatt,0.36,0.413804
cloneatt,0.37,0.424522
cloneatt,0.38,0.435449
cloneatt,0.39,0.447354
cloneatt,0.4,0.45856
cloneatt,0.41,0.47029
cloneatt,0.42,0.481602
cloneatt,0.43,0.493018
cloneatt,0.44,0.503177
cloneatt,0.45,0.515152
cloneatt,0.46,0.526986
cloneatt,0.47,0.538158
cloneatt,0.48,0.548806
cloneatt,0.49,0.560606
cloneatt,0.5,0.57087
cloneatt,0.51,0.580645
cloneatt,0.52,0.591328
cloneatt,0.53,0.601732
cloneatt,0.54,0.612449
cloneatt,0.55,0.623167
cloneatt,0.56,0.633117
cloneatt,0.57,0.642997
cloneatt,0.58,0.653051
cloneatt,0.59,0.663141
cloneatt,0.6,0.672776
cloneatt,0.61,0.682132
cloneatt,0.62,0.693513
cloneatt,0.63,0.703428
cloneatt,0.64,0.712854
cloneatt,0.65,0.723817
cloneatt,0.66,0.733417
cloneatt,0.67,0.743262
cloneatt,0.68,0.753177
cloneatt,0.69,0.761905
cloneatt,0.7,0.770737
cloneatt,0.71,0.779989
cloneatt,0.72,0.78924
cloneatt,0.73,0.798841
cloneatt,0.74,0.80701
cloneatt,0.75,0.815529
cloneatt,0.76,0.824326
cloneatt,0.77,0.833682
cloneatt,0.78,0.841922
cloneatt,0.79,0.850859
cloneatt,0.8,0.858784
cloneatt,0.81,0.867686
cloneatt,0.82,0.876204
cloneatt,0.83,0.884688
cloneatt,0.84,0.893206
cloneatt,0.85,0.900747
cloneatt,0.86,0.909126
cloneatt,0.87,0.916562
cloneatt,0.88,0.924277
cloneatt,0.89,0.932237
cloneatt,0.9,0.939219
cloneatt,0.91,0.946795
cloneatt,0.92,0.953184
cloneatt,0.93,0.959922
cloneatt,0.94,0.96638
cloneatt,0.95,0.971757
cloneatt,0.96,0.977761
cloneatt,0.97,0.983731
cloneatt,0.98,0.988479
cloneatt,0.99,0.993681
cloneatt,1,1
