model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
cloneatt,1p,0.288719,0.598231,0.35788,0.16817,0.132653,-0.0410185,0.896076,0.705974,0.108029,0.554531,0.915515,0.967742,0.0477879,0.0993239
cloneatt,1q,0.332424,0.646043,0.417372,0.168272,0.134617,0.141504,0.905015,0.730532,0.139526,0.528418,0.921659,0.956989,0.0760304,0.00100101
cloneatt,2p,0.353381,0.627646,0.393939,0.16302,0.129059,0.038277,0.906006,0.715435,0.17501,0.552995,0.917051,0.963134,0.0473707,0.104643
cloneatt,2q,0.305589,0.586329,0.343782,0.166564,0.130614,-0.0148663,0.891477,0.697691,0.11451,0.543779,0.917051,0.953917,0.0404271,0.2329
cloneatt,3p,0.407659,0.676043,0.457035,0.160949,0.129561,-0.0175275,0.888081,0.715495,0.175023,0.522273,0.921659,0.967742,0.037476,0.314351
cloneatt,3q,0.351573,0.637959,0.406991,0.157148,0.123583,0.0872092,0.847901,0.669028,0.139307,0.560676,0.933948,0.969278,0.0764827,0.000914224
cloneatt,4p,0.404411,0.708207,0.501557,0.15863,0.126131,0.0221763,0.847927,0.673072,0.116527,0.576037,0.929339,0.97235,0.0544555,0.0405374
cloneatt,4q,0.428082,0.71572,0.512255,0.157049,0.121315,0.0188782,0.857162,0.657839,0.129295,0.605223,0.926267,0.963134,0.0561378,0.0317414
cloneatt,5p,0.391711,0.66903,0.447601,0.159404,0.129975,0.00106473,0.868032,0.704756,0.136465,0.546851,0.935484,0.973886,0.0392709,0.262712
cloneatt,5q,0.358797,0.658192,0.433217,0.162578,0.128663,-0.0188773,0.888621,0.702727,0.153046,0.556068,0.929339,0.96467,0.0467722,0.112686
cloneatt,6p,0.423906,0.680002,0.462403,0.148261,0.118819,0.00757995,0.829328,0.665076,0.198881,0.56682,0.938556,0.976959,0.0542785,0.0415765
cloneatt,6q,0.38979,0.681095,0.463891,0.156407,0.124507,0.016665,0.863021,0.683301,0.157274,0.539171,0.943164,0.976959,0.0503318,0.071543
cloneatt,7p,0.379891,0.670411,0.449452,0.158144,0.12727,-0.0287935,0.858736,0.688149,0.126596,0.56682,0.918587,0.967742,0.0527753,0.0513716
cloneatt,7q,0.440405,0.71233,0.507414,0.144826,0.115963,-0.0654621,0.815445,0.652549,0.196126,0.576037,0.9447,0.976959,0.0700444,0.0031601
cloneatt,8p,0.383416,0.645765,0.417012,0.156096,0.126267,-0.0918341,0.872644,0.710974,0.208749,0.572965,0.940092,0.97235,0.0617977,0.0131979
cloneatt,8q,0.335208,0.605824,0.367022,0.157373,0.125749,0.0637793,0.84509,0.676672,0.133397,0.565284,0.933948,0.97235,0.0709562,0.00266868
cloneatt,9p,0.290791,0.592107,0.350591,0.169369,0.133552,0.0053867,0.903605,0.711924,0.111929,0.548387,0.910906,0.952381,0.0437021,0.162296
cloneatt,9q,0.344199,0.620331,0.38481,0.158352,0.12436,0.0671626,0.818973,0.645168,0.0626354,0.589862,0.93702,0.976959,0.0837475,0.000197888
cloneatt,10p,0.664686,0.826925,0.683805,0.117235,0.0943834,-0.0434271,0.805093,0.647003,0.451428,0.582181,0.943164,0.976959,0.0679177,0.00464761
cloneatt,10q,0.351201,0.6642,0.441162,0.164887,0.130845,0.0809465,0.856763,0.682192,0.0762528,0.55914,0.932412,0.961598,0.0671206,0.00535411
cloneatt,11p,0.31614,0.603317,0.363991,0.154502,0.124827,0.0559279,0.830028,0.672472,0.127835,0.571429,0.949309,0.973886,0.0675356,0.00497483
cloneatt,11q,0.475436,0.73505,0.540298,0.144495,0.115461,-0.0227457,0.83661,0.666916,0.241215,0.580645,0.947773,0.970814,0.0520456,0.0568059
cloneatt,12p,0.558932,0.776941,0.603638,0.136044,0.113282,0.0511795,0.820642,0.683994,0.303815,0.540707,0.953917,0.981567,0.0603411,0.0166756
cloneatt,12q,0.354882,0.630393,0.397395,0.160874,0.129978,0.0415178,0.867507,0.701078,0.131478,0.545315,0.943164,0.966206,0.0531101,0.0490327
cloneatt,13p,0.799157,0.896548,0.803799,0.0876027,0.0699718,-0.0788694,0.810883,0.653225,0.700882,0.571429,0.947773,0.984639,0.0892733,5.6302e-05
cloneatt,13q,0.434004,0.703085,0.494329,0.152635,0.123297,0.0243953,0.853085,0.687084,0.181636,0.563748,0.933948,0.973886,0.0498465,0.0762641
cloneatt,14p,0.790862,0.894001,0.799237,0.0970238,0.0763673,0.0567067,0.853916,0.659709,0.649742,0.582181,0.924731,0.96467,0.0732378,0.00173162
cloneatt,14q,0.403363,0.710454,0.504744,0.161517,0.127183,-0.0936904,0.862558,0.68245,0.12327,0.579109,0.927803,0.961598,0.0746284,0.00132144
cloneatt,15p,0.791195,0.892972,0.7974,0.0917349,0.0735638,-0.00625442,0.745426,0.605197,0.620336,0.579109,0.961598,0.984639,0.068727,0.00401875
cloneatt,15q,0.29587,0.572346,0.32758,0.160748,0.131062,-0.0606283,0.842506,0.68686,0.0800474,0.546851,0.950845,0.973886,0.0603247,0.0167192
cloneatt,16p,0.705352,0.851951,0.725821,0.11093,0.0888941,-0.147995,0.84918,0.684223,0.5588,0.557604,0.943164,0.975422,0.105328,9.26042e-07
cloneatt,16q,0.282381,0.582959,0.339841,0.168363,0.137314,0.0426116,0.881992,0.720612,0.0868742,0.529954,0.93702,0.969278,0.0439637,0.157482
