model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
cloneatt,1p,0.334095,0.581663,0.338332,0.162717,0.128657,-0.0474203,0.959759,0.760142,0.272758,0.482335,0.892473,0.960061,0.0412014,0.214402
cloneatt,1q,0.204488,0.475385,0.225991,0.183689,0.146677,0.164914,1.02568,0.828428,0.209479,0.454685,0.872504,0.933948,0.0801522,0.000429414
cloneatt,2p,0.253882,0.517933,0.268255,0.175114,0.138601,0.131001,0.983252,0.784817,0.216167,0.49616,0.895545,0.932412,0.0779185,0.000683083
cloneatt,2q,0.310879,0.561967,0.315807,0.165928,0.13129,-0.0298235,0.953572,0.753433,0.233207,0.502304,0.910906,0.949309,0.0368604,0.333584
cloneatt,3p,0.254894,0.529895,0.280789,0.180514,0.143648,0.164917,1.04383,0.840967,0.265565,0.457757,0.854071,0.927803,0.0776531,0.000721186
cloneatt,3q,0.28742,0.54548,0.297549,0.164739,0.130277,0.0970805,0.921165,0.729837,0.193055,0.499232,0.907834,0.96467,0.046159,0.121446
cloneatt,4p,0.278733,0.543252,0.295123,0.174566,0.137955,0.113246,0.97909,0.775804,0.197845,0.513057,0.877112,0.933948,0.0685139,0.00417621
cloneatt,4q,0.343998,0.588641,0.346499,0.168198,0.129923,0.0526199,1.01778,0.781043,0.290699,0.517665,0.889401,0.9447,0.0396617,0.252337
cloneatt,5p,0.435221,0.674448,0.454881,0.153598,0.124931,0.164409,0.964135,0.789617,0.359511,0.490015,0.886329,0.949309,0.0723049,0.00207002
cloneatt,5q,0.266805,0.522227,0.272721,0.17385,0.137975,-0.0859391,1.00946,0.804239,0.256715,0.474654,0.895545,0.953917,0.0513524,0.062419
cloneatt,6p,0.123211,0.355997,0.126734,0.182906,0.145184,-0.0391614,0.972273,0.769897,0.104095,0.50384,0.917051,0.953917,0.024884,0.81034
cloneatt,6q,0.365955,0.610517,0.372731,0.159433,0.128043,-0.014477,0.969872,0.777252,0.309461,0.479263,0.912442,0.96467,0.0288555,0.644311
cloneatt,7p,0.307134,0.561798,0.315617,0.167164,0.132981,-0.0905961,0.945403,0.756369,0.218636,0.520737,0.884793,0.950845,0.0489612,0.0855573
cloneatt,7q,0.302852,0.555163,0.308206,0.161649,0.129182,-0.0609835,0.928824,0.739638,0.22172,0.517665,0.921659,0.958525,0.0475228,0.102677
cloneatt,8p,0.380635,0.622889,0.38799,0.156448,0.12413,-0.0871863,1.01467,0.807124,0.399131,0.494624,0.880184,0.946237,0.0470639,0.108704
cloneatt,8q,0.164652,0.415763,0.172859,0.176409,0.140051,0.0967314,0.954003,0.760623,0.147576,0.514593,0.897081,0.947773,0.0484737,0.0910687
cloneatt,9p,0.196185,0.463657,0.214978,0.180312,0.141653,0.0716247,0.973571,0.766411,0.137806,0.526882,0.883257,0.933948,0.0489547,0.0856284
cloneatt,9q,0.300502,0.561157,0.314898,0.163543,0.130287,0.126226,0.962825,0.77306,0.282614,0.493088,0.897081,0.953917,0.0708692,0.00271231
cloneatt,10p,0.662783,0.815955,0.665782,0.117568,0.0932885,-0.0707868,0.996997,0.796202,0.650029,0.448541,0.88172,0.943164,0.0563413,0.0308008
cloneatt,10q,0.260216,0.511944,0.262087,0.17607,0.138689,0.0178147,0.972059,0.764751,0.169178,0.494624,0.900154,0.956989,0.0313942,0.536165
cloneatt,11p,0.204599,0.453434,0.205603,0.166627,0.134382,0.0239553,0.938892,0.755178,0.198047,0.513057,0.90937,0.96467,0.0294591,0.618249
cloneatt,11q,0.25909,0.515258,0.265491,0.171726,0.133221,0.0103109,0.961548,0.743931,0.185743,0.545315,0.903226,0.953917,0.039176,0.265276
cloneatt,12p,0.625963,0.796793,0.634879,0.125281,0.101469,0.154507,0.940558,0.770384,0.553058,0.477727,0.912442,0.958525,0.0751366,0.00119561
cloneatt,12q,0.299463,0.548262,0.300591,0.167641,0.135402,0.0334098,0.957901,0.773876,0.229205,0.488479,0.912442,0.963134,0.0466897,0.113832
cloneatt,13p,0.782904,0.884854,0.782966,0.0910783,0.0723383,-0.00665504,0.996323,0.796309,0.787091,0.456221,0.88172,0.940092,0.040162,0.2395
cloneatt,13q,0.303966,0.55179,0.304472,0.169264,0.137672,0.0258155,1.0124,0.824275,0.29561,0.459293,0.864823,0.940092,0.0513635,0.0623259
cloneatt,14p,0.697103,0.836455,0.699657,0.116764,0.0916641,0.0855373,1.07099,0.830018,0.682211,0.47619,0.854071,0.923195,0.0541482,0.042356
cloneatt,14q,0.479147,0.699664,0.48953,0.15091,0.117122,-0.117466,0.994151,0.771635,0.414957,0.529954,0.897081,0.947773,0.0623631,0.0120343
cloneatt,15p,0.712415,0.84713,0.71763,0.107658,0.0834962,-0.12848,0.956786,0.757855,0.692492,0.488479,0.884793,0.946237,0.0601009,0.0173222
cloneatt,15q,0.244798,0.512692,0.262853,0.166476,0.136136,-0.142414,0.955192,0.786294,0.23751,0.470046,0.915515,0.961598,0.076469,0.000916742
cloneatt,16p,0.664571,0.829242,0.687642,0.118358,0.094802,-0.256207,1.0056,0.824009,0.651248,0.456221,0.880184,0.946237,0.128367,7.80545e-10
cloneatt,16q,0.147742,0.388235,0.150727,0.183479,0.148228,0.0540504,0.983225,0.795468,0.126611,0.490015,0.90169,0.952381,0.0331533,0.465293
cloneatt,17p,0.655748,0.809823,0.655813,0.1184,0.0953897,0.0285959,0.979761,0.788056,0.613679,0.46851,0.875576,0.949309,0.0354975,0.378909
cloneatt,17q,0.132121,0.374551,0.140289,0.185737,0.149004,0.0728741,0.982315,0.788291,0.0984111,0.53149,0.910906,0.946237,0.0427956,0.179885
cloneatt,18p,0.717528,0.850108,0.722683,0.105141,0.0812415,-0.139462,1.1022,0.862246,0.772927,0.425499,0.87404,0.940092,0.0922106,2.79351e-05
cloneatt,18q,0.625542,0.797486,0.635984,0.113903,0.08774,0.134402,0.953001,0.736493,0.633207,0.49616,0.923195,0.960061,0.0634698,0.0100209
cloneatt,19p,0.687593,0.83058,0.689863,0.113494,0.0911069,-0.0598236,1.01664,0.826332,0.688432,0.454685,0.877112,0.9447,0.0743404,0.0013981
cloneatt,19q,0.427402,0.660505,0.436266,0.153011,0.1218,0.102206,1.00262,0.804955,0.426395,0.509985,0.88172,0.946237,0.04894,0.085791
cloneatt,20p,0.748564,0.865529,0.74914,0.101662,0.0784667,0.0085986,0.994493,0.76245,0.7252,0.483871,0.889401,0.9447,0.0420833,0.194729
cloneatt,20q,0.608642,0.781497,0.610737,0.119685,0.0963777,0.0271354,0.931453,0.749937,0.575504,0.494624,0.918587,0.956989,0.0462944,0.119465
cloneatt,21p,0.766817,0.880972,0.776111,0.0929204,0.0718737,-0.185556,0.944807,0.74464,0.762175,0.49616,0.890937,0.9447,0.104513,1.15949e-06
cloneatt,21q,0.568036,0.759482,0.576813,0.1337,0.106806,0.158498,0.990939,0.804777,0.551601,0.470046,0.870968,0.952381,0.0793781,0.000505105
cloneatt,22p,0.818355,0.90861,0.825572,0.0867146,0.0681412,-0.189513,0.965263,0.774023,0.798696,0.451613,0.875576,0.941628,0.0949114,1.43743e-05
cloneatt,22q,0.655012,0.813089,0.661114,0.119033,0.0962559,0.140694,1.00197,0.814701,0.639912,0.459293,0.898618,0.956989,0.0912476,3.52385e-05
