model,alpha,ecp,ecp_lo,ecp_hi
armtoken,0,0,0,0
armtoken,0.0204082,0.0645161,0.0460829,0.0844854
armtoken,0.0408163,0.0875576,0.0645161,0.107565
armtoken,0.0612245,0.11828,0.0921659,0.141398
armtoken,0.0816327,0.139785,0.112058,0.168971
armtoken,0.102041,0.164363,0.133602,0.193548
armtoken,0.122449,0.195084,0.16129,0.225845
armtoken,0.142857,0.218126,0.185829,0.25192
armtoken,0.163265,0.242704,0.207335,0.276536
armtoken,0.183673,0.262673,0.230338,0.298003
armtoken,0.204082,0.282642,0.245699,0.316475
armtoken,0.22449,0.30722,0.270276,0.342588
armtoken,0.244898,0.333333,0.296467,0.367166
armtoken,0.265306,0.351767,0.3149,0.390207
armtoken,0.285714,0.364055,0.32861,0.400922
armtoken,0.306122,0.385561,0.348579,0.419393
armtoken,0.326531,0.407066,0.368664,0.44086
armtoken,0.346939,0.422427,0.384025,0.457757
armtoken,0.367347,0.44086,0.402419,0.476267
armtoken,0.387755,0.454685,0.414708,0.493203
armtoken,0.408163,0.471582,0.431605,0.513095
armtoken,0.428571,0.480799,0.442358,0.52235
armtoken,0.44898,0.511521,0.470008,0.548464
armtoken,0.469388,0.526882,0.486866,0.563786
armtoken,0.489796,0.539171,0.499194,0.580684
armtoken,0.510204,0.552995,0.513057,0.588479
armtoken,0.530612,0.574501,0.537558,0.61298
armtoken,0.55102,0.591398,0.557565,0.6298
armtoken,0.571429,0.617512,0.580607,0.652842
armtoken,0.591837,0.637481,0.602112,0.671313
armtoken,0.612245,0.652842,0.617435,0.686636
armtoken,0.632653,0.671275,0.635945,0.705069
armtoken,0.653061,0.688172,0.654339,0.721966
armtoken,0.673469,0.706605,0.672773,0.73894
armtoken,0.693878,0.725038,0.695776,0.758909
armtoken,0.714286,0.737327,0.706605,0.768126
armtoken,0.734694,0.754224,0.726498,0.788057
armtoken,0.755102,0.769585,0.740361,0.801882
armtoken,0.77551,0.784946,0.758794,0.818817
armtoken,0.795918,0.803379,0.777227,0.83414
armtoken,0.816327,0.81874,0.794086,0.850998
armtoken,0.836735,0.832565,0.804916,0.860253
armtoken,0.857143,0.849462,0.821774,0.877266
armtoken,0.877551,0.872504,0.847888,0.903226
armtoken,0.897959,0.892473,0.867896,0.915515
armtoken,0.918367,0.90937,0.88629,0.930876
armtoken,0.938776,0.935484,0.913978,0.953917
armtoken,0.959184,0.955453,0.938556,0.970814
armtoken,0.979592,0.97235,0.958525,0.984677
armtoken,1,1,1,1
