model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
armtoken,1p,0.834124,0.913344,0.834198,0.0812118,0.0623361,-0.0163534,0.947833,0.73505,0.812576,0.516129,0.90169,0.956989,0.0196571,0.961336
armtoken,1q,0.842969,0.919166,0.844866,0.0816119,0.0649362,0.0743354,0.93049,0.739574,0.79685,0.47619,0.912442,0.969278,0.0507009,0.06812
armtoken,2p,0.87259,0.935196,0.874592,0.0723633,0.0556045,0.0944589,1.01534,0.79314,0.870506,0.460829,0.886329,0.943164,0.0728256,0.00187424
armtoken,2q,0.792021,0.890198,0.792452,0.0911552,0.0705385,0.0274759,0.948996,0.73462,0.760298,0.50384,0.894009,0.952381,0.0310693,0.549709
armtoken,3p,0.896727,0.947514,0.897782,0.067204,0.0524177,0.0858152,0.94021,0.738976,0.867371,0.471582,0.918587,0.961598,0.0482889,0.0932346
armtoken,3q,0.859513,0.927607,0.860454,0.073147,0.0560583,0.0544927,0.858329,0.667743,0.821485,0.513057,0.930876,0.967742,0.0433709,0.168556
armtoken,4p,0.924682,0.961941,0.92533,0.0564109,0.042888,0.0331745,0.891072,0.697683,0.901096,0.514593,0.917051,0.958525,0.0301819,0.58724
armtoken,4q,0.814951,0.903976,0.817173,0.0893329,0.0683312,0.0924044,0.929732,0.717224,0.764545,0.519201,0.897081,0.953917,0.0489806,0.0853436
armtoken,5p,0.93187,0.965584,0.932353,0.0533476,0.0406516,0.0609953,0.920121,0.715447,0.916325,0.514593,0.906298,0.956989,0.0400285,0.242876
armtoken,5q,0.837328,0.916456,0.839893,0.081888,0.0631364,0.0981753,0.921226,0.72048,0.800912,0.508449,0.915515,0.960061,0.0563665,0.0306858
armtoken,6p,0.905461,0.951634,0.905607,0.06006,0.0455609,-0.0548627,0.962426,0.733047,0.898637,0.539171,0.918587,0.947773,0.0412406,0.213497
armtoken,6q,0.865567,0.935422,0.875013,0.0734125,0.0576331,0.224337,0.849813,0.690267,0.818183,0.502304,0.912442,0.969278,0.0986576,5.54053e-06
armtoken,7p,0.912163,0.956024,0.913982,0.0595194,0.0457324,0.118907,0.946181,0.745119,0.901389,0.499232,0.910906,0.952381,0.0727697,0.00189441
armtoken,7q,0.874042,0.936034,0.876159,0.0687105,0.0529341,0.0868518,0.874615,0.680091,0.84331,0.556068,0.920123,0.958525,0.0689241,0.00387791
armtoken,8p,0.921787,0.96017,0.921926,0.055595,0.0415642,-0.0464502,0.995769,0.746448,0.917511,0.505376,0.892473,0.963134,0.0302435,0.584611
armtoken,8q,0.869083,0.934602,0.873481,0.0698369,0.0544629,0.139644,0.86542,0.690129,0.839414,0.509985,0.930876,0.967742,0.0824336,0.000263687
armtoken,9p,0.924425,0.961888,0.925228,0.0552884,0.0426189,0.0762916,0.918872,0.727157,0.909606,0.49616,0.913978,0.961598,0.059296,0.0196549
armtoken,9q,0.880592,0.939084,0.881879,0.0675703,0.0529015,0.0739931,0.87918,0.69742,0.850137,0.50384,0.912442,0.963134,0.0436856,0.162603
armtoken,10p,0.929082,0.963921,0.929143,0.0539153,0.0398184,0.0296439,0.905092,0.694403,0.914034,0.526882,0.913978,0.96467,0.0404457,0.232441
armtoken,10q,0.87719,0.93754,0.878981,0.0717381,0.0560813,0.0906029,0.90295,0.71141,0.836364,0.49616,0.913978,0.969278,0.0577055,0.0251031
armtoken,11p,0.915794,0.957341,0.916501,0.0542153,0.0424399,0.0673721,0.891964,0.710665,0.905746,0.500768,0.913978,0.961598,0.0416607,0.203975
armtoken,11q,0.892094,0.945512,0.893992,0.0655353,0.0501905,0.108429,0.889131,0.689922,0.861343,0.539171,0.917051,0.952381,0.0614264,0.0140161
armtoken,12p,0.941624,0.97163,0.944065,0.0494931,0.0377681,0.168762,0.862988,0.689439,0.921426,0.509985,0.910906,0.956989,0.109388,2.94369e-07
armtoken,12q,0.88777,0.942476,0.88826,0.0670994,0.0531751,0.049875,0.877993,0.697893,0.85041,0.516129,0.927803,0.978495,0.0312313,0.542941
armtoken,13p,0.952069,0.976056,0.952685,0.0427954,0.0321798,0.109119,0.843306,0.662171,0.936123,0.542243,0.930876,0.963134,0.0692932,0.00362631
armtoken,13q,0.885241,0.945041,0.893103,0.0687292,0.0542331,0.219649,0.871461,0.717867,0.854219,0.509985,0.924731,0.97235,0.100373,3.5369e-06
armtoken,14p,0.938306,0.968958,0.93888,0.0526969,0.0372043,0.0714814,0.955267,0.71692,0.931481,0.516129,0.880184,0.949309,0.0460704,0.122757
armtoken,14q,0.894265,0.94647,0.895806,0.0679942,0.0513985,0.0834811,0.913883,0.699261,0.861229,0.513057,0.927803,0.969278,0.0639868,0.00918933
armtoken,15p,0.952735,0.97612,0.95281,0.043645,0.0324606,-0.0335285,0.829126,0.645395,0.932469,0.545315,0.920123,0.966206,0.0513611,0.0623458
armtoken,15q,0.894641,0.946215,0.895323,0.0621807,0.0486847,0.0508401,0.879336,0.68421,0.866481,0.536098,0.926267,0.970814,0.047352,0.104886
armtoken,16p,0.933436,0.966459,0.934042,0.0527251,0.0401197,0.0846825,0.937157,0.742389,0.924274,0.470046,0.889401,0.943164,0.0483821,0.0921372
armtoken,16q,0.930721,0.966522,0.934164,0.0523121,0.040466,0.176504,0.789663,0.638346,0.896568,0.537634,0.927803,0.984639,0.104885,1.04665e-06
armtoken,17p,0.947701,0.973547,0.947795,0.0461488,0.0346004,0.0172729,0.838648,0.654644,0.928476,0.53149,0.932412,0.970814,0.0316348,0.526217
armtoken,17q,0.916833,0.958003,0.917771,0.0574968,0.0438995,0.0826919,0.902704,0.703278,0.899319,0.525346,0.90169,0.961598,0.0508902,0.06642
armtoken,18p,0.940741,0.970607,0.942078,0.0481574,0.0351113,0.146619,0.907378,0.712439,0.938859,0.519201,0.904762,0.953917,0.0784561,0.000611616
armtoken,18q,0.905513,0.952104,0.906503,0.0572165,0.0423636,0.0695487,0.89946,0.687445,0.902022,0.526882,0.923195,0.969278,0.0582173,0.0232195
armtoken,19p,0.94927,0.974323,0.949305,0.0457347,0.034571,-0.0110358,0.934202,0.726834,0.940525,0.49616,0.907834,0.956989,0.0215043,0.921455
armtoken,19q,0.926513,0.963236,0.927823,0.0548153,0.0410462,0.125527,0.965584,0.743742,0.920934,0.485407,0.892473,0.946237,0.0623546,0.012051
armtoken,20p,0.932279,0.96589,0.932944,0.0527605,0.0370277,0.102596,0.91576,0.676604,0.922891,0.52381,0.918587,0.967742,0.0755509,0.0011014
armtoken,20q,0.928192,0.964007,0.929309,0.0512674,0.0396344,0.0883777,0.875706,0.690506,0.912208,0.525346,0.907834,0.953917,0.0595656,0.0188443
armtoken,21p,0.936951,0.968327,0.937657,0.0483174,0.0355821,-0.101968,0.887649,0.689574,0.932115,0.519201,0.913978,0.956989,0.062346,0.012068
armtoken,21q,0.936553,0.968462,0.937918,0.0512405,0.0393068,0.126036,0.848336,0.66529,0.910388,0.536098,0.929339,0.966206,0.0715296,0.00239687
