model,alpha,ecp,ecp_lo,ecp_hi
armtoken,0,0,0,0
armtoken,0.0204082,0.0537634,0.0368664,0.0721966
armtoken,0.0408163,0.0921659,0.0706221,0.115246
armtoken,0.0612245,0.122888,0.0967358,0.147465
armtoken,0.0816327,0.149002,0.121352,0.178187
armtoken,0.102041,0.18126,0.153571,0.213518
armtoken,0.122449,0.201229,0.167435,0.233525
armtoken,0.142857,0.21659,0.182796,0.247312
armtoken,0.163265,0.245776,0.211982,0.281106
armtoken,0.183673,0.264209,0.231912,0.299578
armtoken,0.204082,0.274962,0.244201,0.311828
armtoken,0.22449,0.291859,0.25649,0.330261
armtoken,0.244898,0.302611,0.267281,0.34255
armtoken,0.265306,0.325653,0.28725,0.364171
armtoken,0.285714,0.345622,0.310292,0.382527
armtoken,0.306122,0.356375,0.31947,0.393318
armtoken,0.326531,0.387097,0.35169,0.433218
armtoken,0.346939,0.408602,0.376267,0.448733
armtoken,0.367347,0.430108,0.393203,0.470084
armtoken,0.387755,0.451613,0.41321,0.493164
armtoken,0.408163,0.471582,0.43318,0.511598
armtoken,0.428571,0.49616,0.456221,0.537673
armtoken,0.44898,0.508449,0.46851,0.548464
armtoken,0.469388,0.517665,0.479186,0.55768
armtoken,0.489796,0.539171,0.502189,0.576114
armtoken,0.510204,0.562212,0.523771,0.602189
armtoken,0.530612,0.589862,0.557527,0.628341
armtoken,0.55102,0.614439,0.584985,0.651344
armtoken,0.571429,0.634409,0.600538,0.668241
armtoken,0.591837,0.643625,0.609716,0.677458
armtoken,0.612245,0.662058,0.626728,0.697389
armtoken,0.632653,0.675883,0.645161,0.70818
armtoken,0.653061,0.694316,0.665054,0.728149
armtoken,0.673469,0.706605,0.675883,0.737366
armtoken,0.693878,0.721966,0.689708,0.754301
armtoken,0.714286,0.735791,0.698925,0.768088
armtoken,0.734694,0.757296,0.725,0.788057
armtoken,0.755102,0.774194,0.743472,0.801882
armtoken,0.77551,0.781874,0.751152,0.81106
armtoken,0.795918,0.803379,0.777189,0.835676
armtoken,0.816327,0.821813,0.794163,0.854071
armtoken,0.836735,0.834101,0.811022,0.861866
armtoken,0.857143,0.858679,0.834063,0.887903
armtoken,0.877551,0.878648,0.858679,0.90169
armtoken,0.897959,0.897081,0.875538,0.918587
armtoken,0.918367,0.917051,0.897043,0.938556
armtoken,0.938776,0.935484,0.917051,0.952419
armtoken,0.959184,0.960061,0.946198,0.973886
armtoken,0.979592,0.981567,0.972312,0.990822
armtoken,1,1,1,1
