model,nominal,empirical
armtoken,0,0.000139645
armtoken,0.01,0.00816925
armtoken,0.02,0.016548
armtoken,0.03,0.0252758
armtoken,0.04,0.0337942
armtoken,0.05,0.0422078
armtoken,0.06,0.0510753
armtoken,0.07,0.0601173
armtoken,0.08,0.0686008
armtoken,0.09,0.0769446
armtoken,0.1,0.0860564
armtoken,0.11,0.0950635
armtoken,0.12,0.103407
armtoken,0.13,0.111856
armtoken,0.14,0.120898
armtoken,0.15,0.129626
armtoken,0.16,0.137865
armtoken,0.17,0.147012
armtoken,0.18,0.155565
armtoken,0.19,0.16342
armtoken,0.2,0.171589
armtoken,0.21,0.18105
armtoken,0.22,0.190337
armtoken,0.23,0.199064
armtoken,0.24,0.207618
armtoken,0.25,0.217114
armtoken,0.26,0.225772
armtoken,0.27,0.23443
armtoken,0.28,0.243227
armtoken,0.29,0.252653
armtoken,0.3,0.261207
armtoken,0.31,0.270179
armtoken,0.32,0.27964
armtoken,0.33,0.288612
armtoken,0.34,0.298003
armtoken,0.35,0.306521
armtoken,0.36,0.316192
armtoken,0.37,0.325234
armtoken,0.38,0.335114
armtoken,0.39,0.34461
armtoken,0.4,0.352709
armtoken,0.41,0.361262
armtoken,0.42,0.370165
armtoken,0.43,0.378823
armtoken,0.44,0.387795
armtoken,0.45,0.397221
armtoken,0.46,0.405809
armtoken,0.47,0.415375
armtoken,0.48,0.424382
armtoken,0.49,0.434855
armtoken,0.5,0.443688
armtoken,0.51,0.453393
armtoken,0.52,0.462819
armtoken,0.53,0.473467
armtoken,0.54,0.483661
armtoken,0.55,0.492459
armtoken,0.56,0.501641
armtoken,0.57,0.510613
armtoken,0.58,0.519725
armtoken,0.59,0.528557
armtoken,0.6,0.537565
armtoken,0.61,0.548352
armtoken,0.62,0.55921
armtoken,0.63,0.56895
armtoken,0.64,0.578446
armtoken,0.65,0.588186
armtoken,0.66,0.597682
armtoken,0.67,0.605956
armtoken,0.68,0.616185
armtoken,0.69,0.626379
armtoken,0.7,0.637341
armtoken,0.71,0.647431
armtoken,0.72,0.657729
armtoken,0.73,0.668866
armtoken,0.74,0.678467
armtoken,0.75,0.689568
armtoken,0.76,0.699693
armtoken,0.77,0.709782
armtoken,0.78,0.721233
armtoken,0.79,0.73237
armtoken,0.8,0.742599
armtoken,0.81,0.754713
armtoken,0.82,0.765396
armtoken,0.83,0.777475
armtoken,0.84,0.789205
armtoken,0.85,0.800831
armtoken,0.86,0.812491
armtoken,0.87,0.823977
armtoken,0.88,0.834695
armtoken,0.89,0.846146
armtoken,0.9,0.857771
armtoken,0.91,0.870584
armtoken,0.92,0.884059
armtoken,0.93,0.8975
armtoken,0.94,0.910836
armtoken,0.95,0.924696
armtoken,0.96,0.939115
armtoken,0.97,0.954371
armtoken,0.98,0.970605
armtoken,0.99,0.985721
armtoken,1,1
