model,nominal,empirical
cloneatt,0,3.49113e-05
cloneatt,0.01,0.00970535
cloneatt,0.02,0.0182586
cloneatt,0.03,0.0271959
cloneatt,0.04,0.0360983
cloneatt,0.05,0.0441628
cloneatt,0.06,0.0524717
cloneatt,0.07,0.0621422
cloneatt,0.08,0.0712191
cloneatt,0.09,0.0802611
cloneatt,0.1,0.0894777
cloneatt,0.11,0.0982754
cloneatt,0.12,0.107457
cloneatt,0.13,0.115871
cloneatt,0.14,0.124599
cloneatt,0.15,0.134199
cloneatt,0.16,0.14373
cloneatt,0.17,0.152562
cloneatt,0.18,0.162023
cloneatt,0.19,0.172008
cloneatt,0.2,0.180317
cloneatt,0.21,0.18894
cloneatt,0.22,0.197912
cloneatt,0.23,0.206675
cloneatt,0.24,0.21439
cloneatt,0.25,0.223502
cloneatt,0.26,0.232928
cloneatt,0.27,0.242075
cloneatt,0.28,0.250873
cloneatt,0.29,0.260159
cloneatt,0.3,0.269481
cloneatt,0.31,0.278313
cloneatt,0.32,0.287739
cloneatt,0.33,0.296607
cloneatt,0.34,0.306417
cloneatt,0.35,0.315494
cloneatt,0.36,0.323977
cloneatt,0.37,0.332426
cloneatt,0.38,0.341363
cloneatt,0.39,0.351278
cloneatt,0.4,0.360843
cloneatt,0.41,0.369711
cloneatt,0.42,0.379312
cloneatt,0.43,0.38989
cloneatt,0.44,0.400363
cloneatt,0.45,0.411011
cloneatt,0.46,0.419704
cloneatt,0.47,0.428467
cloneatt,0.48,0.437858
cloneatt,0.49,0.447389
cloneatt,0.5,0.457129
cloneatt,0.51,0.46659
cloneatt,0.52,0.476575
cloneatt,0.53,0.48607
cloneatt,0.54,0.495322
cloneatt,0.55,0.504748
cloneatt,0.56,0.514279
cloneatt,0.57,0.523356
cloneatt,0.58,0.532328
cloneatt,0.59,0.541544
cloneatt,0.6,0.550656
cloneatt,0.61,0.561025
cloneatt,0.62,0.570661
cloneatt,0.63,0.580156
cloneatt,0.64,0.589164
cloneatt,0.65,0.59831
cloneatt,0.66,0.608051
cloneatt,0.67,0.616639
cloneatt,0.68,0.626519
cloneatt,0.69,0.637167
cloneatt,0.7,0.647465
cloneatt,0.71,0.658078
cloneatt,0.72,0.668273
cloneatt,0.73,0.678537
cloneatt,0.74,0.689499
cloneatt,0.75,0.699693
cloneatt,0.76,0.710445
cloneatt,0.77,0.720709
cloneatt,0.78,0.731253
cloneatt,0.79,0.742634
cloneatt,0.8,0.753596
cloneatt,0.81,0.763965
cloneatt,0.82,0.774647
cloneatt,0.83,0.784597
cloneatt,0.84,0.796397
cloneatt,0.85,0.807988
cloneatt,0.86,0.819194
cloneatt,0.87,0.83054
cloneatt,0.88,0.841817
cloneatt,0.89,0.853233
cloneatt,0.9,0.866464
cloneatt,0.91,0.878299
cloneatt,0.92,0.891461
cloneatt,0.93,0.90361
cloneatt,0.94,0.916352
cloneatt,0.95,0.929933
cloneatt,0.96,0.942431
cloneatt,0.97,0.95678
cloneatt,0.98,0.971128
cloneatt,0.99,0.98607
cloneatt,1,1
