model,alpha,ecp,ecp_lo,ecp_hi
cloneatt,0,0,0,0
cloneatt,0.0204082,0.0261137,0.015361,0.0369048
cloneatt,0.0408163,0.0552995,0.0399002,0.0737711
cloneatt,0.0612245,0.0721966,0.0552611,0.093702
cloneatt,0.0816327,0.0952381,0.0737327,0.116743
cloneatt,0.102041,0.110599,0.0890553,0.135177
cloneatt,0.122449,0.144393,0.122849,0.167473
cloneatt,0.142857,0.167435,0.144393,0.190515
cloneatt,0.163265,0.193548,0.167435,0.219739
cloneatt,0.183673,0.215054,0.187327,0.245776
cloneatt,0.204082,0.227343,0.195084,0.258218
cloneatt,0.22449,0.245776,0.213518,0.278187
cloneatt,0.244898,0.267281,0.235023,0.30265
cloneatt,0.265306,0.282642,0.245776,0.314939
cloneatt,0.285714,0.299539,0.265707,0.336406
cloneatt,0.306122,0.319508,0.284178,0.351843
cloneatt,0.326531,0.333333,0.301037,0.367204
cloneatt,0.346939,0.357911,0.325614,0.39328
cloneatt,0.367347,0.384025,0.347158,0.422465
cloneatt,0.387755,0.393241,0.359447,0.43318
cloneatt,0.408163,0.411674,0.376306,0.450115
cloneatt,0.428571,0.43318,0.396313,0.471582
cloneatt,0.44898,0.439324,0.406989,0.476229
cloneatt,0.469388,0.457757,0.423963,0.494662
cloneatt,0.489796,0.480799,0.442358,0.517665
cloneatt,0.510204,0.502304,0.463863,0.537788
cloneatt,0.530612,0.513057,0.473118,0.545507
cloneatt,0.55102,0.528418,0.488441,0.563786
cloneatt,0.571429,0.551459,0.517665,0.588326
cloneatt,0.591837,0.571429,0.539132,0.606874
cloneatt,0.612245,0.599078,0.565284,0.636175
cloneatt,0.632653,0.619048,0.585215,0.659101
cloneatt,0.653061,0.642089,0.608295,0.678994
cloneatt,0.673469,0.665131,0.632796,0.702074
cloneatt,0.693878,0.686636,0.651306,0.720469
cloneatt,0.714286,0.701997,0.668203,0.734293
cloneatt,0.734694,0.714286,0.681912,0.745008
cloneatt,0.755102,0.74808,0.71874,0.780376
cloneatt,0.77551,0.757296,0.725038,0.791129
cloneatt,0.795918,0.77573,0.746505,0.80649
cloneatt,0.816327,0.794163,0.764977,0.824885
cloneatt,0.836735,0.814132,0.787903,0.84639
cloneatt,0.857143,0.831029,0.804839,0.860215
cloneatt,0.877551,0.850998,0.824885,0.878687
cloneatt,0.897959,0.869432,0.84328,0.895545
cloneatt,0.918367,0.889401,0.864823,0.913978
cloneatt,0.938776,0.912442,0.889401,0.933986
cloneatt,0.959184,0.941628,0.924731,0.961598
cloneatt,0.979592,0.967742,0.953917,0.981567
cloneatt,1,0.998464,0.995392,1
