model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
cloneatt,1p,0.235197,0.49831,0.248313,0.174382,0.137905,-0.106042,0.97643,0.773727,0.188819,0.483871,0.892473,0.955453,0.0631629,0.0105461
cloneatt,1q,0.477344,0.698337,0.487674,0.148891,0.118034,0.114389,1.04363,0.831652,0.490384,0.447005,0.877112,0.949309,0.0706103,0.00284614
cloneatt,2p,0.395134,0.63982,0.409369,0.157669,0.124974,0.160226,1.03892,0.830664,0.423814,0.457757,0.870968,0.933948,0.0965572,9.49875e-06
cloneatt,2q,0.315496,0.563265,0.317268,0.165371,0.131757,-0.0491875,1.01788,0.810233,0.328772,0.479263,0.890937,0.9447,0.0425883,0.184111
cloneatt,3p,0.514598,0.731898,0.535675,0.145698,0.116696,-0.176557,1.00759,0.817712,0.483656,0.457757,0.887865,0.950845,0.0929081,2.35733e-05
cloneatt,3q,0.509452,0.714396,0.510361,0.136685,0.108652,-0.0447768,1.02176,0.807334,0.537751,0.460829,0.894009,0.956989,0.047707,0.100336
cloneatt,4p,0.735842,0.859172,0.738176,0.105644,0.082519,0.0600995,1.00127,0.782068,0.713359,0.508449,0.889401,0.949309,0.0440211,0.156441
cloneatt,4q,0.494669,0.70451,0.496334,0.147624,0.114299,0.00827776,1.03936,0.8016,0.4831,0.479263,0.886329,0.950845,0.0298526,0.601331
cloneatt,5p,0.714803,0.845969,0.715664,0.109149,0.0878115,0.0626223,1.09612,0.872967,0.738479,0.445469,0.852535,0.920123,0.0636753,0.00968253
cloneatt,5q,0.359142,0.620604,0.385149,0.162534,0.12692,0.220788,1.12478,0.893053,0.486306,0.44086,0.840246,0.906298,0.108644,3.64332e-07
cloneatt,6p,0.643136,0.802389,0.643828,0.116689,0.092744,0.011652,1.15331,0.897947,0.723515,0.428571,0.849462,0.929339,0.05523,0.0362539
cloneatt,6q,0.229062,0.479779,0.230188,0.175803,0.141242,-0.0156433,1.04041,0.833546,0.274408,0.443932,0.87404,0.9447,0.0370447,0.327745
cloneatt,7p,0.683035,0.827106,0.684105,0.113064,0.0914553,0.0532412,1.04705,0.844437,0.695157,0.453149,0.869432,0.941628,0.0501425,0.0733539
cloneatt,7q,0.459279,0.685603,0.470052,0.142363,0.11221,0.136897,0.976599,0.775515,0.469283,0.500768,0.892473,0.949309,0.0638153,0.00945787
cloneatt,8p,0.650418,0.820404,0.673063,0.117536,0.0919937,-0.297327,1.23731,0.995502,0.777853,0.408602,0.801843,0.887865,0.134131,1.06786e-10
cloneatt,8q,0.346364,0.599327,0.359193,0.156047,0.123235,0.131527,0.959006,0.763559,0.34715,0.506912,0.910906,0.950845,0.0556474,0.0341137
cloneatt,9p,0.69345,0.83498,0.697192,0.111352,0.088943,-0.0165435,1.13801,0.898098,0.73847,0.443932,0.84639,0.90937,0.0455508,0.130679
cloneatt,9q,0.537332,0.742155,0.550794,0.133007,0.109178,-0.15243,0.99929,0.826081,0.557191,0.43318,0.906298,0.970814,0.108735,3.54956e-07
cloneatt,10p,0.745596,0.864366,0.747128,0.102116,0.0818032,-0.00689782,1.10408,0.874045,0.765703,0.437788,0.850998,0.917051,0.0459065,0.125213
cloneatt,10q,0.302044,0.55354,0.306406,0.17102,0.136496,0.0478155,0.984846,0.785574,0.23473,0.486943,0.887865,0.952381,0.0377183,0.306996
cloneatt,11p,0.616124,0.796151,0.633856,0.115757,0.0935619,-0.220625,1.05979,0.870879,0.702984,0.434716,0.855607,0.929339,0.108461,3.8391e-07
cloneatt,11q,0.482981,0.695517,0.483743,0.143452,0.115246,0.00533867,1.06298,0.848203,0.528645,0.456221,0.880184,0.947773,0.0368438,0.334113
cloneatt,12p,0.796871,0.897632,0.805743,0.0923239,0.072429,-0.21697,1.0952,0.874786,0.8218,0.453149,0.84639,0.915515,0.10694,5.90507e-07
cloneatt,12q,0.450671,0.676232,0.457289,0.14845,0.118398,-0.113318,1.00756,0.808804,0.457607,0.471582,0.88172,0.940092,0.0659117,0.00661476
cloneatt,13p,0.819336,0.905617,0.820141,0.0830854,0.0661775,0.0804948,1.10937,0.888016,0.853395,0.427035,0.855607,0.90937,0.0694354,0.00353348
cloneatt,13q,0.618345,0.78985,0.623862,0.125338,0.0998137,-0.118884,1.02141,0.820382,0.625735,0.445469,0.866359,0.93702,0.0785202,0.000603568
