model,alpha,ecp,ecp_lo,ecp_hi
cloneatt,0,0,0,0
cloneatt,0.0204082,0.0384025,0.0245776,0.0522657
cloneatt,0.0408163,0.0568356,0.0368664,0.078341
cloneatt,0.0612245,0.0768049,0.0583717,0.0983103
cloneatt,0.0816327,0.105991,0.0860215,0.133641
cloneatt,0.102041,0.127496,0.102919,0.155223
cloneatt,0.122449,0.156682,0.133487,0.188978
cloneatt,0.142857,0.175115,0.150499,0.204378
cloneatt,0.163265,0.185868,0.161214,0.215054
cloneatt,0.183673,0.199693,0.175077,0.228917
cloneatt,0.204082,0.218126,0.190438,0.24735
cloneatt,0.22449,0.235023,0.205837,0.267358
cloneatt,0.244898,0.256528,0.227343,0.290361
cloneatt,0.265306,0.270353,0.241129,0.304224
cloneatt,0.285714,0.296467,0.261098,0.333372
cloneatt,0.306122,0.3149,0.282565,0.347312
cloneatt,0.326531,0.321045,0.287174,0.356375
cloneatt,0.346939,0.344086,0.305684,0.382527
cloneatt,0.367347,0.360983,0.324002,0.394816
cloneatt,0.387755,0.376344,0.337942,0.408679
cloneatt,0.408163,0.399386,0.35937,0.436252
cloneatt,0.428571,0.419355,0.379416,0.45626
cloneatt,0.44898,0.437788,0.397773,0.47331
cloneatt,0.469388,0.465438,0.42235,0.502343
cloneatt,0.489796,0.486943,0.445469,0.51924
cloneatt,0.510204,0.505376,0.466935,0.539209
cloneatt,0.530612,0.519201,0.479263,0.556106
cloneatt,0.55102,0.539171,0.50073,0.577611
cloneatt,0.571429,0.552995,0.517588,0.591436
cloneatt,0.591837,0.576037,0.540668,0.615975
cloneatt,0.612245,0.599078,0.563748,0.634447
cloneatt,0.632653,0.615975,0.579109,0.65288
cloneatt,0.653061,0.639017,0.602112,0.672849
cloneatt,0.673469,0.648233,0.609793,0.682066
cloneatt,0.693878,0.674347,0.635906,0.709677
cloneatt,0.714286,0.683564,0.642051,0.718894
cloneatt,0.734694,0.695853,0.658871,0.729685
cloneatt,0.755102,0.715822,0.677419,0.749616
cloneatt,0.77551,0.731183,0.694278,0.765015
cloneatt,0.795918,0.75576,0.718894,0.788018
cloneatt,0.816327,0.766513,0.732719,0.800346
cloneatt,0.836735,0.78341,0.752688,0.815668
cloneatt,0.857143,0.804916,0.775691,0.834217
cloneatt,0.877551,0.834101,0.806413,0.86179
cloneatt,0.897959,0.852535,0.824846,0.877112
cloneatt,0.918367,0.883257,0.858679,0.909409
cloneatt,0.938776,0.907834,0.887788,0.934025
cloneatt,0.959184,0.929339,0.909332,0.952381
cloneatt,0.979592,0.961598,0.947696,0.978533
cloneatt,1,1,1,1
