model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
clonemlp,1p,0.228798,0.501682,0.251685,0.17511,0.139177,-0.161368,0.963429,0.777379,0.193141,0.470046,0.903226,0.960061,0.0796583,0.00047637
clonemlp,1q,0.287281,0.543371,0.295252,0.173868,0.138018,0.0875338,0.989075,0.788102,0.224342,0.500768,0.872504,0.943164,0.0518187,0.0585939
clonemlp,2p,0.23615,0.491934,0.241999,0.177183,0.140882,-0.00376469,1.03646,0.82115,0.242836,0.474654,0.866359,0.93702,0.0327847,0.47976
clonemlp,2q,0.332711,0.582637,0.339465,0.163279,0.134395,0.0747128,1.00016,0.821274,0.309402,0.396313,0.892473,0.955453,0.0878382,7.86406e-05
clonemlp,3p,0.103013,0.326196,0.106404,0.198059,0.160327,-0.0586169,1.02808,0.832931,0.0585263,0.457757,0.880184,0.940092,0.0495693,0.0790769
clonemlp,3q,0.160113,0.408533,0.166899,0.17885,0.141983,0.0842863,0.964806,0.767887,0.137955,0.50384,0.897081,0.949309,0.0418253,0.200334
clonemlp,4p,0.488107,0.703454,0.494847,0.147062,0.118035,-0.0752498,0.985265,0.794167,0.438356,0.46851,0.890937,0.958525,0.0520361,0.0568797
clonemlp,4q,0.232373,0.48543,0.235643,0.181946,0.140773,-0.0391381,1.02985,0.796418,0.206734,0.488479,0.878648,0.943164,0.030082,0.591505
clonemlp,5p,0.300327,0.552729,0.30551,0.170959,0.138397,0.0597271,1.01815,0.822233,0.273666,0.457757,0.88172,0.9447,0.0500964,0.0738006
clonemlp,5q,0.286876,0.535653,0.286925,0.171454,0.136169,-0.0128536,1.01898,0.806686,0.276513,0.473118,0.887865,0.943164,0.0373847,0.317154
clonemlp,6p,0.418116,0.646938,0.418529,0.149004,0.119746,0.0193205,0.972098,0.772679,0.382006,0.488479,0.90169,0.940092,0.0367498,0.337121
clonemlp,6q,0.25524,0.507653,0.257711,0.172793,0.137647,0.0595126,0.981478,0.783028,0.216864,0.497696,0.887865,0.946237,0.0421699,0.192874
clonemlp,7p,0.302183,0.55026,0.302786,0.16776,0.135547,-0.0247262,0.956674,0.769881,0.209903,0.497696,0.897081,0.941628,0.0251899,0.79842
clonemlp,7q,0.293173,0.544684,0.29668,0.162767,0.130552,-0.054083,0.957403,0.764883,0.259304,0.463902,0.912442,0.961598,0.0506567,0.0685226
clonemlp,8p,0.512079,0.728018,0.53001,0.138858,0.109822,-0.182253,0.998932,0.798564,0.51356,0.485407,0.895545,0.9447,0.0814542,0.000325636
clonemlp,8q,0.202465,0.453409,0.20558,0.17237,0.135911,-0.0202539,0.952519,0.749982,0.172597,0.499232,0.915515,0.950845,0.0248471,0.81176
clonemlp,9p,0.480489,0.704533,0.496366,0.144959,0.115019,0.11557,0.882407,0.704493,0.319617,0.548387,0.918587,0.963134,0.0788317,0.000565905
clonemlp,9q,0.210204,0.489378,0.239491,0.173778,0.138795,-0.141795,0.967078,0.78073,0.205516,0.49616,0.898618,0.956989,0.0768902,0.000842118
clonemlp,10p,0.42316,0.655164,0.429239,0.153766,0.12301,-0.0709358,1.01485,0.81351,0.415467,0.453149,0.87404,0.932412,0.0524886,0.0534512
clonemlp,10q,0.196251,0.448745,0.201372,0.183524,0.146007,0.0115813,0.980445,0.777976,0.105888,0.500768,0.90169,0.947773,0.0181996,0.981406
clonemlp,11p,0.454227,0.685228,0.469537,0.138025,0.110465,-0.0361241,1.04198,0.830605,0.542701,0.473118,0.880184,0.930876,0.0576839,0.0251856
clonemlp,11q,0.255653,0.508616,0.25869,0.172124,0.137373,-0.00914727,0.986477,0.782864,0.219376,0.471582,0.90937,0.953917,0.0229664,0.878712
clonemlp,12p,0.52944,0.732127,0.53601,0.140519,0.113112,0.0554647,0.975848,0.788691,0.476336,0.47619,0.892473,0.966206,0.0384075,0.286728
clonemlp,12q,0.19854,0.46649,0.217613,0.179311,0.141285,0.0635779,1.02205,0.804575,0.217482,0.479263,0.877112,0.9447,0.0606169,0.0159601
clonemlp,13p,0.684702,0.852072,0.726026,0.109761,0.0873635,0.183526,1.21086,0.965162,0.781386,0.403994,0.809524,0.889401,0.1067,6.31775e-07
clonemlp,13q,0.188672,0.449088,0.20168,0.182746,0.146432,0.112616,1.00398,0.80859,0.170965,0.454685,0.894009,0.946237,0.0750048,0.00122711
clonemlp,14p,0.729332,0.859139,0.73812,0.110378,0.087366,0.0978255,1.16623,0.919308,0.758555,0.40553,0.820276,0.895545,0.0953611,1.2845e-05
clonemlp,14q,0.210173,0.475601,0.226196,0.185835,0.147434,-0.120293,1.02173,0.816442,0.177711,0.490015,0.875576,0.941628,0.0616453,0.0135284
clonemlp,15p,0.730469,0.867347,0.752291,0.104224,0.0819658,0.181813,0.988073,0.798832,0.730156,0.443932,0.861751,0.927803,0.104409,1.19313e-06
clonemlp,15q,0.269442,0.535027,0.286254,0.163737,0.129354,-0.0429618,0.94274,0.740122,0.21622,0.543779,0.915515,0.953917,0.03758,0.311177
clonemlp,16p,0.553341,0.744485,0.554258,0.13658,0.110851,0.0490293,1.00488,0.813423,0.519827,0.453149,0.892473,0.949309,0.0465174,0.11626
clonemlp,16q,0.472187,0.707746,0.500905,0.144391,0.114953,0.145504,1.07161,0.860081,0.540252,0.465438,0.849462,0.935484,0.0865979,0.000104515
clonemlp,17p,0.693091,0.850641,0.72359,0.111794,0.088372,0.195312,0.997917,0.80296,0.680237,0.454685,0.852535,0.920123,0.0915554,3.27261e-05
clonemlp,17q,0.331809,0.582874,0.339742,0.162975,0.132305,0.0763456,0.952689,0.773228,0.253356,0.491551,0.90169,0.961598,0.0350856,0.393338
clonemlp,18p,0.657057,0.826782,0.683569,0.11585,0.0909714,0.129162,1.16188,0.923941,0.744088,0.411674,0.831029,0.897081,0.0899806,4.76569e-05
clonemlp,18q,0.144397,0.427908,0.183105,0.172175,0.138047,0.0739211,1.03278,0.824611,0.284515,0.483871,0.887865,0.946237,0.0483733,0.0922405
clonemlp,19p,0.751518,0.874421,0.764612,0.101218,0.0793784,-0.120195,1.18378,0.929284,0.796087,0.423963,0.812596,0.884793,0.0972511,7.95945e-06
clonemlp,19q,0.615967,0.80358,0.64574,0.125309,0.0983091,0.190203,1.17441,0.942017,0.71553,0.394777,0.821813,0.900154,0.119076,1.60362e-08
clonemlp,20p,0.575646,0.760807,0.578827,0.132072,0.103699,-0.0469291,1.06911,0.841424,0.609966,0.445469,0.849462,0.917051,0.0636753,0.00968253
clonemlp,20q,0.491461,0.70524,0.497364,0.136432,0.106918,-0.0425256,0.97019,0.76052,0.499058,0.502304,0.892473,0.953917,0.0298,0.603584
clonemlp,21p,0.687279,0.866037,0.75002,0.107607,0.0837033,0.347499,1.14104,0.931858,0.791382,0.41321,0.812596,0.892473,0.163539,1.07219e-15
clonemlp,21q,0.598871,0.780588,0.609318,0.12884,0.100423,-0.05342,0.973196,0.765819,0.563854,0.49616,0.910906,0.958525,0.0567578,0.0289511
clonemlp,22p,0.744356,0.870398,0.757593,0.102872,0.0812038,0.0565385,1.09315,0.862644,0.769177,0.408602,0.850998,0.917051,0.0649921,0.00774908
clonemlp,22q,0.725241,0.865736,0.749498,0.106229,0.0850053,-0.313159,1.10201,0.910864,0.768695,0.393241,0.83871,0.913978,0.157354,1.4571e-14
