model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
clonemlp,1p,0.188663,0.435729,0.189859,0.179609,0.140462,-0.0108584,1.01171,0.790139,0.205308,0.488479,0.883257,0.947773,0.0231544,0.872571
clonemlp,1q,0.250045,0.504996,0.255021,0.178352,0.143272,0.0575429,0.959578,0.771854,0.129433,0.463902,0.903226,0.956989,0.0455619,0.130507
clonemlp,2p,0.127252,0.418534,0.175171,0.189392,0.151859,-0.210108,0.985066,0.805912,0.106384,0.490015,0.884793,0.947773,0.0944194,1.62473e-05
clonemlp,2q,0.27902,0.528559,0.279375,0.16972,0.134876,-0.000725428,1.01682,0.806607,0.28475,0.442396,0.887865,0.9447,0.0480056,0.096638
clonemlp,3p,0.249447,0.500635,0.250636,0.181172,0.145007,-0.0218219,0.988189,0.788914,0.148494,0.482335,0.886329,0.949309,0.0305446,0.571813
clonemlp,3q,0.166947,0.447277,0.200056,0.178121,0.141777,0.189639,0.977108,0.792041,0.19268,0.482335,0.890937,0.963134,0.0953878,1.27592e-05
clonemlp,4p,0.365009,0.609966,0.372059,0.163793,0.130232,-0.000376033,0.968967,0.76866,0.275406,0.486943,0.910906,0.955453,0.0240132,0.842873
clonemlp,4q,0.217822,0.476829,0.227366,0.183663,0.145245,0.104324,1.01244,0.803717,0.174649,0.477727,0.887865,0.943164,0.0731278,0.00176866
clonemlp,5p,0.283307,0.536028,0.287326,0.173026,0.140612,0.0700255,1.01465,0.824645,0.266954,0.443932,0.890937,0.950845,0.0595111,0.0190055
clonemlp,5q,0.162115,0.406705,0.165409,0.185847,0.145883,-0.0613691,1.00697,0.79045,0.135345,0.493088,0.889401,0.946237,0.0519606,0.0574704
clonemlp,6p,0.292708,0.54719,0.299417,0.164278,0.129148,0.0949626,0.989782,0.776021,0.294274,0.525346,0.884793,0.940092,0.0520417,0.0568367
clonemlp,6q,0.233113,0.491811,0.241878,0.175341,0.139107,-0.0134213,1.00428,0.795747,0.224394,0.470046,0.884793,0.956989,0.0342609,0.423212
clonemlp,7p,0.34423,0.589874,0.347951,0.162628,0.131888,0.0502569,0.962836,0.777956,0.259333,0.506912,0.895545,0.946237,0.0312412,0.542526
clonemlp,7q,0.172898,0.416768,0.173695,0.176072,0.13984,0.02281,0.953723,0.755899,0.134302,0.522273,0.904762,0.950845,0.031807,0.519142
clonemlp,8p,0.199214,0.483763,0.234027,0.177891,0.140209,-0.182706,0.972502,0.781322,0.190765,0.534562,0.90937,0.955453,0.0809198,0.000364992
clonemlp,8q,0.209563,0.463183,0.214538,0.171601,0.133894,0.0413257,0.953089,0.744159,0.183861,0.551459,0.907834,0.953917,0.0532488,0.0480909
clonemlp,9p,0.37844,0.619688,0.384013,0.158558,0.126149,-0.0785085,0.939081,0.746965,0.268907,0.505376,0.906298,0.955453,0.0609385,0.0151605
clonemlp,9q,0.0994951,0.319169,0.101869,0.185559,0.146405,0.0193168,0.970229,0.765322,0.0793456,0.506912,0.910906,0.963134,0.0248075,0.813283
clonemlp,10p,0.383089,0.6288,0.39539,0.159017,0.125826,-0.120565,0.949539,0.753282,0.291041,0.508449,0.912442,0.958525,0.0682596,0.00437164
clonemlp,10q,0.154269,0.40031,0.160248,0.188256,0.149454,-0.0101784,0.965896,0.767596,0.047412,0.516129,0.907834,0.949309,0.0194371,0.964992
clonemlp,11p,0.214798,0.46884,0.219811,0.165555,0.133361,-0.0237855,0.942202,0.759586,0.221825,0.494624,0.915515,0.963134,0.0290509,0.635866
clonemlp,11q,0.246768,0.50949,0.25958,0.173148,0.138163,0.12038,0.977452,0.781717,0.203984,0.483871,0.907834,0.958525,0.0698141,0.00329678
clonemlp,12p,0.453701,0.675385,0.456145,0.151406,0.124222,-0.0198795,1.01649,0.833385,0.439533,0.457757,0.878648,0.9447,0.0465635,0.115606
