model,nominal,empirical
clonemlp,0,0.000174557
clonemlp,0.01,0.0107178
clonemlp,0.02,0.0200391
clonemlp,0.03,0.0303379
clonemlp,0.04,0.03938
clonemlp,0.05,0.0489457
clonemlp,0.06,0.0603617
clonemlp,0.07,0.0708002
clonemlp,0.08,0.0812736
clonemlp,0.09,0.0914328
clonemlp,0.1,0.100335
clonemlp,0.11,0.109726
clonemlp,0.12,0.119501
clonemlp,0.13,0.129556
clonemlp,0.14,0.139541
clonemlp,0.15,0.149211
clonemlp,0.16,0.158113
clonemlp,0.17,0.168761
clonemlp,0.18,0.176966
clonemlp,0.19,0.186461
clonemlp,0.2,0.195887
clonemlp,0.21,0.205488
clonemlp,0.22,0.214705
clonemlp,0.23,0.224899
clonemlp,0.24,0.235128
clonemlp,0.25,0.244379
clonemlp,0.26,0.254085
clonemlp,0.27,0.263825
clonemlp,0.28,0.273949
clonemlp,0.29,0.28327
clonemlp,0.3,0.293395
clonemlp,0.31,0.303903
clonemlp,0.32,0.313923
clonemlp,0.33,0.325059
clonemlp,0.34,0.334276
clonemlp,0.35,0.344086
clonemlp,0.36,0.353407
clonemlp,0.37,0.362764
clonemlp,0.38,0.371875
clonemlp,0.39,0.381616
clonemlp,0.4,0.391112
clonemlp,0.41,0.400607
clonemlp,0.42,0.411709
clonemlp,0.43,0.422078
clonemlp,0.44,0.432481
clonemlp,0.45,0.441838
clonemlp,0.46,0.451438
clonemlp,0.47,0.461598
clonemlp,0.48,0.470046
clonemlp,0.49,0.479018
clonemlp,0.5,0.488689
clonemlp,0.51,0.499546
clonemlp,0.52,0.51002
clonemlp,0.53,0.519655
clonemlp,0.54,0.528697
clonemlp,0.55,0.538752
clonemlp,0.56,0.549225
clonemlp,0.57,0.558581
clonemlp,0.58,0.568252
clonemlp,0.59,0.57869
clonemlp,0.6,0.588256
clonemlp,0.61,0.597682
clonemlp,0.62,0.608784
clonemlp,0.63,0.618978
clonemlp,0.64,0.627496
clonemlp,0.65,0.636922
clonemlp,0.66,0.645615
clonemlp,0.67,0.65539
clonemlp,0.68,0.66534
clonemlp,0.69,0.676896
clonemlp,0.7,0.686985
clonemlp,0.71,0.69676
clonemlp,0.72,0.706675
clonemlp,0.73,0.716799
clonemlp,0.74,0.726993
clonemlp,0.75,0.737222
clonemlp,0.76,0.747835
clonemlp,0.77,0.757646
clonemlp,0.78,0.768259
clonemlp,0.79,0.778837
clonemlp,0.8,0.789345
clonemlp,0.81,0.800307
clonemlp,0.82,0.810641
clonemlp,0.83,0.822406
clonemlp,0.84,0.832111
clonemlp,0.85,0.842934
clonemlp,0.86,0.852779
clonemlp,0.87,0.86238
clonemlp,0.88,0.873062
clonemlp,0.89,0.883326
clonemlp,0.9,0.894289
clonemlp,0.91,0.905286
clonemlp,0.92,0.91719
clonemlp,0.93,0.927838
clonemlp,0.94,0.938975
clonemlp,0.95,0.949239
clonemlp,0.96,0.961039
clonemlp,0.97,0.972106
clonemlp,0.98,0.982056
clonemlp,0.99,0.991551
clonemlp,1,1
