model,alpha,ecp,ecp_lo,ecp_hi
dominantclone,0,0,0,0
dominantclone,0.0204082,0.0261137,0.0138249,0.0399386
dominantclone,0.0408163,0.0460829,0.030722,0.06298
dominantclone,0.0612245,0.0583717,0.0399386,0.0768049
dominantclone,0.0816327,0.0752688,0.0552995,0.0952381
dominantclone,0.102041,0.0983103,0.0752304,0.118318
dominantclone,0.122449,0.11828,0.0966974,0.144393
dominantclone,0.142857,0.139785,0.115207,0.167473
dominantclone,0.163265,0.165899,0.141283,0.195084
dominantclone,0.183673,0.187404,0.159716,0.216628
dominantclone,0.204082,0.199693,0.173579,0.230453
dominantclone,0.22449,0.225806,0.195084,0.258103
dominantclone,0.244898,0.247312,0.215015,0.278149
dominantclone,0.265306,0.268817,0.231951,0.304186
dominantclone,0.285714,0.294931,0.259485,0.333372
dominantclone,0.306122,0.313364,0.277995,0.354877
dominantclone,0.326531,0.331797,0.296467,0.3702
dominantclone,0.346939,0.351767,0.316321,0.388633
dominantclone,0.367347,0.37788,0.340975,0.41321
dominantclone,0.387755,0.393241,0.360945,0.431644
dominantclone,0.408163,0.422427,0.383986,0.462404
dominantclone,0.428571,0.437788,0.403994,0.480799
dominantclone,0.44898,0.457757,0.423925,0.49927
dominantclone,0.469388,0.482335,0.450038,0.523925
dominantclone,0.489796,0.50384,0.47308,0.540745
dominantclone,0.510204,0.519201,0.486943,0.55626
dominantclone,0.530612,0.549923,0.516052,0.586828
dominantclone,0.55102,0.568356,0.529916,0.606797
dominantclone,0.571429,0.588326,0.548387,0.626728
dominantclone,0.591837,0.600614,0.562174,0.639094
dominantclone,0.612245,0.628264,0.592896,0.665131
dominantclone,0.632653,0.646697,0.611367,0.683564
dominantclone,0.653061,0.669739,0.634332,0.705069
dominantclone,0.673469,0.688172,0.655837,0.723502
dominantclone,0.693878,0.711214,0.678917,0.746659
dominantclone,0.714286,0.741935,0.709639,0.777304
dominantclone,0.734694,0.764977,0.735753,0.797235
dominantclone,0.755102,0.789555,0.760369,0.823349
dominantclone,0.77551,0.803379,0.774155,0.832604
dominantclone,0.795918,0.817204,0.789516,0.844892
dominantclone,0.816327,0.835637,0.807911,0.861751
dominantclone,0.836735,0.855607,0.827919,0.880184
dominantclone,0.857143,0.877112,0.85096,0.900154
dominantclone,0.877551,0.890937,0.867857,0.910983
dominantclone,0.897959,0.910906,0.887865,0.932412
dominantclone,0.918367,0.93702,0.920123,0.953917
dominantclone,0.938776,0.9447,0.927803,0.961598
dominantclone,0.959184,0.960061,0.946237,0.972427
dominantclone,0.979592,0.980031,0.967742,0.989247
dominantclone,1,1,1,1
