model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
dominantclone,1p,0.316449,0.588143,0.345912,0.164859,0.129268,-0.124291,0.935285,0.742655,0.240551,0.470046,0.907834,0.961598,0.0647958,0.008013
dominantclone,1q,0.245859,0.510015,0.260115,0.178849,0.141631,0.0225869,1.01324,0.801233,0.212854,0.482335,0.889401,0.938556,0.0248499,0.811653
dominantclone,2p,0.29504,0.562992,0.31696,0.170216,0.133165,0.100606,0.942872,0.741777,0.19055,0.520737,0.90937,0.949309,0.0687591,0.0039955
dominantclone,2q,0.272342,0.53082,0.28177,0.170504,0.135436,-0.0689236,0.957217,0.762758,0.210099,0.474654,0.900154,0.953917,0.0513966,0.0620472
dominantclone,3p,0.321013,0.581701,0.338376,0.172319,0.139428,0.0440626,0.964484,0.779585,0.190803,0.49616,0.897081,0.953917,0.0297466,0.605879
dominantclone,3q,0.251666,0.514312,0.264516,0.168821,0.130831,0.115926,0.937388,0.732362,0.199071,0.516129,0.917051,0.958525,0.0664194,0.00605552
dominantclone,4p,0.178965,0.442971,0.196223,0.186249,0.145731,0.111159,0.94375,0.745856,0.0440941,0.529954,0.907834,0.947773,0.076704,0.000874373
dominantclone,4q,0.199006,0.447428,0.200192,0.185859,0.144554,0.00227848,0.9888,0.770325,0.121293,0.477727,0.894009,0.952381,0.0279727,0.682455
dominantclone,5p,0.110866,0.345095,0.119091,0.192721,0.152454,0.0938892,1.00211,0.796519,0.0793888,0.486943,0.898618,0.949309,0.0437917,0.160634
dominantclone,5q,0.253044,0.50981,0.259906,0.175473,0.137623,-0.0151988,0.979252,0.768836,0.200583,0.470046,0.904762,0.949309,0.0220753,0.905868
dominantclone,6p,0.40562,0.640589,0.410354,0.150595,0.120142,-0.0440894,0.914968,0.729087,0.313972,0.490015,0.921659,0.967742,0.033145,0.465616
dominantclone,6q,0.0979578,0.321345,0.103263,0.190165,0.151374,0.00590916,0.969251,0.772621,0.0396126,0.511521,0.894009,0.960061,0.0277451,0.692254
dominantclone,7p,0.117543,0.353814,0.125184,0.188654,0.148017,-0.0133501,0.975875,0.768486,0.0697114,0.522273,0.892473,0.941628,0.0340508,0.431026
dominantclone,7q,0.161432,0.412948,0.170526,0.177288,0.137671,-0.0397772,0.935982,0.730238,0.110819,0.529954,0.904762,0.960061,0.0577447,0.0249542
dominantclone,8p,0.13798,0.384285,0.147675,0.184568,0.146923,-0.0223898,0.977311,0.779405,0.10788,0.511521,0.903226,0.953917,0.02141,0.923886
dominantclone,8q,0.233768,0.502655,0.252662,0.168954,0.13239,0.0832006,0.90671,0.714352,0.140529,0.542243,0.918587,0.967742,0.0640918,0.00902826
dominantclone,9p,0.110607,0.359127,0.128972,0.189668,0.149221,-0.0401084,0.984218,0.775064,0.0726069,0.519201,0.892473,0.953917,0.047578,0.10197
dominantclone,9q,0.117436,0.351255,0.12338,0.183701,0.144009,0.0684766,0.916638,0.722431,0.00680935,0.533026,0.917051,0.970814,0.0567099,0.0291588
dominantclone,10p,0.257813,0.513989,0.264185,0.174417,0.137459,-0.00256637,0.936583,0.739496,0.134624,0.529954,0.913978,0.966206,0.0450191,0.139212
dominantclone,10q,0.14698,0.394032,0.155261,0.189065,0.148673,0.0562096,0.978011,0.770798,0.0654047,0.513057,0.903226,0.953917,0.0499803,0.0749365
dominantclone,11p,0.130896,0.363895,0.132419,0.174176,0.137878,0.0354282,0.931303,0.739977,0.131923,0.513057,0.926267,0.963134,0.0433826,0.168333
dominantclone,11q,0.258985,0.525055,0.275682,0.171738,0.134364,0.106301,0.935888,0.737867,0.169326,0.534562,0.90937,0.96467,0.0775121,0.000742229
dominantclone,12p,0.0660266,0.269357,0.072553,0.197968,0.158981,0.08145,1.02818,0.828446,0.0771607,0.473118,0.894009,0.9447,0.0468538,0.11156
dominantclone,12q,0.240479,0.508607,0.258681,0.174556,0.141145,0.116287,0.983718,0.800002,0.220535,0.483871,0.904762,0.952381,0.0777904,0.000701231
dominantclone,13p,0.188935,0.435191,0.189392,0.176042,0.141569,-0.0241396,0.949924,0.764556,0.137501,0.513057,0.913978,0.958525,0.0233552,0.865861
dominantclone,13q,0.116312,0.352218,0.124057,0.190721,0.154151,0.0705032,1.02519,0.831118,0.136202,0.451613,0.889401,0.955453,0.0419543,0.197516
dominantclone,14p,0.0510253,0.232092,0.0538665,0.206676,0.164723,-0.0511771,1.0661,0.849515,0.054125,0.491551,0.877112,0.933948,0.0358781,0.365875
dominantclone,14q,0.0599509,0.248721,0.0618621,0.202739,0.161602,-0.0218897,1.00382,0.798707,-0.0305673,0.497696,0.904762,0.952381,0.0235395,0.859574
dominantclone,15p,0.106706,0.332233,0.110379,0.189741,0.156343,0.0426937,0.959591,0.792592,0.023902,0.497696,0.917051,0.958525,0.0378961,0.301673
dominantclone,15q,0.0969013,0.313662,0.098384,0.182049,0.143802,0.0245343,0.932139,0.738749,0.051254,0.506912,0.920123,0.960061,0.0369359,0.331182
dominantclone,16p,0.158935,0.414207,0.171567,0.187419,0.152816,-0.101124,1.00794,0.825873,0.137563,0.473118,0.897081,0.947773,0.060534,0.0161723
dominantclone,16q,0.170823,0.418175,0.17487,0.180977,0.147617,0.045512,0.951316,0.77666,0.0904431,0.50384,0.912442,0.949309,0.0321479,0.505252
dominantclone,17p,0.0546173,0.247178,0.0610972,0.196208,0.154684,0.0745023,1.01598,0.804137,0.0712393,0.513057,0.897081,0.943164,0.0520177,0.0570233
dominantclone,17q,0.0741795,0.289755,0.0839578,0.191837,0.153551,0.0857552,0.970728,0.780839,0.0333915,0.52381,0.904762,0.949309,0.0458798,0.125617
dominantclone,18p,0.170235,0.416742,0.173674,0.180204,0.147001,0.00788289,0.952888,0.777077,0.0968751,0.488479,0.917051,0.953917,0.03061,0.569042
dominantclone,18q,0.0953582,0.316318,0.100057,0.177041,0.139652,-0.0656738,0.927347,0.737454,0.104355,0.516129,0.938556,0.970814,0.0509875,0.0655598
dominantclone,19p,0.0703948,0.304043,0.0924419,0.195776,0.157213,0.164539,1.04455,0.849877,0.144129,0.457757,0.878648,0.946237,0.0828926,0.000238646
dominantclone,19q,0.0590302,0.27691,0.0766791,0.196149,0.160085,0.108558,1.02159,0.83853,0.0855956,0.428571,0.90169,0.949309,0.0874189,8.66168e-05
dominantclone,20p,0.144304,0.396812,0.15746,0.187545,0.150765,-0.0233865,1.02363,0.824387,0.163129,0.479263,0.884793,0.947773,0.0377441,0.306219
dominantclone,20q,0.0786617,0.283815,0.0805512,0.183638,0.150924,-0.0419366,0.963011,0.792215,0.0881065,0.497696,0.915515,0.969278,0.0332814,0.460318
dominantclone,21p,0.11464,0.364553,0.132899,0.18106,0.141423,0.087263,0.925991,0.727965,0.0540296,0.540707,0.920123,0.960061,0.079567,0.000485555
dominantclone,21q,0.0981767,0.332063,0.110266,0.193183,0.155038,0.103358,0.976931,0.788702,0.0322708,0.511521,0.895545,0.955453,0.0560676,0.032072
dominantclone,22p,0.111211,0.335731,0.112715,0.191814,0.155539,-0.0195026,0.998105,0.811357,0.0788009,0.470046,0.90169,0.952381,0.0538118,0.044427
dominantclone,22q,0.123862,0.362597,0.131477,0.189693,0.152977,0.048247,0.982103,0.794211,0.0707508,0.509985,0.907834,0.952381,0.0411231,0.216221
