model,alpha,ecp,ecp_lo,ecp_hi
dominantclone,0,0,0,0
dominantclone,0.0204082,0.0245776,0.0138249,0.0369048
dominantclone,0.0408163,0.047619,0.0322581,0.0645545
dominantclone,0.0612245,0.0752688,0.0599078,0.0953149
dominantclone,0.0816327,0.0952381,0.0768049,0.118356
dominantclone,0.102041,0.121352,0.0998464,0.144432
dominantclone,0.122449,0.139785,0.118241,0.164363
dominantclone,0.142857,0.158218,0.132104,0.185868
dominantclone,0.163265,0.182796,0.150538,0.210445
dominantclone,0.183673,0.204301,0.173541,0.233564
dominantclone,0.204082,0.22427,0.191974,0.251959
dominantclone,0.22449,0.247312,0.216513,0.276575
dominantclone,0.244898,0.267281,0.235023,0.298003
dominantclone,0.265306,0.27957,0.245737,0.311905
dominantclone,0.285714,0.291859,0.261098,0.324155
dominantclone,0.306122,0.319508,0.285714,0.357949
dominantclone,0.326531,0.341014,0.308717,0.376382
dominantclone,0.346939,0.357911,0.325499,0.394777
dominantclone,0.367347,0.37788,0.34255,0.417819
dominantclone,0.387755,0.387097,0.351728,0.425538
dominantclone,0.408163,0.407066,0.371697,0.444009
dominantclone,0.428571,0.425499,0.388594,0.463902
dominantclone,0.44898,0.451613,0.417819,0.49159
dominantclone,0.469388,0.460829,0.426997,0.500806
dominantclone,0.489796,0.480799,0.448502,0.519278
dominantclone,0.510204,0.513057,0.48076,0.553034
dominantclone,0.530612,0.549923,0.511521,0.586905
dominantclone,0.55102,0.563748,0.528418,0.602151
dominantclone,0.571429,0.579109,0.543702,0.620584
dominantclone,0.591837,0.606759,0.571429,0.64374
dominantclone,0.612245,0.631336,0.59904,0.671275
dominantclone,0.632653,0.643625,0.611329,0.6851
dominantclone,0.653061,0.669739,0.639017,0.70818
dominantclone,0.673469,0.688172,0.654378,0.723618
dominantclone,0.693878,0.703533,0.672773,0.737366
dominantclone,0.714286,0.725038,0.689631,0.760407
dominantclone,0.734694,0.749616,0.714247,0.780376
dominantclone,0.755102,0.764977,0.73268,0.795737
dominantclone,0.77551,0.789555,0.757296,0.818779
dominantclone,0.795918,0.803379,0.775576,0.835637
dominantclone,0.816327,0.826421,0.800307,0.854071
dominantclone,0.836735,0.841782,0.817204,0.869432
dominantclone,0.857143,0.864823,0.84328,0.892512
dominantclone,0.877551,0.883257,0.860215,0.907834
dominantclone,0.897959,0.90169,0.880108,0.924731
dominantclone,0.918367,0.921659,0.900115,0.943164
dominantclone,0.938776,0.940092,0.921659,0.960061
dominantclone,0.959184,0.958525,0.9447,0.973925
dominantclone,0.979592,0.980031,0.969278,0.990783
dominantclone,1,1,1,1
