chromosome_arm,armtoken_true_r2_mean,armtoken_true_r2_sd,armtoken_true_r2_n,armtoken_pearson_r2_mean,armtoken_pearson_r2_sd,armtoken_pearson_r2_n,armtoken_rmse_mean,armtoken_rmse_sd,armtoken_rmse_n,armtoken_contraction_mean,armtoken_contraction_sd,armtoken_contraction_n,armtoken_coverage_95_mean,armtoken_coverage_95_sd,armtoken_coverage_95_n,armtoken_sbc_ks_p_mean,armtoken_sbc_ks_p_sd,armtoken_sbc_ks_p_n,cloneatt_true_r2_mean,cloneatt_true_r2_sd,cloneatt_true_r2_n,cloneatt_pearson_r2_mean,cloneatt_pearson_r2_sd,cloneatt_pearson_r2_n,cloneatt_rmse_mean,cloneatt_rmse_sd,cloneatt_rmse_n,cloneatt_contraction_mean,cloneatt_contraction_sd,cloneatt_contraction_n,cloneatt_coverage_95_mean,cloneatt_coverage_95_sd,cloneatt_coverage_95_n,cloneatt_sbc_ks_p_mean,cloneatt_sbc_ks_p_sd,cloneatt_sbc_ks_p_n,clonemlp_true_r2_mean,clonemlp_true_r2_sd,clonemlp_true_r2_n,clonemlp_pearson_r2_mean,clonemlp_pearson_r2_sd,clonemlp_pearson_r2_n,clonemlp_rmse_mean,clonemlp_rmse_sd,clonemlp_rmse_n,clonemlp_contraction_mean,clonemlp_contraction_sd,clonemlp_contraction_n,clonemlp_coverage_95_mean,clonemlp_coverage_95_sd,clonemlp_coverage_95_n,clonemlp_sbc_ks_p_mean,clonemlp_sbc_ks_p_sd,clonemlp_sbc_ks_p_n,dominantclone_true_r2_mean,dominantclone_true_r2_sd,dominantclone_true_r2_n,dominantclone_pearson_r2_mean,dominantclone_pearson_r2_sd,dominantclone_pearson_r2_n,dominantclone_rmse_mean,dominantclone_rmse_sd,dominantclone_rmse_n,dominantclone_contraction_mean,dominantclone_contraction_sd,dominantclone_contraction_n,dominantclone_coverage_95_mean,dominantclone_coverage_95_sd,dominantclone_coverage_95_n,dominantclone_sbc_ks_p_mean,dominantclone_sbc_ks_p_sd,dominantclone_sbc_ks_p_n
1p,0.826875,0.00636564,3,0.82778,0.00581997,3,0.0829581,0.00152644,3,0.819782,0.0155165,3,0.939068,0.00788269,3,0.172455,0.236022,3,0.388659,0.217029,2,0.397308,0.210711,2,0.154655,0.0278982,2,0.379458,0.269605,2,0.946236,0.0130341,2,0.00919606,0.00190924,2,0.180003,0.0536512,3,0.189151,0.0628915,3,0.180501,0.00588736,3,0.181749,0.0308743,3,0.953917,0.006144,3,0.338667,0.46783,3,0.305951,0.167439,3,0.32309,0.169085,3,0.165309,0.0200833,3,0.267833,0.157778,3,0.950333,0.0102282,3,0.0085772,0.0087892,3
1q,0.834635,0.00170282,3,0.837406,0.00409539,3,0.0837488,0.000431609,3,0.805687,0.0227657,3,0.951357,0.00846011,3,0.00921467,0.0107544,3,0.467217,0.0143217,2,0.481213,0.00913723,2,0.150319,0.0020202,2,0.489014,0.00193747,2,0.940092,0.0130341,2,0.00155253,0.00182944,2,0.235289,0.0607292,3,0.243468,0.0584241,3,0.180005,0.00710858,3,0.168005,0.0498863,3,0.949309,0.00703927,3,0.0632954,0.0649885,3,0.290341,0.0539769,3,0.304924,0.0521031,3,0.173409,0.00665274,3,0.251865,0.0637114,3,0.94214,0.00757748,3,0.327459,0.421038,3
2p,0.865319,0.00250034,3,0.867152,0.00267534,3,0.0743975,0.000690119,3,0.877978,0.0134491,3,0.921659,0.0121926,3,0.000891221,0.000760858,3,0.507874,0.159438,2,0.51691,0.152086,2,0.141269,0.0231924,2,0.522054,0.138932,2,0.94086,0.00977575,2,0.0237785,0.0336144,2,0.167204,0.0599596,3,0.188138,0.0486898,3,0.184925,0.00673096,3,0.16231,0.071475,3,0.94214,0.00539478,3,0.285369,0.252476,3,0.351195,0.0664933,3,0.369467,0.0660934,3,0.16315,0.00845801,3,0.268074,0.0750668,3,0.949821,0.00539473,3,0.401489,0.425581,3
2q,0.782946,0.00220263,3,0.78483,0.00100954,3,0.0931219,0.000472103,3,0.769362,0.0222013,3,0.940092,0.0151288,3,0.249172,0.256445,3,0.344935,0.041633,2,0.34783,0.0432212,2,0.161735,0.00514208,2,0.348432,0.0278034,2,0.947773,0.00434517,2,0.0952721,0.125637,2,0.258718,0.0859613,3,0.26217,0.0871797,3,0.171903,0.00989828,3,0.253601,0.0763036,3,0.946748,0.00788269,3,0.185643,0.242635,3,0.233008,0.0398959,3,0.243815,0.0414399,3,0.175013,0.0045521,3,0.158375,0.0512634,3,0.953917,0.0076805,3,0.125066,0.144841,3
3p,0.889479,0.000904131,3,0.891365,0.00293032,3,0.069522,0.000284286,3,0.875295,0.0135828,3,0.944188,0.00846011,3,0.0608281,0.0758361,3,0.575381,0.0859601,2,0.591493,0.0789386,2,0.135919,0.0138296,2,0.56655,0.11723,2,0.943164,0.0108619,2,1.5867e-05,1.08984e-05,2,0.145491,0.0905286,3,0.147178,0.0902643,3,0.193126,0.0104046,3,0.102107,0.0450495,3,0.943676,0.00493812,3,0.273624,0.262209,3,0.33815,0.0408224,3,0.34809,0.0399048,3,0.170075,0.00529119,3,0.235904,0.0394656,3,0.955965,0.00354724,3,0.529995,0.4326,3
3q,0.851988,0.00205695,3,0.853886,0.00387443,3,0.0750793,0.000521821,3,0.82865,0.0161617,3,0.953917,0.006144,3,0.373752,0.335059,3,0.414435,0.134374,2,0.422812,0.123813,2,0.148841,0.0171912,2,0.453886,0.118602,2,0.948541,0.011948,2,0.0501985,0.0709051,2,0.204318,0.0707301,3,0.220106,0.0655722,3,0.173962,0.00784341,3,0.186567,0.0458616,3,0.956477,0.00692669,3,0.0769265,0.107951,3,0.194584,0.0494528,3,0.202928,0.0536512,3,0.175085,0.00542672,3,0.180839,0.0468146,3,0.954429,0.00709448,3,0.233138,0.39548,3
4p,0.918469,0.00193514,3,0.919209,0.00224967,3,0.0586887,0.000694827,3,0.907659,0.0087187,3,0.932924,0.0151544,3,0.291518,0.292616,3,0.728162,0.0108612,2,0.730376,0.0110309,2,0.107158,0.00214112,2,0.71317,0.000267286,2,0.943164,0.00868964,2,0.172979,0.0233883,2,0.344221,0.155327,3,0.349357,0.158069,3,0.165679,0.0196286,3,0.259938,0.186633,3,0.959037,0.00386605,3,0.359022,0.423332,3,0.227806,0.0423098,3,0.237827,0.0362325,3,0.180579,0.00491153,3,0.107979,0.0555291,3,0.951357,0.00620767,3,0.424218,0.482674,3
4q,0.80886,0.00556865,3,0.811012,0.00556496,3,0.090785,0.00131728,3,0.771112,0.0238691,3,0.939068,0.00620767,3,0.0903436,0.0674649,3,0.445891,0.0689818,2,0.448858,0.0671412,2,0.154435,0.0096315,2,0.421976,0.0864424,2,0.949309,0.00217223,2,0.369908,0.327281,2,0.236589,0.0211919,3,0.24149,0.0177831,3,0.181434,0.00252371,3,0.172954,0.0346591,3,0.945724,0.00443463,3,0.412767,0.35694,3,0.186006,0.0346061,3,0.191141,0.038288,3,0.187333,0.00396321,3,0.110029,0.0265863,3,0.943676,0.00757748,3,0.503009,0.161939,3
5p,0.925777,0.0017306,3,0.926519,0.00196218,3,0.0556796,0.000648277,3,0.922688,0.00766411,3,0.928315,0.0192063,3,0.278495,0.246094,3,0.671417,0.0613571,2,0.686408,0.0413749,2,0.1169,0.0109623,2,0.710402,0.0397069,2,0.918587,0.00217223,2,0.00484127,0.00684658,2,0.294773,0.00993116,3,0.299985,0.0109925,3,0.171634,0.00120599,3,0.280894,0.0186361,3,0.945724,0.0046931,3,0.0399495,0.0295901,3,0.19233,0.0732107,3,0.204122,0.0776577,3,0.183556,0.00825838,3,0.151566,0.0759962,3,0.953917,0.00553813,3,0.0951535,0.0694325,3
5q,0.830088,0.00328933,3,0.832874,0.0026197,3,0.0836878,0.00080888,3,0.808373,0.0206544,3,0.947773,0.00553854,3,0.0659262,0.112252,3,0.274983,0.119018,2,0.288295,0.136972,2,0.172585,0.0142143,2,0.373255,0.159878,2,0.920123,0.0195515,2,0.117368,0.165983,2,0.226546,0.0624815,3,0.228128,0.0608529,3,0.178462,0.0072039,3,0.206185,0.0705854,3,0.941628,0.00553854,3,0.384386,0.365203,3,0.308632,0.0521157,3,0.320834,0.0544961,3,0.168738,0.00634089,3,0.252433,0.0449075,3,0.946236,0.00266101,3,0.309396,0.516674,3
6p,0.897707,0.00687357,3,0.898896,0.006582,3,0.0624505,0.00211293,3,0.906033,0.0124029,3,0.930364,0.0119314,3,0.249026,0.382039,3,0.550394,0.131157,2,0.552636,0.128965,2,0.130271,0.0192078,2,0.641193,0.116422,2,0.927035,0.00325835,2,0.0330812,0.00448695,2,0.288882,0.131188,3,0.293091,0.128717,3,0.164251,0.015234,3,0.275198,0.117514,3,0.940604,0.00088681,3,0.133337,0.1783,3,0.253794,0.131544,3,0.258104,0.131879,3,0.168273,0.0153151,3,0.179512,0.116517,3,0.958013,0.00925909,3,0.232673,0.217216,3
6q,0.857754,0.00515154,3,0.867733,0.00308893,3,0.0755072,0.00137282,3,0.826013,0.0220589,3,0.959549,0.00925909,3,1.88326e-05,3.20869e-05,3,0.444601,0.304819,2,0.445414,0.304375,2,0.146264,0.0417737,2,0.478208,0.288217,2,0.945469,0.00108682,2,0.16602,0.228714,2,0.178772,0.113824,3,0.184221,0.113853,3,0.181166,0.0123617,3,0.156263,0.111549,3,0.952893,0.0058152,3,0.251313,0.15139,3,0.203367,0.104563,3,0.217371,0.108391,3,0.178452,0.0117461,3,0.132559,0.0903364,3,0.963645,0.00620825,3,0.399759,0.358286,3
7p,0.906293,0.00216119,3,0.908175,0.00125029,3,0.0614731,0.000709563,3,0.907307,0.00880155,3,0.93702,0.0119971,3,0.0304063,0.0524982,3,0.629046,0.076352,2,0.629849,0.0767303,2,0.121988,0.0126211,2,0.638294,0.0804157,2,0.937788,0.00543058,2,0.285453,0.299953,2,0.257445,0.115826,3,0.26122,0.11338,3,0.172715,0.0132765,3,0.188805,0.0831095,3,0.943164,0.00266101,3,0.462919,0.381583,3,0.152541,0.0375674,3,0.156911,0.0357244,3,0.184845,0.00410744,3,0.111233,0.0371954,3,0.94214,0.00234628,3,0.664538,0.217542,3
7q,0.866809,0.000782068,3,0.870092,0.00415816,3,0.0706555,0.000207535,3,0.850087,0.0164846,3,0.946749,0.011529,3,0.376144,0.362461,3,0.379275,0.113143,2,0.385316,0.119835,2,0.152214,0.0139307,2,0.378323,0.128637,2,0.950845,0.00217223,2,0.425617,0.588538,2,0.193393,0.0912744,3,0.197118,0.0901616,3,0.173687,0.00994437,3,0.169688,0.0781792,3,0.955965,0.00539478,3,0.201948,0.275849,3,0.167131,0.00930242,3,0.170507,0.00784302,3,0.176683,0.000988466,3,0.143957,0.029737,3,0.953405,0.00620767,3,0.402436,0.32996,3
8p,0.915035,0.00153854,3,0.915621,0.00216557,3,0.0579434,0.000523358,3,0.924181,0.0116914,3,0.923195,0.0302187,3,0.216654,0.374227,3,0.576466,0.104583,2,0.588272,0.119913,2,0.128874,0.0160344,2,0.654537,0.174395,2,0.914747,0.0380162,2,0.185571,0.262437,2,0.349298,0.156818,3,0.368041,0.149959,3,0.159554,0.0196232,3,0.325464,0.167891,3,0.952381,0.00669584,3,0.133333,0.230341,3,0.14758,0.0150173,3,0.153049,0.0147144,3,0.183532,0.0016212,3,0.0937106,0.0565417,3,0.958013,0.0046931,3,0.477517,0.417299,3
8q,0.862856,0.00709505,3,0.867895,0.0045594,3,0.0714624,0.00186325,3,0.845214,0.0228252,3,0.956477,0.0149194,3,0.00389556,0.00576281,3,0.401786,0.0783785,2,0.412591,0.0755169,2,0.149124,0.0097906,2,0.416519,0.0981026,2,0.954685,0.00543058,2,0.0176103,0.0233393,2,0.185575,0.0355783,3,0.189215,0.0363791,3,0.174158,0.00378305,3,0.156221,0.0385322,3,0.955453,0.00553868,3,0.547688,0.432899,3,0.231779,0.0122567,3,0.243049,0.0192219,3,0.169169,0.00134796,3,0.17452,0.0302525,3,0.962622,0.00539478,3,0.02595,0.0373665,3
9p,0.918375,0.00373269,3,0.920041,0.00264298,3,0.057449,0.00131953,3,0.915724,0.0128762,3,0.931388,0.0231096,3,0.072735,0.10638,3,0.668337,0.0355151,2,0.674625,0.0319146,2,0.11574,0.00620557,2,0.698508,0.0565155,2,0.923963,0.0206376,2,0.0677619,0.0889782,2,0.356458,0.136358,3,0.364229,0.143059,3,0.160741,0.0169785,3,0.233024,0.109056,3,0.955453,0.0076805,3,0.119509,0.193515,3,0.2626,0.132957,3,0.272417,0.126101,3,0.172252,0.0152594,3,0.199656,0.110335,3,0.952893,0.00319744,3,0.604841,0.436643,3
9q,0.873563,0.00414767,3,0.875104,0.00376545,3,0.0695242,0.00114249,3,0.856856,0.0152403,3,0.952381,0.00855262,3,0.281652,0.313803,3,0.330947,0.291873,2,0.338529,0.300189,2,0.157982,0.0353207,2,0.302531,0.360143,2,0.970046,0.00108612,2,0.410277,0.580219,2,0.139159,0.061666,3,0.154177,0.0745115,3,0.181347,0.00656862,3,0.118922,0.0750846,3,0.960061,0.0030725,3,0.390208,0.407268,3,0.156073,0.0429174,3,0.160847,0.0432417,3,0.179596,0.00458427,3,0.0932498,0.0760082,3,0.96723,0.00319744,3,0.391802,0.515398,3
