model,nominal,empirical
clonemlp,0,0.000174557
clonemlp,0.01,0.00907694
clonemlp,0.02,0.0185379
clonemlp,0.03,0.0272308
clonemlp,0.04,0.0363776
clonemlp,0.05,0.0453149
clonemlp,0.06,0.054706
clonemlp,0.07,0.0633641
clonemlp,0.08,0.072057
clonemlp,0.09,0.0804357
clonemlp,0.1,0.0893032
clonemlp,0.11,0.098415
clonemlp,0.12,0.107108
clonemlp,0.13,0.115975
clonemlp,0.14,0.125052
clonemlp,0.15,0.134513
clonemlp,0.16,0.143346
clonemlp,0.17,0.152388
clonemlp,0.18,0.161989
clonemlp,0.19,0.170786
clonemlp,0.2,0.180387
clonemlp,0.21,0.189499
clonemlp,0.22,0.199064
clonemlp,0.23,0.209293
clonemlp,0.24,0.219348
clonemlp,0.25,0.228495
clonemlp,0.26,0.237956
clonemlp,0.27,0.247382
clonemlp,0.28,0.255865
clonemlp,0.29,0.265221
clonemlp,0.3,0.274682
clonemlp,0.31,0.284248
clonemlp,0.32,0.2935
clonemlp,0.33,0.304043
clonemlp,0.34,0.312491
clonemlp,0.35,0.321813
clonemlp,0.36,0.330506
clonemlp,0.37,0.338884
clonemlp,0.38,0.348904
clonemlp,0.39,0.357632
clonemlp,0.4,0.367093
clonemlp,0.41,0.37589
clonemlp,0.42,0.385246
clonemlp,0.43,0.394184
clonemlp,0.44,0.40347
clonemlp,0.45,0.411709
clonemlp,0.46,0.420297
clonemlp,0.47,0.427803
clonemlp,0.48,0.436985
clonemlp,0.49,0.444875
clonemlp,0.5,0.453742
clonemlp,0.51,0.462819
clonemlp,0.52,0.471722
clonemlp,0.53,0.480205
clonemlp,0.54,0.488759
clonemlp,0.55,0.497242
clonemlp,0.56,0.505691
clonemlp,0.57,0.515361
clonemlp,0.58,0.52566
clonemlp,0.59,0.534981
clonemlp,0.6,0.545489
clonemlp,0.61,0.55509
clonemlp,0.62,0.565145
clonemlp,0.63,0.575583
clonemlp,0.64,0.584485
clonemlp,0.65,0.593074
clonemlp,0.66,0.603896
clonemlp,0.67,0.613985
clonemlp,0.68,0.623377
clonemlp,0.69,0.633361
clonemlp,0.7,0.641845
clonemlp,0.71,0.650922
clonemlp,0.72,0.661919
clonemlp,0.73,0.672567
clonemlp,0.74,0.682726
clonemlp,0.75,0.69299
clonemlp,0.76,0.701683
clonemlp,0.77,0.711423
clonemlp,0.78,0.722211
clonemlp,0.79,0.733103
clonemlp,0.8,0.743716
clonemlp,0.81,0.754748
clonemlp,0.82,0.765361
clonemlp,0.83,0.776323
clonemlp,0.84,0.788926
clonemlp,0.85,0.799853
clonemlp,0.86,0.809629
clonemlp,0.87,0.8208
clonemlp,0.88,0.832565
clonemlp,0.89,0.84454
clonemlp,0.9,0.855677
clonemlp,0.91,0.867791
clonemlp,0.92,0.880813
clonemlp,0.93,0.893904
clonemlp,0.94,0.908288
clonemlp,0.95,0.922462
clonemlp,0.96,0.936322
clonemlp,0.97,0.951019
clonemlp,0.98,0.967288
clonemlp,0.99,0.985512
clonemlp,1,1
cloneatt,0,0.000174557
cloneatt,0.01,0.010229
cloneatt,0.02,0.0210515
cloneatt,0.03,0.0308616
cloneatt,0.04,0.0413699
cloneatt,0.05,0.052751
cloneatt,0.06,0.0636433
cloneatt,0.07,0.0741517
cloneatt,0.08,0.0849742
cloneatt,0.09,0.0958316
cloneatt,0.1,0.107178
