model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
clonemlp,1p,0.573223,0.779838,0.608147,0.130265,0.102338,0.0696245,0.73508,0.588174,0.24874,0.451613,0.854071,0.940092,0.0689636,0.00385021
clonemlp,1q,0.57852,0.784011,0.614674,0.133705,0.106726,0.203898,0.852373,0.697747,0.386873,0.454685,0.852535,0.920123,0.108188,4.14925e-07
clonemlp,2p,0.594527,0.785535,0.617065,0.129092,0.101643,0.0975672,0.77375,0.619877,0.327501,0.436252,0.827957,0.90169,0.0947364,1.50157e-05
clonemlp,2q,0.507339,0.749502,0.561753,0.140296,0.110547,-0.0762144,0.843834,0.669155,0.300971,0.46851,0.849462,0.924731,0.0573761,0.0263859
clonemlp,3p,0.53936,0.75341,0.567627,0.141933,0.113242,0.110171,0.809984,0.658336,0.25191,0.408602,0.81874,0.900154,0.10767,4.80614e-07
clonemlp,3q,0.34802,0.725857,0.526868,0.157578,0.127007,-0.371644,0.798327,0.717726,0.214701,0.445469,0.844854,0.90937,0.181472,3.14514e-19
clonemlp,4p,0.498493,0.741016,0.549104,0.145563,0.115799,-0.177748,0.781657,0.640269,0.178151,0.473118,0.850998,0.930876,0.0946424,1.53712e-05
clonemlp,4q,0.561778,0.762546,0.581477,0.137472,0.106862,0.0295306,0.860365,0.673749,0.370591,0.493088,0.870968,0.933948,0.0444589,0.148686
clonemlp,5p,0.556637,0.759845,0.577365,0.13609,0.106222,0.103376,0.771655,0.611038,0.242702,0.457757,0.840246,0.932412,0.0819113,0.000295189
clonemlp,5q,0.553144,0.759496,0.576834,0.135721,0.106365,-0.127443,0.872472,0.687216,0.377775,0.443932,0.870968,0.927803,0.0687655,0.00399084
clonemlp,6p,0.538858,0.746727,0.557601,0.132647,0.104799,0.0270922,0.753657,0.603778,0.247369,0.456221,0.88172,0.933948,0.056931,0.0282111
clonemlp,6q,0.446181,0.727735,0.529598,0.149005,0.114529,0.324785,0.886552,0.714868,0.334375,0.474654,0.857143,0.923195,0.14888,4.41741e-13
clonemlp,7p,0.529929,0.750416,0.563125,0.137689,0.111534,-0.0831597,0.794695,0.653611,0.263616,0.44086,0.857143,0.918587,0.0746565,0.00131416
clonemlp,7q,0.49788,0.73762,0.544083,0.137187,0.108183,-0.0655229,0.840459,0.673227,0.355279,0.457757,0.872504,0.933948,0.056403,0.0305202
clonemlp,8p,0.529387,0.740611,0.548505,0.136373,0.107724,0.0283115,0.77855,0.615623,0.227563,0.462366,0.90169,0.946237,0.0598106,0.0181333
clonemlp,8q,0.490979,0.741533,0.549871,0.137707,0.110164,-0.0903107,0.829654,0.672453,0.317878,0.457757,0.864823,0.932412,0.0695101,0.00348562
clonemlp,9p,0.440585,0.753906,0.568375,0.150423,0.121065,-0.34825,0.759214,0.676231,0.203502,0.439324,0.834101,0.895545,0.183234,1.35131e-19
clonemlp,9q,0.460118,0.723509,0.523466,0.143677,0.11459,0.200044,0.904284,0.739459,0.377346,0.454685,0.857143,0.926267,0.111573,1.56056e-07
clonemlp,10p,0.467234,0.731531,0.535138,0.147775,0.118088,-0.201991,0.764098,0.640758,0.165206,0.470046,0.840246,0.915515,0.115283,5.15972e-08
clonemlp,10q,0.520317,0.728596,0.530852,0.141778,0.110893,0.0818085,0.865022,0.679096,0.327247,0.46851,0.903226,0.960061,0.0716626,0.0023376
clonemlp,11p,0.356873,0.727616,0.529424,0.14983,0.120898,-0.303559,0.718118,0.637972,0.11648,0.463902,0.855607,0.921659,0.160402,4.07957e-15
clonemlp,11q,0.438737,0.684849,0.469018,0.149464,0.120005,-0.129654,0.918201,0.742936,0.338967,0.422427,0.87404,0.93702,0.0939798,1.8116e-05
